date,asset,issuer,holders
2022-12-30,BTC,21Shares,200
2022-12-30,BTC,XBT,38886
2022-12-30,BTC,ETCGr,236
2022-12-30,BTC,Fidility,27
2022-12-30,BTC,Valour,21021
2022-12-30,BTC,VanEck,49
2022-12-30,BTC,WisdTree,27
2022-12-30,ETH,21Shares,61
2022-12-30,ETH,XBT,43042
2022-12-30,ETH,Valour,11751
2022-12-30,ETH,WisdTree,33
2022-12-30,BNB,21Shares,27
2022-12-30,XTZ,21Shares,3
2022-12-30,AVAX,Valour,738
2022-12-30,ADA,Valour,14568
2022-12-30,DOT,Valour,6478
2022-12-30,SOL,Valour,9534
2022-12-30,UNI,Valour,694
2022-12-23,BTC,21Shares,202
2022-12-23,BTC,XBT,38947
2022-12-23,BTC,ETCGr,236
2022-12-23,BTC,Fidility,27
2022-12-23,BTC,Valour,21069
2022-12-23,BTC,VanEck,50
2022-12-23,BTC,WisdTree,27
2022-12-23,ETH,21Shares,62
2022-12-23,ETH,XBT,43149
2022-12-23,ETH,Valour,11783
2022-12-23,ETH,WisdTree,34
2022-12-23,BNB,21Shares,27
2022-12-23,XTZ,21Shares,3
2022-12-23,AVAX,Valour,733
2022-12-23,ADA,Valour,14606
2022-12-23,DOT,Valour,6485
2022-12-23,SOL,Valour,9591
2022-12-23,UNI,Valour,697
2022-12-16,BTC,21Shares,207
2022-12-16,BTC,XBT,39049
2022-12-16,BTC,ETCGr,236
2022-12-16,BTC,Fidility,24
2022-12-16,BTC,Valour,21145
2022-12-16,BTC,VanEck,51
2022-12-16,BTC,WisdTree,28
2022-12-16,ETH,21Shares,62
2022-12-16,ETH,XBT,43302
2022-12-16,ETH,Valour,11828
2022-12-16,ETH,WisdTree,36
2022-12-16,BNB,21Shares,29
2022-12-16,XTZ,21Shares,3
2022-12-16,AVAX,Valour,736
2022-12-16,ADA,Valour,14657
2022-12-16,DOT,Valour,6518
2022-12-16,SOL,Valour,9660
2022-12-16,UNI,Valour,698
2022-12-09,BTC,21Shares,210
2022-12-09,BTC,XBT,39204
2022-12-09,BTC,ETCGr,237
2022-12-09,BTC,Valour,21200
2022-12-09,BTC,VanEck,51
2022-12-09,BTC,WisdTree,27
2022-12-09,ETH,21Shares,62
2022-12-09,ETH,XBT,43521
2022-12-09,ETH,Valour,11872
2022-12-09,ETH,WisdTree,36
2022-12-09,BNB,21Shares,30
2022-12-09,XTZ,21Shares,5
2022-12-09,AVAX,Valour,737
2022-12-09,ADA,Valour,14689
2022-12-09,DOT,Valour,6541
2022-12-09,SOL,Valour,9687
2022-12-09,UNI,Valour,702
2022-12-02,BTC,21Shares,210
2022-12-02,BTC,XBT,39321
2022-12-02,BTC,ETCGr,238
2022-12-02,BTC,Valour,21282
2022-12-02,BTC,VanEck,51
2022-12-02,BTC,WisdTree,27
2022-12-02,ETH,21Shares,62
2022-12-02,ETH,XBT,43672
2022-12-02,ETH,Valour,11912
2022-12-02,ETH,WisdTree,36
2022-12-02,BNB,21Shares,30
2022-12-02,XTZ,21Shares,5
2022-12-02,AVAX,Valour,737
2022-12-02,ADA,Valour,14734
2022-12-02,DOT,Valour,6560
2022-12-02,SOL,Valour,9717
2022-12-02,UNI,Valour,702
2022-11-25,BTC,21Shares,210
2022-11-25,BTC,XBT,39325
2022-11-25,BTC,ETCGr,242
2022-11-25,BTC,Valour,21321
2022-11-25,BTC,VanEck,51
2022-11-25,BTC,WisdTree,28
2022-11-25,ETH,21Shares,62
2022-11-25,ETH,XBT,43805
2022-11-25,ETH,Valour,11952
2022-11-25,ETH,WisdTree,36
2022-11-25,BNB,21Shares,31
2022-11-25,XTZ,21Shares,5
2022-11-25,AVAX,Valour,732
2022-11-25,ADA,Valour,14768
2022-11-25,DOT,Valour,6577
2022-11-25,SOL,Valour,9733
2022-11-25,UNI,Valour,707
2022-11-18,BTC,21Shares,213
2022-11-18,BTC,XBT,39479
2022-11-18,BTC,ETCGr,242
2022-11-18,BTC,Valour,21441
2022-11-18,BTC,VanEck,51
2022-11-18,BTC,WisdTree,26
2022-11-18,ETH,21Shares,61
2022-11-18,ETH,XBT,43981
2022-11-18,ETH,Valour,12034
2022-11-18,ETH,WisdTree,36
2022-11-18,BNB,21Shares,28
2022-11-18,XTZ,21Shares,5
2022-11-18,AVAX,Valour,737
2022-11-18,ADA,Valour,14841
2022-11-18,DOT,Valour,6612
2022-11-18,SOL,Valour,9813
2022-11-18,UNI,Valour,707
2022-11-15,BTC,21Shares,212
2022-11-15,BTC,XBT,39553
2022-11-15,BTC,ETCGr,243
2022-11-15,BTC,Valour,21497
2022-11-15,BTC,VanEck,51
2022-11-15,BTC,WisdTree,26
2022-11-15,ETH,21Shares,61
2022-11-15,ETH,XBT,44046
2022-11-15,ETH,Valour,12075
2022-11-15,ETH,WisdTree,33
2022-11-15,BNB,21Shares,28
2022-11-15,XTZ,21Shares,5
2022-11-15,AVAX,Valour,734
2022-11-15,ADA,Valour,14869
2022-11-15,DOT,Valour,6636
2022-11-15,SOL,Valour,9830
2022-11-09,BTC,21Shares,219
2022-11-09,BTC,XBT,39328
2022-11-09,BTC,ETCGr,243
2022-11-09,BTC,Valour,21503
2022-11-09,BTC,VanEck,50
2022-11-09,BTC,WisdTree,26
2022-11-09,ETH,21Shares,62
2022-11-09,ETH,XBT,43739
2022-11-09,ETH,Valour,11980
2022-11-09,ETH,WisdTree,32
