Date,Open,High,Low,Close
11/01/2017,94.55,94.85,94.51,94.82
10/31/2017,94.54,94.7,94.45,94.55
10/30/2017,94.79,94.9,94.44,94.56
10/27/2017,94.72,95.15,94.73,94.92
10/26/2017,93.63,94.72,93.48,94.61
10/25/2017,93.94,94.01,93.61,93.71
10/24/2017,93.83,93.99,93.68,93.77
10/23/2017,93.84,94.02,93.68,93.94
10/20/2017,93.16,93.78,93.12,93.7
10/19/2017,93.42,93.55,93.06,93.27
10/18/2017,93.48,93.8,93.36,93.36
10/17/2017,93.32,93.73,93.28,93.49
10/16/2017,93.08,93.36,93.08,93.31
10/13/2017,93.09,93.24,92.75,93.09
10/12/2017,92.95,93.23,92.8,93.06
10/11/2017,93.26,93.37,92.9,93.02
10/10/2017,93.73,93.74,93.14,93.29
10/09/2017,93.77,93.84,93.62,93.68
10/06/2017,93.92,94.27,93.77,93.8
10/05/2017,93.48,93.99,93.41,93.96
10/04/2017,93.59,93.58,93.26,93.46
10/03/2017,93.6,93.92,93.43,93.57
10/02/2017,93.29,93.66,93.12,93.56
09/29/2017,93.17,93.27,92.95,93.08
09/28/2017,93.47,93.67,93.07,93.09
09/27/2017,93.04,93.61,93.01,93.36
09/26/2017,92.6,93.29,92.55,92.97
09/25/2017,92.15,92.72,92.21,92.65
09/22/2017,92.18,92.22,91.78,92.17
09/21/2017,92.47,92.66,92.1,92.26
09/20/2017,91.83,92.7,91.53,92.51
09/19/2017,91.98,92.05,91.75,91.79
09/18/2017,91.93,92.21,91.8,92.05
09/15/2017,92.0,92.17,91.58,91.87
09/14/2017,92.35,92.66,91.98,92.12
09/13/2017,91.88,92.53,91.71,92.52
09/12/2017,91.86,92.08,91.77,91.88
09/11/2017,91.32,91.99,91.42,91.88
09/08/2017,91.49,91.51,91.01,91.35
09/07/2017,92.2,92.25,91.41,91.66
09/06/2017,92.24,92.38,91.99,92.29
09/05/2017,92.6,92.73,92.18,92.25
09/04/2017,92.61,92.93,92.1,92.81
09/01/2017,92.61,92.93,92.1,92.81
08/31/2017,92.85,93.35,92.56,92.67
08/30/2017,92.3,92.95,92.25,92.88
08/29/2017,92.22,92.48,91.62,92.25
08/28/2017,92.36,92.55,92.17,92.21
08/25/2017,93.27,93.44,92.42,92.74
08/24/2017,93.16,93.38,93.14,93.28
08/23/2017,93.51,93.63,93.13,93.15
08/22/2017,93.14,93.58,93.06,93.55
08/21/2017,93.43,93.58,93.0,93.1
08/18/2017,93.68,93.76,93.33,93.43
08/17/2017,93.44,94.08,93.31,93.62
08/16/2017,93.84,94.15,93.47,93.54
08/15/2017,93.46,94.14,93.44,93.85
08/14/2017,93.09,93.5,93.05,93.41
08/11/2017,93.43,93.51,92.93,93.07
08/10/2017,93.5,93.81,93.32,93.4
08/09/2017,93.56,93.89,93.49,93.55
08/08/2017,93.45,93.88,93.24,93.65
08/07/2017,93.5,93.54,93.3,93.43
08/04/2017,92.76,93.77,92.7,93.54
08/03/2017,92.9,93.04,92.68,92.84
08/02/2017,93.06,93.16,92.55,92.84
08/01/2017,92.89,93.12,92.78,93.04
07/31/2017,93.36,93.54,92.78,92.86
07/28/2017,93.87,93.95,93.26,93.26
07/27/2017,93.46,94.1,93.15,93.86
07/26/2017,94.09,94.29,93.37,93.67
07/25/2017,94.03,94.12,93.64,94.05
07/24/2017,93.95,94.12,93.82,93.98
07/21/2017,94.3,94.36,93.85,93.86
07/20/2017,94.77,95.17,94.09,94.31
07/19/2017,94.69,94.89,94.64,94.78
07/18/2017,95.16,95.19,94.48,94.6
