date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-30,aave-protocol,1240,HTML,508,1938,Aave
2022-12-30,aaveFlashLoan,561,JavaScript,223,1938,Aave
2022-12-30,protocol-v2,539,TypeScript,599,1938,Aave
2022-12-30,flashloan-box,498,Solidity,226,1938,Aave
2022-12-30,aave-v3-core,444,TypeScript,275,1938,Aave
2022-12-30,aave-flashloan-mix,365,Solidity,253,1938,Aave
2022-12-30,aave-liquidation,352,JavaScript,88,1938,Aave
2022-12-30,Flash-Arb-Trader,310,Solidity,116,1938,Aave
2022-12-30,punk-nftx-meebit-arb,238,Solidity,48,1938,Aave
2022-12-30,aavegotchi-contracts,234,TypeScript,114,1938,Aave
2022-12-30,ez-flashloan,198,JavaScript,72,1938,Aave
2022-12-30,interface,192,TypeScript,168,1938,Aave
2022-12-30,flash-arbitrage-watcher,179,JavaScript,52,1938,Aave
2022-12-30,aave-ui,117,TypeScript,111,1938,Aave
2022-12-30,AaveV2-BatchFlashDemo,117,Solidity,59,1938,Aave
2022-12-30,governance-crosschain-bridges,116,TypeScript,36,1938,Aave
2022-12-30,aave-js,108,TypeScript,54,1938,Aave
2022-12-30,wallet,94,JavaScript,34,1938,Aave
2022-12-30,aip,81,JavaScript,130,1938,Aave
2022-12-30,aave-liquidator,80,TypeScript,40,1938,Aave
2022-12-30,Aave-FlashLoan-using-solidity,77,Solidity,39,1938,Aave
2022-12-30,aave-flashloan-arbitrage,69,Solidity,14,1938,Aave
2022-12-30,protocol-subgraphs,68,TypeScript,68,1938,Aave
2022-12-30,go-defi,65,Go,18,1938,Aave
2022-12-30,aave-v3-periphery,61,TypeScript,47,1938,Aave
2022-12-30,FlashLoanLiquidation,61,Solidity,48,1938,Aave
2022-12-30,aave_brownie_py,58,Solidity,47,1938,Aave
2022-12-30,aave-utilities,55,TypeScript,30,1938,Aave
2022-12-30,Aggregated-Flashloan,47,Solidity,38,1938,Aave
2022-12-30,flash-loans-workshop,46,JavaScript,18,1938,Aave
2022-12-30,midas,44,Solidity,6,1938,Aave
2022-12-30,flashloans,42,Solidity,13,1938,Aave
2022-12-30,aave,41,Clojure,2,1938,Aave
2022-12-30,aave-stake-v2,40,TypeScript,39,1938,Aave
2022-12-30,generalized-aave-flashloans,37,JavaScript,10,1938,Aave
2022-12-30,solaris,37,Rust,12,1938,Aave
2022-12-30,aave-starknet-core,36,Cairo,5,1938,Aave
2022-12-30,aave-starknet-bridge,34,Solidity,20,1938,Aave
2022-12-30,aave-flash-loan-tutorial,33,Solidity,24,1938,Aave
2022-12-30,aave_web3_py,33,Python,12,1938,Aave
2022-12-30,aavegotchi-minigame-template,30,TypeScript,13,1938,Aave
2022-12-30,Flashloan-Strategy,26,Solidity,9,1938,Aave
2022-12-30,aavegotchi-wiki,25,TypeScript,36,1938,Aave
2022-12-30,flashLoanArbitrage,23,Solidity,7,1938,Aave
2022-12-30,Delegatecall-Proxy-Bug,23,Solidity,8,1938,Aave
2022-12-30,defi-playground,22,Solidity,5,1938,Aave
2022-12-30,AaveCodeExamples,22,JavaScript,17,1938,Aave
2022-12-30,apr-oracle,22,JavaScript,23,1938,Aave
2022-12-30,aave-sandbox,22,TypeScript,14,1938,Aave
2022-12-30,aave-token,20,TypeScript,20,1938,Aave
2022-12-30,aavegotchi-realm-diamond,19,TypeScript,5,1938,Aave
2022-12-30,Aavesome-list,18,,6,1938,Aave
2022-12-30,flashloan-compound,18,Solidity,10,1938,Aave
2022-12-30,aave-token-v2,18,TypeScript,14,1938,Aave
2022-12-30,flashloaner,17,JavaScript,26,1938,Aave
2022-12-30,aave-ui-caching-server,17,TypeScript,12,1938,Aave
2022-12-30,Aave-Flashloan-Keepr,17,JavaScript,14,1938,Aave
2022-12-30,flash-loans,17,Solidity,15,1938,Aave
2022-12-30,aave-flash-loans,16,Solidity,5,1938,Aave
2022-12-30,AAVE_Protocol,16,TypeScript,4,1938,Aave
2022-12-30,aave-credit-delegation,16,JavaScript,5,1938,Aave
2022-12-30,aavegotchi-stats,16,JavaScript,7,1938,Aave
2022-12-30,aave-ui-kit,15,TypeScript,33,1938,Aave
2022-12-30,aave_flashloan,14,Solidity,5,1938,Aave
2022-12-30,aavegotchi-pet-all,14,Python,6,1938,Aave
2022-12-30,safety-module,14,TypeScript,16,1938,Aave
2022-12-30,aaveV3-polygon-flashloan-bot,12,Solidity,2,1938,Aave
2022-12-30,flashloan-truffle-box-example,11,Solidity,11,1938,Aave
2022-12-30,aave_brownie_py_freecode,11,Solidity,34,1938,Aave
2022-12-30,aavewatch,11,TypeScript,2,1938,Aave
2022-12-30,aave-liquidation-bot,11,TypeScript,3,1938,Aave
2022-12-30,aaveV2-liquidation-example,11,Solidity,3,1938,Aave
2022-12-30,FlashLoanArbitrage,10,JavaScript,4,1938,Aave
2022-12-30,aavegotchi-dex-tutorial,10,TypeScript,8,1938,Aave
2022-12-30,aavetrage,10,JavaScript,4,1938,Aave
2022-12-30,aavegotchi,10,Vue,7,1938,Aave
2022-12-30,aave-yield-source,10,TypeScript,9,1938,Aave
2022-12-30,AAVE-FLASHLOAN-ARBITRAGE,9,Solidity,5,1938,Aave
2022-12-30,AaveFlashloan,8,Solidity,6,1938,Aave
2022-12-30,flashloans,8,,10,1938,Aave
2022-12-30,Aave-Monitoring-DApp,8,CSS,7,1938,Aave
2022-12-30,aaveV3-polygon-flashloan-bot,8,,4,1938,Aave
2022-12-30,flashloan,8,Solidity,5,1938,Aave
2022-12-30,viral-aave-save-game,7,JavaScript,4,1938,Aave
2022-12-30,aave2-liquidation-protection-bot,7,Solidity,3,1938,Aave
2022-12-30,aave-asset-listing,6,TypeScript,36,1938,Aave
2022-12-30,aavegotchi-autopet,6,TypeScript,11,1938,Aave
2022-12-30,Arbitrage-with-AAVE-Flashloan,6,JavaScript,5,1938,Aave
2022-12-30,branding-assets,5,,10,1938,Aave
2022-12-30,AavegWebsite,4,CSS,7,1938,Aave
2022-12-30,aave-api,4,TypeScript,10,1938,Aave
2022-12-30,aave-v3-yield-source,4,TypeScript,3,1938,Aave
2022-12-30,aaveg_website,3,PHP,5,1938,Aave
2022-12-30,aave-flashloan,3,JavaScript,7,1938,Aave
2022-12-30,split-croatia-workshop,3,JavaScript,6,1938,Aave
2022-12-30,AAVEDaiEscrow,3,Solidity,12,1938,Aave
2022-12-30,aave-addresses,2,TypeScript,8,1938,Aave
2022-12-30,Aavesh-IIITU.github.io,2,HTML,22,1938,Aave
2022-12-30,aave-token-v3,1,JavaScript,25,1938,Aave
2022-12-30,AaveFlash,0,,5,1938,Aave
