date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-30,go-algorand,1164,C,358,1698,Algorand
2022-10-30,reach-lang,557,Haskell,168,1698,Algorand
2022-10-30,Smart_Contracts,302,Python,463,1698,Algorand
2022-10-30,js-algorand-sdk,249,TypeScript,167,1698,Algorand
2022-10-30,pyteal,234,Python,99,1698,Algorand
2022-10-30,py-algorand-sdk,216,Python,109,1698,Algorand
2022-10-30,sandbox,181,Shell,119,1698,Algorand
2022-10-30,algomart,174,TypeScript,72,1698,Algorand
2022-10-30,go-algorand-sdk,160,Go,79,1698,Algorand
2022-10-30,pera-wallet,152,Swift,48,1698,Algorand
2022-10-30,AlgorandStudio,146,JavaScript,21,1698,Algorand
2022-10-30,algo-builder,130,TypeScript,34,1698,Algorand
2022-10-30,OpenNFT,107,Vue,76,1698,Algorand
2022-10-30,awesome-algorand,101,,30,1698,Algorand
2022-10-30,asa-list,93,JavaScript,336,1698,Algorand
2022-10-30,ARCs,89,HTML,72,1698,Algorand
2022-10-30,grow-algorand,82,,31,1698,Algorand
2022-10-30,algorand-school,58,,13,1698,Algorand
2022-10-30,java-algorand-sdk,55,Java,49,1698,Algorand
2022-10-30,auction-demo,52,Python,54,1698,Algorand
2022-10-30,specs,51,TeX,27,1698,Algorand
2022-10-30,beaker,50,Python,19,1698,Algorand
2022-10-30,NFTMarketplace,48,Python,30,1698,Algorand
2022-10-30,algonaut,47,Rust,26,1698,Algorand
2022-10-30,foodprint,42,HTML,27,1698,Algorand
2022-10-30,fractalchains,41,Nix,12,1698,Algorand
2022-10-30,dotnet-algorand-sdk,41,C#,23,1698,Algorand
2022-10-30,bls_sigs_ref,40,Python,8,1698,Algorand
2022-10-30,algorand-php,40,PHP,12,1698,Algorand
2022-10-30,go-algorand-doc,40,Shell,11,1698,Algorand
2022-10-30,AlgoSwap,38,Python,15,1698,Algorand
2022-10-30,tealang,37,Go,9,1698,Algorand
2022-10-30,algorand-dart,35,Dart,10,1698,Algorand
2022-10-30,unity-algorand-sdk,29,C#,11,1698,Algorand
2022-10-30,algonim,27,Python,3,1698,Algorand
2022-10-30,algorand-windows-node,26,C++,5,1698,Algorand
2022-10-30,algorand-verification,25,Coq,4,1698,Algorand
2022-10-30,algoland,25,PHP,10,1698,Algorand
2022-10-30,tealish,24,Python,2,1698,Algorand
2022-10-30,flutter-algorand-wallet,23,Dart,14,1698,Algorand
2022-10-30,hackathon,22,JavaScript,15,1698,Algorand
2022-10-30,go-algorand,22,Go,7,1698,Algorand
2022-10-30,algorand-wallet-select,20,JavaScript,6,1698,Algorand
2022-10-30,algorand-qrcode,20,JavaScript,5,1698,Algorand
2022-10-30,algochat,19,Go,4,1698,Algorand
2022-10-30,pixel,18,Rust,4,1698,Algorand
2022-10-30,Swift-Algorand-Sdk,18,Swift,12,1698,Algorand
2022-10-30,php-algorand-sdk,18,PHP,5,1698,Algorand
2022-10-30,ledger-app-algorand,17,C,27,1698,Algorand
2022-10-30,algoworld-swapper,17,TypeScript,5,1698,Algorand
2022-10-30,algorand-contracts-testing,17,Python,8,1698,Algorand
2022-10-30,awesome-algorand,17,,4,1698,Algorand
2022-10-30,algorand-session-wallet,16,TypeScript,4,1698,Algorand
2022-10-30,algorand-node-companion-app,15,Dart,3,1698,Algorand
2022-10-30,algodea,15,Java,3,1698,Algorand
2022-10-30,wallet,15,Vue,9,1698,Algorand
2022-10-30,algorand-sdk-testing,14,Gherkin,27,1698,Algorand
2022-10-30,vscode-algorand,14,JavaScript,8,1698,Algorand
2022-10-30,algorand,13,Go,5,1698,Algorand
2022-10-30,algosearch,13,JavaScript,12,1698,Algorand
2022-10-30,algorand-royalty-fees,12,Python,4,1698,Algorand
2022-10-30,algorand,12,,2,1698,Algorand
2022-10-30,algorand-ipfs-js,12,JavaScript,4,1698,Algorand
2022-10-30,cpp-algorand-sdk,12,C++,6,1698,Algorand
2022-10-30,AlgorandFAQ,12,,2,1698,Algorand
2022-10-30,TicTacToe_Algorand,11,Python,6,1698,Algorand
2022-10-30,algorand_flutter,11,Dart,1,1698,Algorand
2022-10-30,algorand-wallet-walletconnect-redux,11,TypeScript,8,1698,Algorand
2022-10-30,algorand-tools,11,JavaScript,3,1698,Algorand
2022-10-30,dart_algorand,10,Dart,3,1698,Algorand
2022-10-30,buildweb3,10,Python,58,1698,Algorand
2022-10-30,AlgorandReachReactWallet,9,JavaScript,4,1698,Algorand
2022-10-30,rust-algorand-sdk,9,Rust,3,1698,Algorand
2022-10-30,algorand-school,9,Python,3,1698,Algorand
2022-10-30,algorand-l2-examplecoin,9,Go,7,1698,Algorand
2022-10-30,algorand-node,8,Dockerfile,5,1698,Algorand
2022-10-30,algorand-auto-claim-rewards,8,Python,3,1698,Algorand
2022-10-30,blockandpoll,8,Java,4,1698,Algorand
2022-10-30,asa_withdrawal_dapp,8,Python,4,1698,Algorand
2022-10-30,algorand_rust_sdk,8,Rust,3,1698,Algorand
2022-10-30,algorand-tutorials-python,7,Python,6,1698,Algorand
2022-10-30,algorand-donation-app,6,JavaScript,3,1698,Algorand
2022-10-30,algorand-walletconnect-example,6,TypeScript,5,1698,Algorand
2022-10-30,pipeline-express-react,6,CSS,21,1698,Algorand
2022-10-30,algorand-esp32-example,5,C++,4,1698,Algorand
2022-10-30,Algorand-Protocol,5,JavaScript,22,1698,Algorand
2022-10-30,algorand-bootcamp,5,TypeScript,4,1698,Algorand
2022-10-30,Algorand-MultiSig,4,Go,6,1698,Algorand
2022-10-30,AlgorandPayrollContract,4,Kotlin,5,1698,Algorand
2022-10-30,pipeline,4,JavaScript,4,1698,Algorand
2022-10-30,algo-export,3,Go,4,1698,Algorand
2022-10-30,Algorand-blockchain-payment,3,PHP,4,1698,Algorand
2022-10-30,AlgorandQVoteContracts,3,Jupyter Notebook,3,1698,Algorand
2022-10-30,Eventers-Marketplace-Android,3,Kotlin,7,1698,Algorand
2022-10-30,wallet_addresses,3,,4,1698,Algorand
2022-10-30,algofi-asa-list,3,,6,1698,Algorand
2022-10-30,algorand2factor,2,JavaScript,2,1698,Algorand
2022-10-30,algorand-react-marketplace,2,JavaScript,9,1698,Algorand
2022-10-30,algorandTellorV2,2,Python,7,1698,Algorand
2022-10-30,subql-algorand,0,TypeScript,5,1698,Algorand
