date,repo_name,stargazes,language,forks,total_repos,crypto
2023-01-06,public-smart-contracts,181,,92,282,Axie Infinity
2023-01-06,axie-scholar-utilities,153,Python,115,282,Axie Infinity
2023-01-06,axie-graphql-documentation,101,JavaScript,32,282,Axie Infinity
2023-01-06,pyaxie,48,Python,26,282,Axie Infinity
2023-01-06,agp-npm,43,TypeScript,10,282,Axie Infinity
2023-01-06,axie,32,Clojure,9,282,Axie Infinity
2023-01-06,axiewatch,29,TypeScript,60,282,Axie Infinity
2023-01-06,LampAndMaxAxieBot,26,Python,18,282,Axie Infinity
2023-01-06,agp,26,Go,5,282,Axie Infinity
2023-01-06,DiscordQRCodeBot,24,Python,15,282,Axie Infinity
2023-01-06,axie-infinity-leaderboard-axie-scraper,20,Jupyter Notebook,8,282,Axie Infinity
2023-01-06,pyaxie-bot,19,Python,9,282,Axie Infinity
2023-01-06,axieTools,17,HTML,7,282,Axie Infinity
2023-01-06,axie-infinity-bot,16,,10,282,Axie Infinity
2023-01-06,Axie_Infinity_Extras,16,,4,282,Axie Infinity
2023-01-06,AxieMarketplaceBot,14,Python,4,282,Axie Infinity
2023-01-06,axie-utils-lib,14,Python,7,282,Axie Infinity
2023-01-06,axie-infinity-scholar-tracker,14,JavaScript,5,282,Axie Infinity
2023-01-06,RaisinBot,11,JavaScript,15,282,Axie Infinity
2023-01-06,abi,9,TypeScript,12,282,Axie Infinity
2023-01-06,puff-discord-bot,7,JavaScript,5,282,Axie Infinity
2023-01-06,axie-infinity-guia,7,,4,282,Axie Infinity
2023-01-06,axie-infinity-qr-code-bot,7,Python,5,282,Axie Infinity
2023-01-06,axie-infinity-scholar-details,7,JavaScript,3,282,Axie Infinity
2023-01-06,axie-tracker,6,JavaScript,2,282,Axie Infinity
2023-01-06,axie-infinity-sniper-bot,5,Python,2,282,Axie Infinity
2023-01-06,Axie-Infinity-Helper,5,C++,0,282,Axie Infinity
2023-01-06,axie-friend-bot,5,JavaScript,1,282,Axie Infinity
2023-01-06,AxieBot,5,Python,2,282,Axie Infinity
2023-01-06,Axie_Manager_Bot,4,Python,4,282,Axie Infinity
2023-01-06,PHPAxieSchool,4,PHP,2,282,Axie Infinity
2023-01-06,public-scripts,3,Shell,5,282,Axie Infinity
2023-01-06,Axie-Token-Stealer,3,,3,282,Axie Infinity
2023-01-06,botaxie,3,,0,282,Axie Infinity
2023-01-06,Axie_Infinity,3,JavaScript,0,282,Axie Infinity
2023-01-06,axie-infinity-core-subgraph,2,TypeScript,3,282,Axie Infinity
