date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-30,bsc,1857,Go,845,8178,BNB
2022-10-30,whitepaper,1478,,388,8178,BNB
2022-10-30,BEPs,447,Solidity,302,8178,BNB
2022-10-30,bsc-genesis-contract,358,Solidity,477,8178,BNB
2022-10-30,javascript-sdk,325,TypeScript,202,8178,BNB
2022-10-30,DexSniping-BSC-ERC20-Telegram-Alerts,228,Python,21,8178,BNB
2022-10-30,pancakeswap-prediction-winner,225,TypeScript,132,8178,BNB
2022-10-30,JavaScript-Triangular-Arbitrage-Bot-V3,219,,4,8178,BNB
2022-10-30,PCS-Prediction,208,JavaScript,120,8178,BNB
2022-10-30,react-bnb-gallery,202,JavaScript,72,8178,BNB
2022-10-30,PancakeTokenSniper,182,C#,102,8178,BNB
2022-10-30,venus-protocol,180,Solidity,107,8178,BNB
2022-10-30,BNB-Studio,153,JavaScript,50,8178,BNB
2022-10-30,bsc-alpaca-contract,147,TypeScript,87,8178,BNB
2022-10-30,Telegram-Airdrop-Bot,137,Python,104,8178,BNB
2022-10-30,bns-contracts,89,Solidity,19,8178,BNB
2022-10-30,javascript-triangle-arbitrage-bot-v2,80,,12,8178,BNB
2022-10-30,roboape,76,TypeScript,43,8178,BNB
2022-10-30,bsc-relayer,73,Go,35,8178,BNB
2022-10-30,bnblog,68,Go,5,8178,BNB
2022-10-30,bnb-eth-wallet-drainer,61,JavaScript,197,8178,BNB
2022-10-30,token-bind-tool,56,Go,48,8178,BNB
2022-10-30,flutter_bnb_v2,55,Dart,34,8178,BNB
2022-10-30,zkbnb,55,Go,24,8178,BNB
2022-10-30,my-bnb-memories,52,JavaScript,13,8178,BNB
2022-10-30,AirBnbPricePrediction,47,Python,9,8178,BNB
2022-10-30,give-me-bnb,45,Go,27,8178,BNB
2022-10-30,bnbridge.exchange,43,JavaScript,45,8178,BNB
2022-10-30,BNBPay,40,Solidity,4,8178,BNB
2022-10-30,awesome,39,,11,8178,BNB
2022-10-30,bnbhostapi,37,JavaScript,12,8178,BNB
2022-10-30,bsc-erigon,34,Go,11,8178,BNB
2022-10-30,bnb-chain.github.io,34,HTML,75,8178,BNB
2022-10-30,l0bnb,33,Python,10,8178,BNB
2022-10-30,bsc-explorer,30,Elixir,36,8178,BNB
2022-10-30,bnb_scrapy_tutorial,28,Python,25,8178,BNB
2022-10-30,AirBnb,24,Ruby,25,8178,BNB
2022-10-30,bnb-eth-usdt-wallet-drainer,23,JavaScript,83,8178,BNB
2022-10-30,bnb-usdt-airdrop-drainer,21,JavaScript,52,8178,BNB
2022-10-30,oracle-relayer,21,Go,24,8178,BNB
2022-10-30,BNB_Crazy_Arcade,21,Python,5,8178,BNB
2022-10-30,bnbphoneticparser,20,Python,7,8178,BNB
2022-10-30,BNB,18,C++,5,8178,BNB
2022-10-30,BernieBNB,17,Ruby,40,8178,BNB
2022-10-30,bsc-pay,16,PHP,12,8178,BNB
2022-10-30,bnbhero,16,JavaScript,13,8178,BNB
2022-10-30,bsc-predict-updater,16,Python,11,8178,BNB
