date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-23,pancakeswap-prediction-winner,229,TypeScript,133,73,Binance USD
2022-12-23,cryptoxlib-aio,109,Python,31,73,Binance USD
2022-12-23,busd-contract,106,Solidity,79,73,Binance USD
2022-12-23,BotStableArbitrageBINANCE,25,C#,15,73,Binance USD
2022-12-23,nate.283090,9,,11,73,Binance USD
2022-12-23,Ethereum-Mainnet-chainld-2-short-Name-ethereum-mahmood-monfared,7,,8,73,Binance USD
2022-12-23,qOrderBook,5,q,3,73,Binance USD
2022-12-23,BotStableArbitrageBINANCE,4,C#,3,73,Binance USD
2022-12-23,Marketing-Platform-,2,,1,73,Binance USD
2022-12-23,binance-trades,2,Go,0,73,Binance USD
2022-12-23,Airdrop-New-,2,,0,73,Binance USD
2022-12-23,binance-p2p-usdt-vnd-quick-report,2,Python,1,73,Binance USD
2022-12-23,Crypto-Price-Function,1,PHP,0,73,Binance USD
2022-12-23,usdt-price,1,JavaScript,0,73,Binance USD
2022-12-23,usdt-tx-watcher,1,JavaScript,1,73,Binance USD
2022-12-23,Binance-History-Helper,1,JavaScript,1,73,Binance USD
2022-12-23,BinancePairs,1,,0,73,Binance USD
2022-12-23,Magic_Binance_USDT-margined_Futures_Market_Maker,1,,0,73,Binance USD
2022-12-23,rust-binance-cli,1,Rust,6,73,Binance USD
2022-12-23,B_USDBOT,1,,4,73,Binance USD
2022-12-23,p2p_hkd_usdt_alert,1,Python,1,73,Binance USD
2022-12-23,Coin-Crawler,0,Python,0,73,Binance USD
2022-12-23,BinanceSupport-1855-557-7840-Binance-Unable-to-trade-with-WAVES-USDC-Trading-Pairs,0,,0,73,Binance USD
2022-12-23,Crypto-NetUSD-Summation,0,Python,0,73,Binance USD
2022-12-23,Binance-Cloud-Tracker,0,Python,2,73,Binance USD
2022-12-23,binance-fiat-converter-chrome,0,JavaScript,0,73,Binance USD
2022-12-23,get-accounts,0,Python,0,73,Binance USD
2022-12-23,neon-asset,0,Python,0,73,Binance USD
2022-12-23,crypto.js,0,,0,73,Binance USD
2022-12-23,pasek_krypto,0,Python,0,73,Binance USD
2022-12-23,crypto-trade,0,,0,73,Binance USD
2022-12-23,-https-api.blockchair.com-cross-chain-binance-usd-stats,0,,0,73,Binance USD
2022-12-23,Chrome-Extension-For-BTC,0,JavaScript,0,73,Binance USD
2022-12-23,Dogecoin-Price-Android,0,Java,0,73,Binance USD
2022-12-23,node-binance-trader-usdt-zen,0,JavaScript,0,73,Binance USD
2022-12-23,add-bit-up,0,JavaScript,0,73,Binance USD
2022-12-23,EthPriceOracle,0,JavaScript,0,73,Binance USD
2022-12-23,SimplifyMyTaxes,0,Kotlin,0,73,Binance USD
2022-12-23,eth-monitor,0,TypeScript,1,73,Binance USD
2022-12-23,loan-,0,,0,73,Binance USD
2022-12-23,I-can-t-see-ethereum-in-brave-wallet,0,,0,73,Binance USD
2022-12-23,Average-Last-Price-Bitcoin-in-USDT,0,Python,0,73,Binance USD
2022-12-23,fetct_binance_usdtvnd_price,0,Python,0,73,Binance USD
2022-12-23,colab-binance-doge-usdt-graph,0,Jupyter Notebook,0,73,Binance USD
2022-12-23,python-binance-usdt-pairs-crawl,0,Python,0,73,Binance USD
2022-12-23,tradingview-binance-usdt-tickers,0,,6,73,Binance USD
2022-12-23,hidalgo-trading-tool,0,Python,2,73,Binance USD
2022-12-23,btc2usd,0,PHP,0,73,Binance USD
2022-12-23,binance_usdt,0,,0,73,Binance USD
2022-12-23,BinanceBTCtoUSDFirefoxAddon,0,JavaScript,0,73,Binance USD
2022-12-23,Binance-futures-heatmap-vue-charts-pink-031722-autopopulate,0,HTML,1,73,Binance USD
2022-12-23,binance-USDCTUSD,0,,0,73,Binance USD
2022-12-23,binance-USDCBNB,0,,0,73,Binance USD
2022-12-23,binance-USDCBTC,0,,0,73,Binance USD
2022-12-23,binance-USDSUSDC,0,,0,73,Binance USD
2022-12-23,binance-USDSBUSDT,0,,0,73,Binance USD
2022-12-23,binance-USDSPAX,0,,0,73,Binance USD
2022-12-23,binance-USDSUSDT,0,,0,73,Binance USD
2022-12-23,binance-USDCPAX,0,,0,73,Binance USD
2022-12-23,binance-USDSTUSD,0,,0,73,Binance USD
2022-12-23,binance-USDSBUSDS,0,,0,73,Binance USD
2022-12-23,binance-USDCUSDT,0,,0,73,Binance USD
2022-12-23,BTC-USDT-Trade-Stream,0,JavaScript,1,73,Binance USD
2022-12-23,USDTKRWCalculator,0,JavaScript,0,73,Binance USD
2022-12-23,uni-usdt-binance,0,Python,0,73,Binance USD
2022-12-23,binance_USDTRUB_spreadsheet,0,Python,1,73,Binance USD
2022-12-23,USDT-LockForBinance,0,Python,0,73,Binance USD
2022-12-23,binance-usdt-futures-aggregator,0,Python,1,73,Binance USD
2022-12-23,fetch_binance_USDTVND,0,Python,0,73,Binance USD
2022-12-23,chain-binance-usd-stats,0,,0,73,Binance USD
2022-12-23,binance-usdt-spot-trader,0,Python,1,73,Binance USD
2022-12-23,binance-spot-api,0,JavaScript,1,73,Binance USD
2022-12-23,pina,0,,0,73,Binance USD
