date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-23,bitcore-wallet-service,597,JavaScript,590,786,Bitcoin Cash
2022-12-23,haskoin-core,523,Haskell,94,786,Bitcoin Cash
2022-12-23,bitcoin-etl,320,Python,97,786,Bitcoin Cash
2022-12-23,fedimint,290,Rust,77,786,Bitcoin Cash
2022-12-23,bchd,271,Go,100,786,Bitcoin Cash
2022-12-23,Cashier-BTC,265,JavaScript,98,786,Bitcoin Cash
2022-12-23,libauth,242,TypeScript,47,786,Bitcoin Cash
2022-12-23,bitcoin-kit-ios,231,Swift,80,786,Bitcoin Cash
2022-12-23,awesome-bitcoin-cash,149,,66,786,Bitcoin Cash
2022-12-23,bitcoin-kit-android,129,Kotlin,68,786,Bitcoin Cash
2022-12-23,smartbch,121,Go,43,786,Bitcoin Cash
2022-12-23,bcash,103,JavaScript,66,786,Bitcoin Cash
2022-12-23,bitcoin-transactions,97,HTML,40,786,Bitcoin Cash
2022-12-23,bitcoincash,95,CSS,217,786,Bitcoin Cash
2022-12-23,cashscript,94,TypeScript,74,786,Bitcoin Cash
2022-12-23,cashu,93,Python,27,786,Bitcoin Cash
2022-12-23,paybear-samples,88,JavaScript,32,786,Bitcoin Cash
2022-12-23,bitcash,85,Python,37,786,Bitcoin Cash
2022-12-23,copernicus,85,Go,34,786,Bitcoin Cash
2022-12-23,CoinEx,79,PHP,95,786,Bitcoin Cash
2022-12-23,paperwallet.bitcoin.com,73,HTML,76,786,Bitcoin Cash
2022-12-23,BitcoinCash-Wallet,72,Go,38,786,Bitcoin Cash
2022-12-23,minipos,70,Python,13,786,Bitcoin Cash
2022-12-23,bccaddress,69,HTML,44,786,Bitcoin Cash
2022-12-23,docker-bitcoin,66,Dockerfile,23,786,Bitcoin Cash
2022-12-23,laravel-bitpay,64,PHP,33,786,Bitcoin Cash
2022-12-23,digital-cash,60,Python,49,786,Bitcoin Cash
2022-12-23,datacash,60,JavaScript,16,786,Bitcoin Cash
2022-12-23,bchaddrjs,59,JavaScript,45,786,Bitcoin Cash
2022-12-23,go-crypto-wallet,58,Go,13,786,Bitcoin Cash
2022-12-23,badger,56,JavaScript,59,786,Bitcoin Cash
2022-12-23,bitauth-ide,53,TypeScript,19,786,Bitcoin Cash
2022-12-23,GdaxHoarder,49,C#,11,786,Bitcoin Cash
2022-12-23,Valets,46,Python,17,786,Bitcoin Cash
2022-12-23,Telescope,44,JavaScript,12,786,Bitcoin Cash
2022-12-23,bchwallet,41,Go,27,786,Bitcoin Cash
2022-12-23,cashaddress,41,Python,32,786,Bitcoin Cash
2022-12-23,BitcoinPrivateKeyHunter,41,Python,21,786,Bitcoin Cash
2022-12-23,bchutil,40,Go,46,786,Bitcoin Cash
2022-12-23,bitcoin-verde,39,Java,22,786,Bitcoin Cash
2022-12-23,Electron-Cash-Last-Will-Plugin,37,Python,7,786,Bitcoin Cash
2022-12-23,workgroups,37,,25,786,Bitcoin Cash
2022-12-23,cashaddrjs,36,JavaScript,25,786,Bitcoin Cash
2022-12-23,HODLER-Open-Source-Multi-Asset-Wallet,35,Pascal,36,786,Bitcoin Cash
2022-12-23,cashuwallet,35,Java,15,786,Bitcoin Cash
2022-12-23,bitcoin-cash-merchant-ios,35,Swift,39,786,Bitcoin Cash
2022-12-23,react-pos,30,JavaScript,11,786,Bitcoin Cash
2022-12-23,cheddrme,29,JavaScript,6,786,Bitcoin Cash
2022-12-23,awesome-bitcoin-cash,27,CSS,12,786,Bitcoin Cash
2022-12-23,Bitcoin-Cash-RPC,26,JavaScript,16,786,Bitcoin Cash
2022-12-23,cashtokens,25,,20,786,Bitcoin Cash
2022-12-23,bitcoincashj,25,Java,18,786,Bitcoin Cash
2022-12-23,bch-js,24,JavaScript,26,786,Bitcoin Cash
2022-12-23,craft.cash,23,JavaScript,6,786,Bitcoin Cash
2022-12-23,bch.info,23,HTML,33,786,Bitcoin Cash
2022-12-23,meep,23,Go,6,786,Bitcoin Cash
2022-12-23,bitcoin-cash-converter,22,Java,15,786,Bitcoin Cash
2022-12-23,Bitcoin-Cash-Green-Art,21,,4,786,Bitcoin Cash
2022-12-23,mainnet-js,21,TypeScript,14,786,Bitcoin Cash
2022-12-23,bitbox-flutter,20,Dart,19,786,Bitcoin Cash
2022-12-23,bchtipbot,19,Python,8,786,Bitcoin Cash
2022-12-23,CashAddressPHP,18,PHP,17,786,Bitcoin Cash
2022-12-23,paytaca-app,18,Vue,4,786,Bitcoin Cash
