date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-23,bitcoin-sv,570,C++,278,177,Bitcoin SV
2022-12-23,bsv,191,JavaScript,102,177,Bitcoin SV
2022-12-23,electrumsv,128,Python,60,177,Bitcoin SV
2022-12-23,bitsv,95,Python,31,177,Bitcoin SV
2022-12-23,datapay,87,JavaScript,44,177,Bitcoin SV
2022-12-23,awesome-bitcoin-sv,77,,22,177,Bitcoin SV
2022-12-23,B,65,,6,177,Bitcoin SV
2022-12-23,rust-sv,51,Rust,19,177,Bitcoin SV
2022-12-23,protocol,47,,15,177,Bitcoin SV
2022-12-23,specification,44,,10,177,Bitcoin SV
2022-12-23,proxypay,33,JavaScript,5,177,Bitcoin SV
2022-12-23,planter,24,TypeScript,2,177,Bitcoin SV
2022-12-23,ts-bitcoin,23,TypeScript,3,177,Bitcoin SV
2022-12-23,token_btp,23,JavaScript,3,177,Bitcoin SV
2022-12-23,bsvlib,22,Python,9,177,Bitcoin SV
2022-12-23,bsv,21,Go,2,177,Bitcoin SV
2022-12-23,satchel,18,JavaScript,2,177,Bitcoin SV
2022-12-23,Open-Directory,18,JavaScript,5,177,Bitcoin SV
2022-12-23,bitcoinj-sv,18,Java,7,177,Bitcoin SV
2022-12-23,docker-bitcoinsv,18,Makefile,4,177,Bitcoin SV
2022-12-23,bitcoin4j,17,Java,3,177,Bitcoin SV
2022-12-23,filepay,16,JavaScript,6,177,Bitcoin SV
2022-12-23,docker-sv,16,Shell,13,177,Bitcoin SV
2022-12-23,xoken-node,15,Haskell,7,177,Bitcoin SV
2022-12-23,SwiftBSV,15,Swift,1,177,Bitcoin SV
2022-12-23,tique_case,15,JavaScript,13,177,Bitcoin SV
2022-12-23,pewpew,14,JavaScript,2,177,Bitcoin SV
2022-12-23,sensiblequery,12,Go,3,177,Bitcoin SV
2022-12-23,sendover,10,JavaScript,3,177,Bitcoin SV
2022-12-23,Bitcoin-Price-Prediction-Using-EMD-SVR,9,Python,1,177,Bitcoin SV
2022-12-23,polywallet,9,TypeScript,2,177,Bitcoin SV
2022-12-23,sensibled,7,Go,0,177,Bitcoin SV
2022-12-23,xoken-core,7,Haskell,4,177,Bitcoin SV
2022-12-23,biggybank,7,JavaScript,3,177,Bitcoin SV
2022-12-23,bitcoin-sv-lib,6,,0,177,Bitcoin SV
2022-12-23,BitBtn,6,JavaScript,2,177,Bitcoin SV
2022-12-23,gobitcoinsv,6,HTML,0,177,Bitcoin SV
2022-12-23,NOTE.SV,6,,2,177,Bitcoin SV
2022-12-23,map.sv,6,HTML,0,177,Bitcoin SV
2022-12-23,bsv-coinselect,6,JavaScript,2,177,Bitcoin SV
2022-12-23,KzBsv,6,C#,6,177,Bitcoin SV
2022-12-23,BitcoinBIPs,5,,1,177,Bitcoin SV
2022-12-23,opreturn_server,5,JavaScript,1,177,Bitcoin SV
2022-12-23,bsv_rpc,5,Elixir,0,177,Bitcoin SV
2022-12-23,coldwallet,5,JavaScript,1,177,Bitcoin SV
2022-12-23,svenska-bitcoin,4,CSS,1,177,Bitcoin SV
2022-12-23,vscode-bitcoin,4,TypeScript,1,177,Bitcoin SV
2022-12-23,bitcoinsv-kubernetes,4,Dockerfile,0,177,Bitcoin SV
2022-12-23,terraform-digitalocean-bitcoin-sv,4,HCL,2,177,Bitcoin SV
2022-12-23,hardfork,4,Go,3,177,Bitcoin SV
2022-12-23,BsvSimpleLibrary,3,C#,0,177,Bitcoin SV
2022-12-23,bithook-server,3,JavaScript,0,177,Bitcoin SV
2022-12-23,bch-svg-assets,3,,1,177,Bitcoin SV
2022-12-23,bitcoinsvj,3,Java,1,177,Bitcoin SV
2022-12-23,BitcoinSVDevelopers,3,PHP,2,177,Bitcoin SV
2022-12-23,docker-planaria,3,JavaScript,0,177,Bitcoin SV
2022-12-23,Build-on-Bitcoin-SV,3,,0,177,Bitcoin SV
2022-12-23,bitcoin-sv-arm64,3,Roff,0,177,Bitcoin SV
2022-12-23,BsvSharp,3,C#,0,177,Bitcoin SV
2022-12-23,flutter-bsv,2,Dart,0,177,Bitcoin SV
2022-12-23,BitcoinSVCryptor,2,C#,0,177,Bitcoin SV
2022-12-23,SignuDoc,2,JavaScript,0,177,Bitcoin SV
2022-12-23,bitsv-data,2,Python,1,177,Bitcoin SV
2022-12-23,Miles-BSV-HACKATON,2,HTML,0,177,Bitcoin SV
2022-12-23,bitcoinSV,2,HTML,0,177,Bitcoin SV
2022-12-23,windows-bitcoin-sv-bin,2,,1,177,Bitcoin SV
2022-12-23,MasterBitcoinSV,2,JavaScript,2,177,Bitcoin SV
2022-12-23,BAD,2,,2,177,Bitcoin SV
2022-12-23,bsv-x509,1,Python,0,177,Bitcoin SV
2022-12-23,bsv-tools,1,,0,177,Bitcoin SV
2022-12-23,BitcoinSV_protect,1,Shell,1,177,Bitcoin SV
2022-12-23,bsv-deno,1,TypeScript,1,177,Bitcoin SV
2022-12-23,MetaID,1,,0,177,Bitcoin SV
2022-12-23,docker-bitcoinsv,1,Dockerfile,0,177,Bitcoin SV
2022-12-23,BitSurvey,1,EJS,0,177,Bitcoin SV
2022-12-23,datapay,1,JavaScript,5,177,Bitcoin SV
2022-12-23,Apptillery,1,,0,177,Bitcoin SV
2022-12-23,sensiblequery-web,1,Vue,0,177,Bitcoin SV
2022-12-23,parasite,0,,0,177,Bitcoin SV
2022-12-23,bitcoin-sv-price-ruby,0,Python,0,177,Bitcoin SV
2022-12-23,build_sv_docker,0,Dockerfile,0,177,Bitcoin SV
2022-12-23,bitcoinSV.ml,0,,0,177,Bitcoin SV
2022-12-23,go-svdb,0,Go,0,177,Bitcoin SV
2022-12-23,bitcoin-sv,0,C++,0,177,Bitcoin SV
2022-12-23,Veribit,0,JavaScript,0,177,Bitcoin SV
2022-12-23,SVlib,0,JavaScript,0,177,Bitcoin SV
2022-12-23,bsvcontentserver,0,,0,177,Bitcoin SV
2022-12-23,rust-bitcoin,0,Rust,0,177,Bitcoin SV
2022-12-23,bitcoin-sv,0,Dockerfile,0,177,Bitcoin SV
2022-12-23,electrumsv-mAPI,0,,2,177,Bitcoin SV
2022-12-23,bsv-regtest,0,Dockerfile,0,177,Bitcoin SV
2022-12-23,KzWallets,0,C#,0,177,Bitcoin SV
2022-12-23,node,0,HTML,0,177,Bitcoin SV
2022-12-23,Bsv-Simaple-Library,0,C#,0,177,Bitcoin SV
2022-12-23,docker-bitcoind-sv,0,Dockerfile,0,177,Bitcoin SV
2022-12-23,bitcoin-sv-gbtn,0,C++,0,177,Bitcoin SV
2022-12-23,bitcoin-sv-depends,0,,0,177,Bitcoin SV
2022-12-23,bitcoin-SV,0,C++,0,177,Bitcoin SV
2022-12-23,docker-bitcoinsv,0,Dockerfile,0,177,Bitcoin SV
2022-12-23,bitcoin-address-watcher,0,HTML,1,177,Bitcoin SV
