date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-23,bitcoin,67060,C++,33285,61928,Bitcoin
2022-11-23,ccxt,26462,JavaScript,6469,61928,Bitcoin
2022-11-23,bitcoinbook,20667,AsciiDoc,5446,61928,Bitcoin
2022-11-23,ZeroNet,17693,JavaScript,2276,61928,Bitcoin
2022-11-23,bips,7446,Wikitext,4769,61928,Bitcoin
2022-11-23,electrum,6020,Python,2804,61928,Bitcoin
2022-11-23,blackbird,5656,C++,1070,61928,Bitcoin
2022-11-23,btcd,5054,Go,1788,61928,Bitcoin
2022-11-23,bitcoinjs-lib,4760,TypeScript,1861,61928,Bitcoin
2022-11-23,bitcore,4461,JavaScript,2097,61928,Bitcoin
2022-11-23,bitcoinj,4459,Java,2378,61928,Bitcoin
2022-11-23,bisq,4162,Java,1240,61928,Bitcoin
2022-11-23,btcpayserver,4004,C#,981,61928,Bitcoin
2022-11-23,bitcoin-wallet,3066,Java,1880,61928,Bitcoin
2022-11-23,cpuminer,2555,Assembly,1177,61928,Bitcoin
2022-11-23,Learning-Bitcoin-from-the-Command-Line,2474,Jupyter Notebook,615,61928,Bitcoin
2022-11-23,bitcoin-on-nodejs,2454,JavaScript,650,61928,Bitcoin
2022-11-23,bitcoin-arbitrage,2207,Python,782,61928,Bitcoin
2022-11-23,bitaddress.org,2148,HTML,1470,61928,Bitcoin
2022-11-23,NBitcoin,1745,C#,818,61928,Bitcoin
2022-11-23,python-bitcoinlib,1563,Python,551,61928,Bitcoin
2022-11-23,MasterBitcoin2CN,1438,,420,61928,Bitcoin
2022-11-23,Bitcoin.org,1363,HTML,2059,61928,Bitcoin
2022-11-23,rust-bitcoin,1223,Rust,366,61928,Bitcoin
2022-11-23,libbitcoin-system,1195,C++,354,61928,Bitcoin
2022-11-23,insight,1155,TypeScript,1149,61928,Bitcoin
2022-11-23,Open-Source-FPGA-Bitcoin-Miner,1133,VHDL,547,61928,Bitcoin
2022-11-23,bit,1110,Python,185,61928,Bitcoin
2022-11-23,bitcoin-abc,1102,C++,673,61928,Bitcoin
2022-11-23,btc-rpc-explorer,1096,JavaScript,811,61928,Bitcoin
2022-11-23,p2pool,1060,Python,1036,61928,Bitcoin
2022-11-23,bitcoin-php,964,PHP,356,61928,Bitcoin
2022-11-23,awesome-bitcoin,959,,157,61928,Bitcoin
2022-11-23,bitcoin-abe,950,Python,654,61928,Bitcoin
2022-11-23,bitcoin-ruby,909,Ruby,305,61928,Bitcoin
2022-11-23,BitcoinExchangeFH,903,Python,281,61928,Bitcoin
2022-11-23,bitcoin-reading-list,882,,211,61928,Bitcoin
2022-11-23,cpuminer,827,C,2305,61928,Bitcoin
2022-11-23,BitcoinKit,785,Swift,225,61928,Bitcoin
2022-11-23,tforce_btc_trader,774,Jupyter Notebook,227,61928,Bitcoin
2022-11-23,StratisBitcoinFullNode,772,C#,324,61928,Bitcoin
2022-11-23,pyminer,771,Python,350,61928,Bitcoin
2022-11-23,bitcoin-whitepaper-chinese-translation,755,HTML,437,61928,Bitcoin
2022-11-23,parity-bitcoin,713,Rust,209,61928,Bitcoin
2022-11-23,esplora,709,JavaScript,340,61928,Bitcoin
2022-11-23,original-bitcoin,702,C++,450,61928,Bitcoin
2022-11-23,CoreBitcoin,694,C,256,61928,Bitcoin
2022-11-23,BitcoinArmory,694,C++,546,61928,Bitcoin
2022-11-23,buttercoin,656,CoffeeScript,266,61928,Bitcoin
2022-11-23,QtBitcoinTrader,641,C++,345,61928,Bitcoin
2022-11-23,poclbm,641,Python,382,61928,Bitcoin
2022-11-23,wallet-android,615,Java,346,61928,Bitcoin
2022-11-23,python-bitcoinrpc,599,Python,298,61928,Bitcoin
2022-11-23,bitcore-wallet-service,597,JavaScript,591,61928,Bitcoin
2022-11-23,bitcore-lib,596,JavaScript,1082,61928,Bitcoin
2022-11-23,insight-api,576,JavaScript,1074,61928,Bitcoin
2022-11-23,bitcoin-sv,563,C++,274,61928,Bitcoin
2022-11-23,DiabloMiner,529,Java,216,61928,Bitcoin
2022-11-23,blockparser,519,C,331,61928,Bitcoin
2022-11-23,libbitcoin-explorer,512,C++,165,61928,Bitcoin
2022-11-23,docker-bitcoind,512,Shell,356,61928,Bitcoin
2022-11-23,bitcoin-testnet-box,484,Dockerfile,234,61928,Bitcoin
