date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-26,cardano-sl,3755,Haskell,619,3082,Cardano
2022-10-26,cardano-node,2830,Haskell,646,3082,Cardano
2022-10-26,Smart-Contract-Security-Audits,1266,HTML,994,3082,Cardano
2022-10-26,essential-cardano,731,,300,3082,Cardano
2022-10-26,cardano-wallet,689,Haskell,205,3082,Cardano
2022-10-26,nami,332,JavaScript,128,3082,Cardano
2022-10-26,yoroi-frontend,313,JavaScript,90,3082,Cardano
2022-10-26,rust-byron-cardano,275,Rust,78,3082,Cardano
2022-10-26,developer-portal,260,JavaScript,651,3082,Cardano
2022-10-26,cardano-graphql,241,Nix,95,3082,Cardano
2022-10-26,adalite,239,TypeScript,51,3082,Cardano
2022-10-26,ogmios,235,Haskell,65,3082,Cardano
2022-10-26,cardano-db-sync,231,Haskell,127,3082,Cardano
2022-10-26,oura,207,Rust,41,3082,Cardano
2022-10-26,Pi-Pool,203,Shell,20,3082,Cardano
2022-10-26,cardano-documentation,202,JavaScript,124,3082,Cardano
2022-10-26,cardano-serialization-lib,199,Rust,115,3082,Cardano
2022-10-26,plutus-starter,194,Nix,89,3082,Cardano
2022-10-26,cardano-token-registry,182,Nix,868,3082,Cardano
2022-10-26,cardano-ledger,182,Haskell,117,3082,Cardano
2022-10-26,cardanocli-js,173,JavaScript,83,3082,Cardano
2022-10-26,adrestia,165,Markdown,38,3082,Cardano
2022-10-26,cardano-pool-docker,158,Shell,61,3082,Cardano
2022-10-26,cardano-js-sdk,147,TypeScript,33,3082,Cardano
2022-10-26,pycardano,142,Python,32,3082,Cardano
2022-10-26,toolkit-for-cardano,138,Go,15,3082,Cardano
2022-10-26,cncli,130,Rust,45,3082,Cardano
2022-10-26,cardano-tutorials,117,Makefile,117,3082,Cardano
2022-10-26,cardano-minter,115,JavaScript,62,3082,Cardano
2022-10-26,cardano-addresses,111,Haskell,31,3082,Cardano
2022-10-26,cardano-python,106,Python,17,3082,Cardano
2022-10-26,docs-cardano-org,96,CSS,62,3082,Cardano
2022-10-26,sealchain,94,Haskell,8,3082,Cardano
2022-10-26,cardano-explorer-app,93,TypeScript,34,3082,Cardano
2022-10-26,cardano-wallet-connector,92,JavaScript,68,3082,Cardano
