date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-30,coredns,10017,Go,1799,91464,Chain
2022-11-30,tensorboardX,7487,Python,864,91464,Chain
2022-11-30,chainer,5748,Python,1392,91464,Chain
2022-11-30,go-grpc-middleware,5046,Go,594,91464,Chain
2022-11-30,proposal-optional-chaining,4963,HTML,82,91464,Chain
2022-11-30,cosmos-sdk,4724,Go,2359,91464,Chain
2022-11-30,chainlink,4028,Go,1179,91464,Chain
2022-11-30,chains,3907,Kotlin,1542,91464,Chain
2022-11-30,BlockChain,3810,JavaScript,1169,91464,Chain
2022-11-30,PaintsChainer,3695,Jupyter Notebook,554,91464,Chain
2022-11-30,markovify,3092,Python,336,91464,Chain
2022-11-30,UICKeyChainStore,3054,Objective-C,384,91464,Chain
2022-11-30,webpack-chain,3046,JavaScript,243,91464,Chain
2022-11-30,alice,2694,Go,150,91464,Chain
2022-11-30,chainquery,2368,Go,36,91464,Chain
2022-11-30,TypeChain,2328,TypeScript,302,91464,Chain
2022-11-30,solana-program-library,2126,Rust,1295,91464,Chain
2022-11-30,chain,1793,Go,374,91464,Chain
2022-11-30,chainsaw,1754,Rust,162,91464,Chain
2022-11-30,compound-protocol,1603,TypeScript,1112,91464,Chain
2022-11-30,whitepaper,1493,,394,91464,Chain
2022-11-30,chainercv,1474,Python,312,91464,Chain
2022-11-30,chaiNNer,1221,Python,77,91464,Chain
2022-11-30,chainerrl,1081,Python,231,91464,Chain
2022-11-30,WaykiChain,1049,C++,239,91464,Chain
2022-11-30,django-smart-selects,1021,Python,336,91464,Chain
2022-11-30,slsa,962,,146,91464,Chain
2022-11-30,chainer-DCGAN,921,Python,184,91464,Chain
2022-11-30,pytorch-crf,846,Python,144,91464,Chain
2022-11-30,chainer-fast-neuralstyle,800,Python,228,91464,Chain
2022-11-30,as,790,C,427,91464,Chain
2022-11-30,ChainPageCollectionView,775,Swift,59,91464,Chain
2022-11-30,vega,769,Python,161,91464,Chain
2022-11-30,cert-chain-resolver,762,Go,79,91464,Chain
2022-11-30,pwn2own2018,739,C,120,91464,Chain
2022-11-30,redpill-tool-chain,730,Shell,1788,91464,Chain
2022-11-30,error-chain,728,Rust,109,91464,Chain
2022-11-30,chain33,674,Go,246,91464,Chain
2022-11-30,chainbreaker,640,Python,142,91464,Chain
2022-11-30,rekor,628,Go,112,91464,Chain
2022-11-30,blind-ssrf-chains,612,,85,91464,Chain
2022-11-30,learn-chaincode,612,Go,3361,91464,Chain
2022-11-30,gno,606,Go,235,91464,Chain
2022-11-30,proxy-chain,597,JavaScript,113,91464,Chain
2022-11-30,chainer-chemistry,543,Python,128,91464,Chain
2022-11-30,ethereum-lists,505,JavaScript,1397,91464,Chain
2022-11-30,thunder,504,Java,202,91464,Chain
2022-11-30,ChainBridge,449,Go,294,91464,Chain
2022-11-30,ChainReactApp2017,434,JavaScript,118,91464,Chain
2022-11-30,chain-main,434,Go,331,91464,Chain
2022-11-30,chainlink-mix,427,Solidity,173,91464,Chain
2022-11-30,ChainKnowledgeGraph,403,Python,104,91464,Chain
2022-11-30,deeppose,398,Python,130,91464,Chain
2022-11-30,frepple,383,Python,213,91464,Chain
2022-11-30,baidu-pet-chain-buyer,377,HTML,119,91464,Chain
2022-11-30,bsc-genesis-contract,374,Solidity,501,91464,Chain
2022-11-30,blockatlas,356,Go,255,91464,Chain
2022-11-30,Chain,347,JavaScript,19,91464,Chain
2022-11-30,chainoffools,341,Python,90,91464,Chain
2022-11-30,ChainRules.jl,324,Julia,71,91464,Chain
2022-11-30,all-on-chain-generated-nft,322,JavaScript,149,91464,Chain
2022-11-30,chain-desktop-wallet,319,TypeScript,111,91464,Chain
2022-11-30,NoobChain-Tutorial-Part-1,297,Java,174,91464,Chain
2022-11-30,CAIPs,286,HTML,94,91464,Chain
2022-11-30,fabric-chaincode-java,270,Java,190,91464,Chain
2022-11-30,chain-registry,266,,410,91464,Chain
2022-11-30,python-binance-chain,264,Python,122,91464,Chain
2022-11-30,sawtooth-supply-chain,260,JavaScript,211,91464,Chain
2022-11-30,ChainX,259,Rust,73,91464,Chain
2022-11-30,chain,239,Python,157,91464,Chain
2022-11-30,heco-chain,239,Go,131,91464,Chain
2022-11-30,chainer-cyclegan,230,Python,53,91464,Chain
2022-11-30,AnnChain,223,Go,124,91464,Chain
2022-11-30,CrossChain-Bridge,219,Go,132,91464,Chain
2022-11-30,fabric-chaincode-node,209,JavaScript,130,91464,Chain
2022-11-30,chainweb-node,209,Haskell,83,91464,Chain
2022-11-30,chainsqld,208,C++,73,91464,Chain
2022-11-30,chainermn,205,,57,91464,Chain
2022-11-30,chainify,204,TypeScript,69,91464,Chain
2022-11-30,scope-chains-closures,197,JavaScript,146,91464,Chain
2022-11-30,sf-chain-guides,195,JavaScript,166,91464,Chain
2022-11-30,ChainRulesCore.jl,189,Julia,48,91464,Chain
2022-11-30,chains,184,Go,99,91464,Chain
2022-11-30,ChainReactApp2019,163,TypeScript,57,91464,Chain
2022-11-30,AgroChain,155,JavaScript,118,91464,Chain
2022-11-30,thaler,152,Rust,77,91464,Chain
2022-11-30,sei-chain,145,TypeScript,242,91464,Chain
2022-11-30,chaindata,135,Solidity,128,91464,Chain
2022-11-30,chainbridge-solidity,101,JavaScript,142,91464,Chain
2022-11-30,chain,95,Rust,39,91464,Chain
2022-11-30,chaingear,82,JavaScript,77,91464,Chain
2022-11-30,chain,77,Go,30,91464,Chain
2022-11-30,chain,76,PHP,10,91464,Chain
2022-11-30,ChainKeeper,73,CSS,84,91464,Chain
2022-11-30,WormholesChain,63,,156,91464,Chain
2022-11-30,ChainLadder,63,R,60,91464,Chain
2022-11-30,chainbase,45,C++,101,91464,Chain
2022-11-30,Chain,27,Objective-C,30,91464,Chain
2022-11-30,chain,20,Go,29,91464,Chain
2022-11-30,frontier-chain-testnets,0,,2782,91464,Chain
