date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-07,full-blockchain-solidity-course-py,9327,,2598,3878,Chainlink
2022-12-07,chainlink,4046,Go,1190,3878,Chainlink
2022-12-07,hardhat-starter-kit,851,JavaScript,304,3878,Chainlink
2022-12-07,nft-mix,798,Solidity,421,3878,Chainlink
2022-12-07,dungeons-and-dragons-nft,588,JavaScript,251,3878,Chainlink
2022-12-07,chainlink-mix,426,Solidity,171,3878,Chainlink
2022-12-07,all-on-chain-generated-nft,322,JavaScript,149,3878,Chainlink
2022-12-07,truffle-starter-kit,232,JavaScript,103,3878,Chainlink
2022-12-07,documentation,203,TypeScript,266,3878,Chainlink
2022-12-07,awesome-chainlink,201,,44,3878,Chainlink
2022-12-07,chainlink-ruby,154,Ruby,36,3878,Chainlink
2022-12-07,chainlink_defi,151,JavaScript,78,3878,Chainlink
2022-12-07,chainlink-polkadot,132,Go,66,3878,Chainlink
2022-12-07,USM,125,Solidity,21,3878,Chainlink
2022-12-07,LinkToken,119,Solidity,68,3878,Chainlink
2022-12-07,solana-starter-kit,117,JavaScript,39,3878,Chainlink
2022-12-07,chainlink-brownie-contracts,113,Solidity,32,3878,Chainlink
2022-12-07,dao-mix,84,Python,38,3878,Chainlink
2022-12-07,chainlink_betting_game,62,JavaScript,72,3878,Chainlink
2022-12-07,smartcontract-lottery,61,Solidity,99,3878,Chainlink
2022-12-07,chainlink-lottery,56,JavaScript,28,3878,Chainlink
2022-12-07,pokemon-nft,52,Solidity,28,3878,Chainlink
2022-12-07,chainlink-solana,50,Go,31,3878,Chainlink
2022-12-07,bridges,47,Go,27,3878,Chainlink
2022-12-07,chainlink-fullstack,46,TypeScript,4,3878,Chainlink
2022-12-07,waffle,44,Solidity,7,3878,Chainlink
2022-12-07,awesome-chainlink-cn,41,,4,3878,Chainlink
2022-12-07,external-initiator,40,Go,42,3878,Chainlink
2022-12-07,ethereum-prediction-market-boilerplate,40,JavaScript,39,3878,Chainlink
2022-12-07,chainlink-dynamic-nft-alchemy,39,Solidity,59,3878,Chainlink
2022-12-07,Link-My-Ride,37,JavaScript,13,3878,Chainlink
2022-12-07,chainlink-solana-demo,36,TypeScript,19,3878,Chainlink
2022-12-07,CL-EA-Python-Template,36,Python,30,3878,Chainlink
2022-12-07,libocr,34,Go,24,3878,Chainlink
2022-12-07,chainlink-automation-templates,32,Solidity,4,3878,Chainlink
2022-12-07,ChainLink-Node,32,,14,3878,Chainlink
2022-12-07,example-chainlinks,31,Solidity,20,3878,Chainlink
2022-12-07,chainlink-testing-framework,30,Solidity,17,3878,Chainlink
2022-12-07,chainlink-starknet,30,Go,4,3878,Chainlink
2022-12-07,chainlink-gcp,27,HCL,10,3878,Chainlink
2022-12-07,foundry-x-chainlink,27,Solidity,2,3878,Chainlink
2022-12-07,ChainlinkEthFailover,25,JavaScript,10,3878,Chainlink
2022-12-07,turbo,24,TypeScript,18,3878,Chainlink
2022-12-07,chainlink-hardhat-box,24,JavaScript,7,3878,Chainlink
2022-12-07,dungeons-and-dragons-nfts-hardhat,24,JavaScript,16,3878,Chainlink
2022-12-07,brownie_simple_storage,22,Python,29,3878,Chainlink
2022-12-07,asset-price-cl-ea,21,Go,17,3878,Chainlink
2022-12-07,chainlink-the-graph,20,JavaScript,12,3878,Chainlink
2022-12-07,weather-nft,20,Solidity,24,3878,Chainlink
2022-12-07,chainlink-hardhat,19,JavaScript,4,3878,Chainlink
2022-12-07,terraform-provider-chainlink,19,Go,6,3878,Chainlink
2022-12-07,historical-price-feed-data,18,JavaScript,7,3878,Chainlink
2022-12-07,quickstart-chainlinklabs-chainlink-node,18,Shell,12,3878,Chainlink
2022-12-07,ChainlinkKubernetes,17,,16,3878,Chainlink
2022-12-07,chainlink-node-composer,16,Shell,9,3878,Chainlink
2022-12-07,CryptoPokes,15,JavaScript,10,3878,Chainlink
2022-12-07,chainlink_exporter,15,Go,6,3878,Chainlink
2022-12-07,ChainLinkHackathonSpring2022,15,Solidity,3,3878,Chainlink
2022-12-07,Chainlink-Workshop-Solidity-Notlar,15,,4,3878,Chainlink
2022-12-07,alphavantage-adapter,15,Go,12,3878,Chainlink
2022-12-07,chainlink-cosmos,14,Go,7,3878,Chainlink
2022-12-07,chainlink-dev,14,JavaScript,5,3878,Chainlink
2022-12-07,iota-cl-ea,13,JavaScript,3,3878,Chainlink
2022-12-07,ChainlinkEthFailover,13,JavaScript,2,3878,Chainlink
2022-12-07,chainlink-bitcoin-adapter,13,Go,4,3878,Chainlink
2022-12-07,chainlink-fun,13,Shell,14,3878,Chainlink
