date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-10,pyChilizer,12,Python,5,33,Chiliz
2022-11-10,Chiliz.Net,5,C#,4,33,Chiliz
2022-11-10,v2,3,Go,0,33,Chiliz
2022-11-10,chiliz-clone,3,CSS,0,33,Chiliz
2022-11-10,chilizhu,2,JavaScript,0,33,Chiliz
2022-11-10,RoadMap,1,,0,33,Chiliz
2022-11-10,Cryptocurrency,1,,0,33,Chiliz
2022-11-10,Chiliz-Assignment,0,JavaScript,0,33,Chiliz
2022-11-10,ChilizCalculate,0,PHP,0,33,Chiliz
2022-11-10,Chiliz-Giving-Sports-Fans-A-Voice,0,,0,33,Chiliz
2022-11-10,Chiliz-Technical-Assessment-Frontend-Developer,0,JavaScript,0,33,Chiliz
2022-11-10,solidity_chiliz-options-exchange,0,JavaScript,0,33,Chiliz
2022-11-10,chiliz-technical-assessment,0,JavaScript,0,33,Chiliz
2022-11-10,chilizi-admin-web,0,JavaScript,0,33,Chiliz
2022-11-10,chiliz-main.js,0,JavaScript,0,33,Chiliz
2022-11-10,chiliz-NodeIndexer,0,JavaScript,0,33,Chiliz
2022-11-10,SharkChilizZZz,0,,0,33,Chiliz
2022-11-10,Chiliz-Price-Web-Scrapper,0,Python,0,33,Chiliz
2022-11-10,chilizi-serverless,0,JavaScript,0,33,Chiliz
2022-11-10,chiliz_test,0,PHP,0,33,Chiliz
2022-11-10,chilizi-web,0,JavaScript,0,33,Chiliz
2022-11-10,BotToChiliz,0,C#,1,33,Chiliz
2022-11-10,ChilizSportClub-contracts,0,Solidity,0,33,Chiliz
2022-11-10,chilizelda,0,C++,0,33,Chiliz
2022-11-10,ChilizOffset,0,PHP,0,33,Chiliz
2022-11-10,chilizstoresite,0,CSS,0,33,Chiliz
2022-11-10,WhitePaper,0,,0,33,Chiliz
2022-11-10,Chiliz,0,Solidity,0,33,Chiliz
2022-11-10,Chiliz,0,,0,33,Chiliz
2022-11-10,chiliz,0,TypeScript,0,33,Chiliz
2022-11-10,chiliz,0,JavaScript,0,33,Chiliz
2022-11-10,chiliz,0,HTML,1,33,Chiliz
2022-11-10,Chiliz,0,JavaScript,0,33,Chiliz
