date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-30,evmos,1376,Go,576,104,Cosmos Hub
2022-11-30,ChainBridge,449,Go,294,104,Cosmos Hub
2022-11-30,gaia,260,Go,564,104,Cosmos Hub
2022-11-30,azure-cosmos-db-change-feed-dotnet-retail-sample,59,JavaScript,37,104,Cosmos Hub
2022-11-30,juno,49,Go,16,104,Cosmos Hub
2022-11-30,juno,37,Go,39,104,Cosmos Hub
2022-11-30,neutron,27,Go,23,104,Cosmos Hub
2022-11-30,CosmosParametersWiki,23,,7,104,Cosmos Hub
2022-11-30,faucet,23,Vue,39,104,Cosmos Hub
2022-11-30,irisnet-crypto,21,JavaScript,24,104,Cosmos Hub
2022-11-30,inventory-hub-java-on-azure,20,Java,29,104,Cosmos Hub
2022-11-30,cosmoshub-scripts,19,Shell,15,104,Cosmos Hub
2022-11-30,cosmos-auto-rewards,15,Shell,17,104,Cosmos Hub
2022-11-30,dither,14,Vue,2,104,Cosmos Hub
2022-11-30,iot-hub-notifications-sync-graphdb,8,C#,8,104,Cosmos Hub
2022-11-30,cosmos,8,,6,104,Cosmos Hub
2022-11-30,rtoken-relay-core,6,Go,4,104,Cosmos Hub
2022-11-30,java-functions-eventhub-cosmosdb,5,Java,8,104,Cosmos Hub
2022-11-30,cosmos-hub-charter,4,,4,104,Cosmos Hub
2022-11-30,cosmoshub-proposals,4,,0,104,Cosmos Hub
2022-11-30,azure-cosmosdb-iot,4,JavaScript,1,104,Cosmos Hub
2022-11-30,gaia-sdk-js,3,JavaScript,4,104,Cosmos Hub
2022-11-30,Cryptocurrencies,3,Vue,0,104,Cosmos Hub
2022-11-30,freeflix-media-hub,3,Go,3,104,Cosmos Hub
2022-11-30,GameAnalyticsEventHubFunctionsCosmosDatalake,3,JavaScript,1,104,Cosmos Hub
2022-11-30,arcis,3,Go,5,104,Cosmos Hub
2022-11-30,docker-cosmos_gaia,2,Dockerfile,0,104,Cosmos Hub
2022-11-30,what-if,2,TypeScript,0,104,Cosmos Hub
2022-11-30,real-time-soil-moisture-mointoring-system-with-azure-functions-and-iot-hub,2,C#,0,104,Cosmos Hub
2022-11-30,Jullia-LP-staking,2,Rust,1,104,Cosmos Hub
2022-11-30,lido-cosmos-hub-contracts,2,Rust,0,104,Cosmos Hub
2022-11-30,ChangeFeed-CosmosDB,1,C#,0,104,Cosmos Hub
2022-11-30,Cosmos-RichList,1,Python,0,104,Cosmos Hub
2022-11-30,signalRIonicCosmosDb,1,,0,104,Cosmos Hub
2022-11-30,AzureStreamerWorkshop,1,Shell,2,104,Cosmos Hub
2022-11-30,Azure.CosmosDB.App,1,C#,0,104,Cosmos Hub
2022-11-30,functions-java-eventhub-to-cosmosdb,1,Java,0,104,Cosmos Hub
2022-11-30,COSMOS-HUB,1,,0,104,Cosmos Hub
2022-11-30,kafka-cosmos-keda-vk-aks-sample,1,Java,1,104,Cosmos Hub
2022-11-30,azure-data-engineering,1,Python,0,104,Cosmos Hub
2022-11-30,gaia-node-kube,1,Shell,0,104,Cosmos Hub
2022-11-30,reporting-launchpad,1,Go,0,104,Cosmos Hub
2022-11-30,Testing_GitHubAction,1,,1,104,Cosmos Hub
2022-11-30,serverless-sample-code,1,C#,0,104,Cosmos Hub
2022-11-30,owallet-docs,1,,0,104,Cosmos Hub
2022-11-30,jackal-chain-assets,1,,22,104,Cosmos Hub
2022-11-30,CosmosHubSubcribeEvent,1,Go,0,104,Cosmos Hub
2022-11-30,CosmosHub,1,,0,104,Cosmos Hub
2022-11-30,cosmosHUB_sripts,1,Shell,2,104,Cosmos Hub
2022-11-30,core,1,Go,0,104,Cosmos Hub
2022-11-30,Azure-Function-IoT_to_Cosmos,0,Python,0,104,Cosmos Hub
2022-11-30,cosmos-ingest,0,C#,0,104,Cosmos Hub
2022-11-30,toAzureEventsHubCosmosDBFunction,0,C#,0,104,Cosmos Hub
2022-11-30,toAzureEventsHubCosmosDB,0,C#,0,104,Cosmos Hub
2022-11-30,AzureSDKTest-dotnet,0,,0,104,Cosmos Hub
2022-11-30,Cosmos_Xi,0,,0,104,Cosmos Hub
2022-11-30,IoT-SmartRacking,0,Python,0,104,Cosmos Hub
2022-11-30,iotdevice-externalregistry-cosmosdb,0,,0,104,Cosmos Hub
2022-11-30,eventhub-to-cosmos,0,C#,0,104,Cosmos Hub
2022-11-30,AzureEvents_DataPipeLine_EndToEndd,0,Python,1,104,Cosmos Hub
2022-11-30,smartthings-event_hub-azure_function-cosmosdb-azure_table,0,C#,0,104,Cosmos Hub
2022-11-30,Event-Producer-to-Cosmos-Db---Event-Hub-through-Azure-Function,0,C#,0,104,Cosmos Hub
2022-11-30,aspnetcore-azure-cosmosdb,0,C#,0,104,Cosmos Hub
2022-11-30,Network_Building,0,,0,104,Cosmos Hub
2022-11-30,IOTapp-azure,0,CSS,0,104,Cosmos Hub
2022-11-30,snowdragon-functions,0,JavaScript,0,104,Cosmos Hub
2022-11-30,icplaza,0,Go,0,104,Cosmos Hub
2022-11-30,FunctionApp_IoTHub_CosmosDB,0,C#,0,104,Cosmos Hub
2022-11-30,loanblockchain,0,TypeScript,0,104,Cosmos Hub
2022-11-30,nebula,0,,0,104,Cosmos Hub
2022-11-30,hub.cosmos.network,0,,9,104,Cosmos Hub
2022-11-30,COSMOS2017,0,,0,104,Cosmos Hub
2022-11-30,gaia.sigs,0,,0,104,Cosmos Hub
2022-11-30,governance,0,,0,104,Cosmos Hub
2022-11-30,cosmos-hub,0,Go,0,104,Cosmos Hub
2022-11-30,CosmoHub,0,HTML,0,104,Cosmos Hub
2022-11-30,SlugHub.net.CosmosDB,0,C#,0,104,Cosmos Hub
2022-11-30,cosmos,0,JavaScript,1,104,Cosmos Hub
2022-11-30,cosmoshub-releases,0,Shell,0,104,Cosmos Hub
2022-11-30,cosmos-hub,0,Dockerfile,0,104,Cosmos Hub
2022-11-30,Cosmos-Hub,0,,0,104,Cosmos Hub
2022-11-30,chatterboxhub,0,Go,1,104,Cosmos Hub
2022-11-30,cosmoexp,0,Go,0,104,Cosmos Hub
2022-11-30,cosmos-hub-node-iac,0,Jinja,0,104,Cosmos Hub
2022-11-30,cosmoshub-proposals,0,,0,104,Cosmos Hub
2022-11-30,lido-cosmos-hub-contracts-,0,Shell,0,104,Cosmos Hub
2022-11-30,EventHubCosmosSpike,0,C#,0,104,Cosmos Hub
2022-11-30,IoTHub-Cosmos-DB,0,C#,0,104,Cosmos Hub
2022-11-30,lido-cosmos-hub-integration-tests,0,TypeScript,0,104,Cosmos Hub
2022-11-30,EventHubtoCosmosTableAPI,0,Python,1,104,Cosmos Hub
2022-11-30,tempReadingToCosmosDb,0,Python,0,104,Cosmos Hub
2022-11-30,cosmos.wr.io-WRIO-Hub,0,HTML,0,104,Cosmos Hub
2022-11-30,AzureEventHubCosmosDB,0,,0,104,Cosmos Hub
2022-11-30,app-cosmos-gaia,0,,0,104,Cosmos Hub
2022-11-30,container-file-gaia,0,Shell,0,104,Cosmos Hub
2022-11-30,game,0,Python,0,104,Cosmos Hub
2022-11-30,python-iothub-cosmos,0,Python,0,104,Cosmos Hub
2022-11-30,Cosmos-centralised-validators,0,,0,104,Cosmos Hub
2022-11-30,eventhub-cosmos-data-generator,0,C#,0,104,Cosmos Hub
2022-11-30,mongo-telementry,0,C#,0,104,Cosmos Hub
