date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-31,Daily-Interview-Question,26285,JavaScript,3287,101429,Dai
2022-10-31,GitHubDaily,17043,,1978,101429,Dai
2022-10-31,daisyui,15184,Svelte,614,101429,Dai
2022-10-31,daily,8895,,321,101429,Dai
2022-10-31,DAIN,7614,Python,811,101429,Dai
2022-10-31,daily-paper-computer-vision,5336,,1264,101429,Dai
2022-10-31,Android-Daily-Interview,4831,,701,101429,Dai
2022-10-31,Daily-Question,4133,Vue,452,101429,Dai
2022-10-31,ZhiHuDaily-React-Native,3652,JavaScript,832,101429,Dai
2022-10-31,go-daily-lib,3511,Go,431,101429,Dai
2022-10-31,dailycheckin,3204,Shell,862,101429,Dai
2022-10-31,frontendDaily,2123,HTML,189,101429,Dai
2022-10-31,daily-interview,1743,HTML,360,101429,Dai
2022-10-31,daily,1642,,195,101429,Dai
2022-10-31,luci-app-jd-dailybonus,1559,JavaScript,613,101429,Dai
2022-10-31,NirZhihuDaily2.0,1415,Objective-C,307,101429,Dai
2022-10-31,Swift-Daily-Tips,1376,Swift,81,101429,Dai
2022-10-31,vue-zhihu-daily,1291,JavaScript,280,101429,Dai
2022-10-31,Dai-Hentai,1153,Objective-C,166,101429,Dai
2022-10-31,daizhigev20,963,,333,101429,Dai
2022-10-31,react-daily-ui,924,CSS,333,101429,Dai
2022-10-31,Dain-App,868,Python,90,101429,Dai
2022-10-31,vue-ts-daily,741,Vue,165,101429,Dai
2022-10-31,winston-daily-rotate-file,731,JavaScript,146,101429,Dai
2022-10-31,CV_PaperDaily,716,,134,101429,Dai
2022-10-31,CV-arXiv-Daily,713,,74,101429,Dai
2022-10-31,GankDaily,699,Java,162,101429,Dai
2022-10-31,front-end-daily-challenges,691,CSS,144,101429,Dai
2022-10-31,awesome-makerdao,665,,166,101429,Dai
2022-10-31,daisy,610,Go,42,101429,Dai
2022-10-31,dss,607,Solidity,333,101429,Dai
2022-10-31,DailyNotes,581,Vue,33,101429,Dai
2022-10-31,Daily,565,Java,154,101429,Dai
2022-10-31,cnn-dailymail,561,Python,298,101429,Dai
2022-10-31,daily-zhihu,533,JavaScript,152,101429,Dai
2022-10-31,daily,525,C,90,101429,Dai
