date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-30,marketplace,930,TypeScript,552,695,Decentraland
2022-10-30,Awesome-Repository,271,,43,695,Decentraland
2022-10-30,ui,177,TypeScript,85,695,Decentraland
2022-10-30,panaverse.github.io,172,,51,695,Decentraland
2022-10-30,mana,141,Solidity,53,695,Decentraland
2022-10-30,marketplace-contracts,140,JavaScript,70,695,Decentraland
2022-10-30,builder,136,TypeScript,66,695,Decentraland
2022-10-30,marketplace-legacy,125,JavaScript,40,695,Decentraland
2022-10-30,bronzeage-node,106,JavaScript,29,695,Decentraland
2022-10-30,unity-renderer,101,C#,63,695,Decentraland
2022-10-30,decentraland-dapps,98,TypeScript,56,695,Decentraland
2022-10-30,explorer,77,TypeScript,45,695,Decentraland
2022-10-30,avatar-assets,74,TypeScript,86,695,Decentraland
2022-10-30,cli,67,TypeScript,55,695,Decentraland
2022-10-30,bronzeage-editor,58,C#,14,695,Decentraland
2022-10-30,catalyst,50,TypeScript,50,695,Decentraland
2022-10-30,proposals,45,,15,695,Decentraland
2022-10-30,eth-connect,44,TypeScript,15,695,Decentraland
2022-10-30,old-documentation,40,HTML,135,695,Decentraland
2022-10-30,governance,37,TypeScript,28,695,Decentraland
2022-10-30,decentraland-ecs-utils,32,TypeScript,14,695,Decentraland
2022-10-30,dcl-escape-room-tutorial,32,TypeScript,24,695,Decentraland
2022-10-30,auction,32,JavaScript,11,695,Decentraland
2022-10-30,stoneage-browser,31,JavaScript,13,695,Decentraland
2022-10-30,sample-scenes,31,,8,695,Decentraland
2022-10-30,js-sdk-toolchain,29,TypeScript,15,695,Decentraland
2022-10-30,decentraland-subgraph,27,TypeScript,10,695,Decentraland
2022-10-30,decentraland-workshop,26,TypeScript,6,695,Decentraland
2022-10-30,explorer-desktop,26,C#,16,695,Decentraland
2022-10-30,contracts,26,HTML,14,695,Decentraland
2022-10-30,stoneage-node,22,JavaScript,12,695,Decentraland
2022-10-30,architecture,21,Makefile,13,695,Decentraland
2022-10-30,DecentralandUnityPlugin,20,C#,9,695,Decentraland
2022-10-30,Genesis-Plaza,20,TypeScript,14,695,Decentraland
2022-10-30,kernel-legacy,20,TypeScript,7,695,Decentraland
2022-10-30,adr,19,SCSS,10,695,Decentraland
2022-10-30,kernel,18,TypeScript,22,695,Decentraland
2022-10-30,dapp-boilerplate,18,JavaScript,7,695,Decentraland
2022-10-30,decentraland-l2-utils,17,TypeScript,5,695,Decentraland
2022-10-30,decentraland-commons,17,TypeScript,13,695,Decentraland
2022-10-30,decentraland-ui-utils,15,TypeScript,17,695,Decentraland
2022-10-30,decentraland-eth,14,TypeScript,9,695,Decentraland
2022-10-30,dclconnect,13,TypeScript,3,695,Decentraland
2022-10-30,decentraland-npc-utils,13,TypeScript,15,695,Decentraland
2022-10-30,decentraland,12,TypeScript,6,695,Decentraland
2022-10-30,genesis.city,12,HTML,4,695,Decentraland
2022-10-30,nft-wall-example-scene,11,TypeScript,5,695,Decentraland
2022-10-30,decentraland-crypto-utils,11,TypeScript,9,695,Decentraland
2022-10-30,decentraland-gatsby,9,TypeScript,18,695,Decentraland
2022-10-30,Decentraland,8,TypeScript,0,695,Decentraland
2022-10-30,Weather-simulation,8,TypeScript,5,695,Decentraland
2022-10-30,nft-scanner-basic,8,TypeScript,6,695,Decentraland
2022-10-30,transparency,7,TypeScript,4,695,Decentraland
2022-10-30,decentraland-connect,7,TypeScript,11,695,Decentraland
2022-10-30,matrix-client,7,TypeScript,8,695,Decentraland
2022-10-30,collections-graph,7,TypeScript,13,695,Decentraland
2022-10-30,decentraland-rpc,6,TypeScript,5,695,Decentraland
2022-10-30,Dance-floor,6,TypeScript,6,695,Decentraland
2022-10-30,npc-dialog-example-scene,6,TypeScript,5,695,Decentraland
2022-10-30,canilla,6,JavaScript,5,695,Decentraland
2022-10-30,web,6,CSS,14,695,Decentraland
2022-10-30,decentraland-crypto-middleware,5,TypeScript,2,695,Decentraland
2022-10-30,catalyst-client,5,TypeScript,11,695,Decentraland
2022-10-30,decentraland-crypto-fetch,5,TypeScript,3,695,Decentraland
2022-10-30,meta_add_decentraland,5,TypeScript,2,695,Decentraland
2022-10-30,decentraland-maps,5,HTML,3,695,Decentraland
2022-10-30,common-schemas,5,TypeScript,10,695,Decentraland
