date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-14,dogecoin,14199,C++,2625,1608,Dogecoin
2022-11-14,miningcore,612,C,511,1608,Dogecoin
2022-11-14,Payment-Gateway,483,CSS,340,1608,Dogecoin
2022-11-14,dogecoin.com,448,HTML,220,1608,Dogecoin
2022-11-14,walletool,135,Python,66,1608,Dogecoin
2022-11-14,coinkey,134,JavaScript,57,1608,Dogecoin
2022-11-14,django-cc,122,Python,39,1608,Dogecoin
2022-11-14,node-dogecoin,113,JavaScript,36,1608,Dogecoin
2022-11-14,libdohj,91,Java,93,1608,Dogecoin
2022-11-14,framework,90,JavaScript,51,1608,Dogecoin
2022-11-14,crypto-icons,86,,94,1608,Dogecoin
2022-11-14,rosetta-dogecoin,83,Go,25,1608,Dogecoin
2022-11-14,dogethereum-contracts,62,TypeScript,16,1608,Dogecoin
2022-11-14,docs,60,Makefile,6,1608,Dogecoin
2022-11-14,libdogecoin,58,C,15,1608,Dogecoin
2022-11-14,dogeclickbot,53,Python,49,1608,Dogecoin
2022-11-14,Valets,46,Python,17,1608,Dogecoin
2022-11-14,TelgCryptoAllClickBot,45,Python,47,1608,Dogecoin
2022-11-14,dogecoin.github.io,34,HTML,23,1608,Dogecoin
2022-11-14,foundation.dogecoin.com,30,HTML,16,1608,Dogecoin
2022-11-14,DogecoinJS,30,JavaScript,3,1608,Dogecoin
2022-11-14,multimerchant-python,29,Python,19,1608,Dogecoin
2022-11-14,dips,28,,19,1608,Dogecoin
2022-11-14,doge_assets,28,PHP,21,1608,Dogecoin
2022-11-14,dogecoin-bootstrap,27,,5,1608,Dogecoin
2022-11-14,moon-doge,26,PHP,14,1608,Dogecoin
2022-11-14,Rich-Address-Wallet,26,,128,1608,Dogecoin
2022-11-14,Doger,25,Python,18,1608,Dogecoin
2022-11-14,botcoin,24,JavaScript,6,1608,Dogecoin
2022-11-14,dogecoin-simulator,23,TypeScript,5,1608,Dogecoin
2022-11-14,gigawallet,21,Go,7,1608,Dogecoin
2022-11-14,wowdoge.org,20,Java,6,1608,Dogecoin
2022-11-14,electrum-doge,20,Python,11,1608,Dogecoin
2022-11-14,diy-dogecoin-digger,19,Batchfile,10,1608,Dogecoin
2022-11-14,dogecoin.com,19,HTML,26,1608,Dogecoin
2022-11-14,docker,19,Python,14,1608,Dogecoin
2022-11-14,dogestarter,18,JavaScript,7,1608,Dogecoin
2022-11-14,faucet-doge,18,PHP,15,1608,Dogecoin
2022-11-14,dogecoins-faucet,17,PHP,12,1608,Dogecoin
2022-11-14,dogecoin_client,17,Ruby,5,1608,Dogecoin
2022-11-14,DogeGarden,17,PHP,5,1608,Dogecoin
2022-11-14,dogecoin-miner-rust,16,Rust,9,1608,Dogecoin
2022-11-14,doge-cool,15,TypeScript,9,1608,Dogecoin
2022-11-14,DogePos,15,PHP,15,1608,Dogecoin
2022-11-14,dogecoin-tipping-bot,14,JavaScript,22,1608,Dogecoin
2022-11-14,dogecoin-spv-node,14,JavaScript,2,1608,Dogecoin
2022-11-14,dogethereum-tools,14,JavaScript,7,1608,Dogecoin
2022-11-14,doge-button,13,CSS,7,1608,Dogecoin
2022-11-14,DogeMiner.host-co.in,13,HTML,16,1608,Dogecoin
2022-11-14,dogebot,13,JavaScript,11,1608,Dogecoin
