date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-31,elrond-go,862,Go,170,649,Elrond
2022-10-31,elrond-sdk,134,,47,649,Elrond
2022-10-31,elrond-wasm-rs,115,Rust,73,649,Elrond
2022-10-31,wasm-vm,60,Go,23,649,Elrond
2022-10-31,elrond-ide-vscode,60,TypeScript,26,649,Elrond
2022-10-31,elven-nft-minter-sc,41,Rust,32,649,Elrond
2022-10-31,awesome-elrond-dev-resources,40,,15,649,Elrond
2022-10-31,elrond-proxy-go,40,Go,20,649,Elrond
2022-10-31,elrond-sdk-erdjs,40,TypeScript,33,649,Elrond
2022-10-31,elrond-sdk-erdpy,25,Python,32,649,Elrond
2022-10-31,elrond,24,Python,2,649,Elrond
2022-10-31,nextjs-dapp-template,24,TypeScript,7,649,Elrond
2022-10-31,elven-tools-cli,23,TypeScript,10,649,Elrond
2022-10-31,elven-tools-dapp,22,TypeScript,23,649,Elrond
2022-10-31,buildo-begins,20,TypeScript,4,649,Elrond
2022-10-31,elrond-node-prototype,19,Java,7,649,Elrond
2022-10-31,elrond-sdk.dotnet,18,C#,3,649,Elrond
2022-10-31,vue-erdjs,18,Vue,6,649,Elrond
2022-10-31,api.elrond.com,18,TypeScript,23,649,Elrond
2022-10-31,elrond-specs,16,,14,649,Elrond
2022-10-31,docs.elrond.com,16,JavaScript,85,649,Elrond
2022-10-31,elrond-my-nfts-collection-dapp,15,JavaScript,7,649,Elrond
2022-10-31,sc-examples,15,C,11,649,Elrond
2022-10-31,elrond-simple-sc,14,WebAssembly,3,649,Elrond
2022-10-31,elrond-spring-boot-starter-reactive,14,Java,4,649,Elrond
2022-10-31,elrond-sdk-erdgo,13,Go,10,649,Elrond
2022-10-31,sc-bridge-elrond,13,Rust,16,649,Elrond
2022-10-31,elrond-config-mainnet,13,Shell,13,649,Elrond
2022-10-31,sc-chainlink-rs,12,Rust,4,649,Elrond
2022-10-31,elrond-nft-minting-platform-poc,12,TypeScript,14,649,Elrond
2022-10-31,learn-elrond,11,Rust,5,649,Elrond
2022-10-31,elrond-elements,11,SCSS,2,649,Elrond
2022-10-31,elrond-vm,11,Go,3,649,Elrond
2022-10-31,elrond-lkmex-distribution,11,Python,8,649,Elrond
2022-10-31,elrond-go-scripts-mainnet-old,11,Shell,18,649,Elrond
2022-10-31,elven-mint,11,TypeScript,4,649,Elrond
2022-10-31,elrondex,10,Elixir,1,649,Elrond
2022-10-31,elrond-docker,10,Shell,3,649,Elrond
2022-10-31,elrond-core-js,10,JavaScript,12,649,Elrond
2022-10-31,ElrondUnityDevelopmentTools,9,C#,0,649,Elrond
2022-10-31,data-dex,9,JavaScript,4,649,Elrond
2022-10-31,elrond-sdk-laravel,9,PHP,1,649,Elrond
2022-10-31,interface,9,TypeScript,3,649,Elrond
2022-10-31,sc-delegation-rs,9,Rust,12,649,Elrond
2022-10-31,elrond-wallet-prototype,8,HTML,7,649,Elrond
2022-10-31,observing-squad,8,Shell,10,649,Elrond
2022-10-31,sc-dns-rs,8,C,6,649,Elrond
2022-10-31,elastic-indexer-go,8,Go,9,649,Elrond
2022-10-31,elrond-sdk-erdcsharp,8,C#,4,649,Elrond
