date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-04,ChainBridge,446,Go,295,199,Ethereum Classic
2022-11-04,go-ethereum,443,Go,176,199,Ethereum Classic
2022-11-04,ethereumclassic.github.io,136,JavaScript,189,199,Ethereum Classic
2022-11-04,xdxminer,92,C#,29,199,Ethereum Classic
2022-11-04,paybear-samples,88,JavaScript,32,199,Ethereum Classic
2022-11-04,TeamBlackMiner,66,,26,199,Ethereum Classic
2022-11-04,ECIPs,55,,47,199,Ethereum Classic
2022-11-04,go-ethereum,46,Go,21,199,Ethereum Classic
2022-11-04,Valets,46,Python,17,199,Ethereum Classic
2022-11-04,TokenMint,42,JavaScript,30,199,Ethereum Classic
2022-11-04,etchash,28,,6,199,Ethereum Classic
2022-11-04,faq,20,,6,199,Ethereum Classic
2022-11-04,portal-network-browser-extension,15,JavaScript,5,199,Ethereum Classic
2022-11-04,Awesome-ETC,14,,24,199,Ethereum Classic
2022-11-04,ECIPs,11,,8,199,Ethereum Classic
2022-11-04,mantis-wallet,10,TypeScript,5,199,Ethereum Classic
2022-11-04,emerald,10,JavaScript,6,199,Ethereum Classic
2022-11-04,wiki,9,,14,199,Ethereum Classic
2022-11-04,mordor,9,,9,199,Ethereum Classic
2022-11-04,ethereum-api,8,JavaScript,3,199,Ethereum Classic
2022-11-04,Ethereum-Mainnet-chainld-2-short-Name-ethereum-mahmood-monfared,7,,8,199,Ethereum Classic
2022-11-04,etherup,6,Shell,3,199,Ethereum Classic
2022-11-04,etcminer,6,C++,3,199,Ethereum Classic
2022-11-04,tier2pool-classic,6,Go,5,199,Ethereum Classic
2022-11-04,go-ethereum,6,Go,9,199,Ethereum Classic
2022-11-04,etclient,5,Rust,3,199,Ethereum Classic
2022-11-04,dappDirect,5,JavaScript,12,199,Ethereum Classic
2022-11-04,Geth-ETC-DockerContainer,5,Shell,7,199,Ethereum Classic
2022-11-04,ECNS,5,JavaScript,6,199,Ethereum Classic
2022-11-04,etcDAO,4,,1,199,Ethereum Classic
2022-11-04,DAppNodePackage-ethereum-classic,4,Dockerfile,10,199,Ethereum Classic
2022-11-04,ecip-quorum,4,JavaScript,2,199,Ethereum Classic
2022-11-04,kensington,4,,2,199,Ethereum Classic
2022-11-04,BigQuery-Ethereum-Classic-Blockchain,3,Jupyter Notebook,0,199,Ethereum Classic
2022-11-04,wiki,3,,1,199,Ethereum Classic
2022-11-04,etcdesktop,3,Vue,0,199,Ethereum Classic
2022-11-04,kotti,3,,3,199,Ethereum Classic
2022-11-04,cs-ethereum-wallet,3,JavaScript,6,199,Ethereum Classic
2022-11-04,hyperledger-besu-etc-node,3,,1,199,Ethereum Classic
2022-11-04,vet-explorer,3,JavaScript,0,199,Ethereum Classic
2022-11-04,etc-pool-pps,3,Go,8,199,Ethereum Classic
2022-11-04,tektosphere-ethereum-classic-pool,3,Go,0,199,Ethereum Classic
2022-11-04,etc-history,3,,4,199,Ethereum Classic
2022-11-04,TheDAOETCTokenBalance,3,Shell,5,199,Ethereum Classic
2022-11-04,mnemonic-to-address,2,JavaScript,0,199,Ethereum Classic
2022-11-04,alphagruis-etc,2,C++,0,199,Ethereum Classic
2022-11-04,morden,2,,2,199,Ethereum Classic
2022-11-04,phoenix-project,2,,2,199,Ethereum Classic
2022-11-04,pydevp2p,2,,5,199,Ethereum Classic
2022-11-04,ecns,1,,2,199,Ethereum Classic
2022-11-04,breakr,1,Rust,2,199,Ethereum Classic
2022-11-04,ethereum-classic-adapter,1,Go,0,199,Ethereum Classic
2022-11-04,EthereumClassicTakeover,1,,0,199,Ethereum Classic
2022-11-04,ethereum-classic-multisig,1,,1,199,Ethereum Classic
2022-11-04,ethereum-classic-explorer,1,JavaScript,1,199,Ethereum Classic
2022-11-04,MasterList-EthereumClassic,1,,0,199,Ethereum Classic
2022-11-04,etc-ethereumclassic,1,HTML,1,199,Ethereum Classic
2022-11-04,ethereum-voting-app-demo,1,JavaScript,3,199,Ethereum Classic
2022-11-04,EthereumClassicGroupRiskAccessment,1,,0,199,Ethereum Classic
2022-11-04,ETC-CX-Wallet,1,JavaScript,6,199,Ethereum Classic
2022-11-04,Project_Funding,1,,6,199,Ethereum Classic
2022-11-04,classic,1,,2,199,Ethereum Classic
2022-11-04,tests,1,,3,199,Ethereum Classic
2022-11-04,ETCpool,1,Go,4,199,Ethereum Classic
2022-11-04,etc-explorer,1,JavaScript,2,199,Ethereum Classic
2022-11-04,bountyetc,1,JavaScript,3,199,Ethereum Classic
2022-11-04,ethereum-classic-price-ruby,0,Python,0,199,Ethereum Classic
2022-11-04,Ethereum-Classic-Prediction-2021-,0,,0,199,Ethereum Classic
2022-11-04,Ethereum-Classic-World-Nodes,0,JavaScript,0,199,Ethereum Classic
2022-11-04,ethereum-classic-price-chart,0,Python,0,199,Ethereum Classic
2022-11-04,how-to-ethereum-classic,0,,0,199,Ethereum Classic
2022-11-04,ETC,0,CSS,3,199,Ethereum Classic
2022-11-04,ethereum-classic-multisig,0,Solidity,0,199,Ethereum Classic
2022-11-04,go-ethereum-classic,0,Go,1,199,Ethereum Classic
2022-11-04,tektosphere-ethereum-classic,0,Go,0,199,Ethereum Classic
2022-11-04,ethereum-classic-wallet-preview,0,HTML,0,199,Ethereum Classic
