date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-23,go-ethereum,40264,Go,15439,57223,Ethereum
2022-11-23,ethereumbook,16732,JavaScript,4130,57223,Ethereum
2022-11-23,web3.js,16523,JavaScript,4324,57223,Ethereum
2022-11-23,wiki,14650,,2666,57223,Ethereum
2022-11-23,EIPs,10797,Solidity,4031,57223,Ethereum
2022-11-23,scaffold-eth,8151,CSS,2916,57223,Ethereum
2022-11-23,mist,7421,JavaScript,2054,57223,Ethereum
2022-11-23,parity-ethereum,6701,Rust,1675,57223,Ethereum
2022-11-23,ethers.js,5988,TypeScript,1330,57223,Ethereum
2022-11-23,ethminer,5888,C++,2294,57223,Ethereum
2022-11-23,ethereum-developer-tools-list,4419,,1016,57223,Ethereum
2022-11-23,web3j,4403,Java,1470,57223,Ethereum
2022-11-23,ganache-ui,4369,JavaScript,758,57223,Ethereum
2022-11-23,quorum,4269,Go,1190,57223,Ethereum
2022-11-23,aleth,3947,C++,2282,57223,Ethereum
2022-11-23,EthList,3770,,454,57223,Ethereum
2022-11-23,ethereum-boilerplate,3623,TypeScript,2990,57223,Ethereum
2022-11-23,ethereum-org-website,3600,Markdown,3442,57223,Ethereum
2022-11-23,wagmi,3398,TypeScript,394,57223,Ethereum
2022-11-23,consensus-specs,2933,Python,732,57223,Ethereum
2022-11-23,prysm,2899,Go,706,57223,Ethereum
2022-11-23,ethereum_book,2726,Vue,772,57223,Ethereum
2022-11-23,go-ethereum-code-analysis,2515,,947,57223,Ethereum
2022-11-23,create-eth-app,2442,JavaScript,419,57223,Ethereum
2022-11-23,ethereum-etl,2296,Python,625,57223,Ethereum
2022-11-23,ethereumj,2120,Java,1070,57223,Ethereum
2022-11-23,lighthouse,2089,Rust,451,57223,Ethereum
2022-11-23,ethereumjs-monorepo,2065,TypeScript,607,57223,Ethereum
2022-11-23,EthereumCasts,2011,JavaScript,1166,57223,Ethereum
2022-11-23,optimism,1957,Go,525,57223,Ethereum
2022-11-23,erigon,1951,Go,572,57223,Ethereum
2022-11-23,Nethereum,1900,C#,669,57223,Ethereum
2022-11-23,echidna,1780,Solidity,228,57223,Ethereum
2022-11-23,Tokens,1752,JavaScript,1186,57223,Ethereum
2022-11-23,openethereum,1628,Rust,349,57223,Ethereum
2022-11-23,ethereum-development-with-go-book,1486,Go,368,57223,Ethereum
2022-11-23,yellowpaper,1466,TeX,482,57223,Ethereum
2022-11-23,vue-ethereum-ipfs,1341,JavaScript,90,57223,Ethereum
2022-11-23,open-ethereum-pool,1327,Go,1118,57223,Ethereum
2022-11-23,polygon-ethereum-nextjs-marketplace,1134,JavaScript,740,57223,Ethereum
2022-11-23,awesome-ethereum-security,974,,147,57223,Ethereum
2022-11-23,solidity-baby-steps,957,,285,57223,Ethereum
2022-11-23,drizzle,887,JavaScript,242,57223,Ethereum
2022-11-23,ethereumjs-wallet,886,TypeScript,296,57223,Ethereum
2022-11-23,ethhub,867,HTML,661,57223,Ethereum
2022-11-23,eth-netstats,840,JavaScript,538,57223,Ethereum
2022-11-23,ethereum_nvidia_miner,829,Shell,163,57223,Ethereum
2022-11-23,ethereum-nft-marketplace-boilerplate,795,JavaScript,1019,57223,Ethereum
2022-11-23,awesome-ethereum,774,,103,57223,Ethereum
2022-11-23,ethereumjs-tx,768,TypeScript,254,57223,Ethereum
2022-11-23,awesome-ethereum-virtual-machine,748,,111,57223,Ethereum
2022-11-23,ethereum-api,744,Solidity,424,57223,Ethereum
2022-11-23,full-stack-ethereum,726,TypeScript,215,57223,Ethereum
2022-11-23,ethereum.rb,707,Ruby,223,57223,Ethereum
2022-11-23,etherchain-light,624,JavaScript,338,57223,Ethereum
2022-11-23,explorer,599,JavaScript,384,57223,Ethereum
2022-11-23,ethereumjs-util,592,TypeScript,293,57223,Ethereum
2022-11-23,ethereum-input-data-decoder,527,JavaScript,151,57223,Ethereum
2022-11-23,ethereum-lists,504,JavaScript,1396,57223,Ethereum
2022-11-23,ethereum_voting_dapp,473,JavaScript,199,57223,Ethereum
2022-11-23,ethereum-react-native-boilerplate,462,JavaScript,267,57223,Ethereum
2022-11-23,eth-proxy,459,Python,269,57223,Ethereum
2022-11-23,EthereumKit,459,Swift,95,57223,Ethereum
2022-11-23,ethereum-php,452,PHP,161,57223,Ethereum
2022-11-23,ethereumjs-lib,447,,109,57223,Ethereum
2022-11-23,go-ethereum,441,Go,176,57223,Ethereum
2022-11-23,alpha-wallet-android,431,Java,433,57223,Ethereum
2022-11-23,ethereum-examples,426,Solidity,159,57223,Ethereum
2022-11-23,homebrew-ethereum,417,Ruby,168,57223,Ethereum
2022-11-23,Love-Ethereum,410,Python,100,57223,Ethereum
2022-11-23,ethereum-bootstrap,379,Shell,146,57223,Ethereum
2022-11-23,go-ethereum-hdwallet,374,Go,164,57223,Ethereum
2022-11-23,ethereum-org,369,HTML,1295,57223,Ethereum
2022-11-23,Lunary-Ethereum-Wallet,361,Java,163,57223,Ethereum
2022-11-23,ethereum-datetime,356,Python,128,57223,Ethereum
2022-11-23,tokens,353,Kotlin,504,57223,Ethereum
2022-11-23,ethereumex,339,Elixir,67,57223,Ethereum
2022-11-23,eth-net-intelligence-api,326,JavaScript,350,57223,Ethereum
2022-11-23,ethereum-docker,323,Shell,244,57223,Ethereum
2022-11-23,ethereum-etl-airflow,312,Python,162,57223,Ethereum
2022-11-23,MultiSigWallet,304,Solidity,142,57223,Ethereum
2022-11-23,deep_ethereum,298,CSS,120,57223,Ethereum
2022-11-23,ethereum_future,297,Jupyter Notebook,179,57223,Ethereum
2022-11-23,ethereumjs-abi,279,JavaScript,158,57223,Ethereum
2022-11-23,ethereum-harmony,254,TSQL,100,57223,Ethereum
