date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-04,FTXUI,3718,C++,233,1053,FTX
2022-11-04,crypto-trading-bot,2620,JavaScript,877,1053,FTX
2022-11-04,ftx,588,Python,378,1053,FTX
2022-11-04,add-tradingview-alerts-tool,452,TypeScript,114,1053,FTX
2022-11-04,alpha-rptr,263,Python,61,1053,FTX
2022-11-04,ftx,171,Python,74,1053,FTX
2022-11-04,ftx-cli,168,JavaScript,27,1053,FTX
2022-11-04,ftx_grid_trading_bot,166,Python,74,1053,FTX
2022-11-04,ftx-api,125,TypeScript,56,1053,FTX
2022-11-04,tradingview-webhook-trading-bot,124,Python,44,1053,FTX
2022-11-04,ftx,115,Rust,62,1053,FTX
2022-11-04,go-ftx,106,Go,79,1053,FTX
2022-11-04,ftx-prog,102,C,37,1053,FTX
2022-11-04,ftx-lending-bot,55,Python,32,1053,FTX
2022-11-04,ftx-move-contracts,48,Go,17,1053,FTX
2022-11-04,DaviddTech-tradingview-webhook-trading-bot,47,Python,19,1053,FTX
2022-11-04,ftxui-starter,41,HTML,5,1053,FTX
2022-11-04,ftx_algotrading,41,Python,24,1053,FTX
2022-11-04,orderbook-delta-bot,41,Rust,14,1053,FTX
2022-11-04,ftxui_template,39,C++,5,1053,FTX
2022-11-04,python-ftx,39,Python,19,1053,FTX
2022-11-04,3commas-ftx-triggers,37,Python,25,1053,FTX
2022-11-04,ftx-api-wrapper-python3,34,Python,11,1053,FTX
2022-11-04,FTX.Net,34,C#,27,1053,FTX
2022-11-04,FTX-spot-future-arbitrage,34,Python,15,1053,FTX
2022-11-04,dollar_cost_average_dip_buying,33,Jupyter Notebook,15,1053,FTX
2022-11-04,goftx,29,Go,24,1053,FTX
2022-11-04,moon-doge,26,PHP,14,1053,FTX
2022-11-04,Leveraged-grid-trading-bot,23,,26,1053,FTX
2022-11-04,FTX-API-Algotrading101,22,Jupyter Notebook,15,1053,FTX
2022-11-04,ftx-line-notify,21,Python,20,1053,FTX
2022-11-04,vnpy_ftx,20,Python,17,1053,FTX
2022-11-04,FTX_and_four_other_exchange_futures_and_funding_arbitrage_scanner,19,Python,15,1053,FTX
2022-11-04,ftx-api-ws,19,JavaScript,18,1053,FTX
2022-11-04,ftx-php,18,PHP,26,1053,FTX
2022-11-04,ftx-keep-lending,17,JavaScript,11,1053,FTX
2022-11-04,ftx-recorder,17,Python,10,1053,FTX
2022-11-04,ftx_competition_entry,15,Jupyter Notebook,8,1053,FTX
2022-11-04,Binance-and-FTX-API-Work,15,Python,19,1053,FTX
2022-11-04,FTX-GAS-Tools,14,JavaScript,8,1053,FTX
2022-11-04,ftx4j,13,Java,5,1053,FTX
2022-11-04,ftx_auto_USDC_lending,13,Python,10,1053,FTX
2022-11-04,philadelphia-extras,12,Java,23,1053,FTX
2022-11-04,order-alert-bot,12,TypeScript,14,1053,FTX
2022-11-04,Order-Execution-Tests,11,JavaScript,13,1053,FTX
2022-11-04,FTX_Market_Maker,11,Python,5,1053,FTX
2022-11-04,crypto_rest_python,10,Python,19,1053,FTX
2022-11-04,position_manager_for_ftx,9,Python,9,1053,FTX
2022-11-04,ftx-websocket-rest-cpp,8,C++,3,1053,FTX
2022-11-04,ftx-api,8,Go,7,1053,FTX
2022-11-04,ftxqz-future-arbitrage,8,,4,1053,FTX
2022-11-04,BlackMirror,8,Python,19,1053,FTX
2022-11-04,FTX-Bot-Public,8,Python,10,1053,FTX
2022-11-04,go-ftx,8,Go,8,1053,FTX
2022-11-04,grid-bot,8,Python,7,1053,FTX
2022-11-04,ftx-auto-lend,8,Go,6,1053,FTX
2022-11-04,FTX-Exchange-API-dotnet,8,C#,10,1053,FTX
2022-11-04,ftx-rs,7,Rust,7,1053,FTX
2022-11-04,ftx_grid_trading_bot,7,Python,8,1053,FTX
2022-11-04,ftxproxy,7,Python,3,1053,FTX
2022-11-04,ftx-lending-bot,6,Python,8,1053,FTX
2022-11-04,stake_srm,6,Go,10,1053,FTX
2022-11-04,ftx_rebalance_bot,6,Python,7,1053,FTX
2022-11-04,rFTX,6,R,8,1053,FTX
2022-11-04,FTX.NET,6,C#,11,1053,FTX
2022-11-04,FtxApi,5,C#,37,1053,FTX
2022-11-04,ftx_rebalance_fix_percentage,5,Python,9,1053,FTX
2022-11-04,ftx,5,Python,8,1053,FTX
2022-11-04,ex_ftx,5,Elixir,15,1053,FTX
2022-11-04,utilities,5,TypeScript,5,1053,FTX
2022-11-04,ftx-fix-example,5,Java,4,1053,FTX
2022-11-04,FTXFutures,4,C#,3,1053,FTX
2022-11-04,ftx_zorro_plugin,4,C++,9,1053,FTX
2022-11-04,ftx-tools,4,JavaScript,4,1053,FTX
2022-11-04,btse-orderbook,4,JavaScript,4,1053,FTX
2022-11-04,ftx-manager,4,Python,5,1053,FTX
2022-11-04,Ftx-Lending-Bot,3,Python,6,1053,FTX
2022-11-04,FTX_Grid_Trading_Bot,3,Python,5,1053,FTX
2022-11-04,FtxConnector,3,Swift,8,1053,FTX
2022-11-04,ftx-us-js,3,JavaScript,9,1053,FTX
2022-11-04,ftx-data-fetcher,3,Python,4,1053,FTX
2022-11-04,FTX_BOT_REVISED_PUB,3,Python,8,1053,FTX
2022-11-04,ftx-driver,2,Python,6,1053,FTX
2022-11-04,FtxSynchroRestApi,2,C#,5,1053,FTX
2022-11-04,ftx_spread_finder,2,Python,6,1053,FTX
2022-11-04,ftx_exchange_api,2,Ruby,10,1053,FTX
2022-11-04,pyftx,2,Python,5,1053,FTX
2022-11-04,ftx-php,2,PHP,5,1053,FTX
2022-11-04,CryptoBots,2,Python,6,1053,FTX
2022-11-04,Ftx.Net,2,C#,7,1053,FTX
2022-11-04,ftx,1,C++,5,1053,FTX
2022-11-04,yobit_ftx_transfer,1,Python,12,1053,FTX
2022-11-04,ftx,1,PHP,5,1053,FTX
2022-11-04,xchange-ftx,0,Java,8,1053,FTX
2022-11-04,FTX,0,Python,5,1053,FTX
2022-11-04,ftx-otc-rs,0,Rust,8,1053,FTX
2022-11-04,FTXTrader,0,JavaScript,6,1053,FTX
2022-11-04,trio-ftx,0,Python,12,1053,FTX
2022-11-04,ftx-client-websocket,0,C#,9,1053,FTX
2022-11-04,ftx,0,Python,13,1053,FTX
