date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-30,lotus,2473,Go,1185,1170,Filecoin
2022-11-30,venus,1967,Go,408,1170,Filecoin
2022-11-30,slate,509,JavaScript,63,1170,Filecoin
2022-11-30,nft.storage,507,JavaScript,146,1170,Filecoin
2022-11-30,forest,491,Rust,117,1170,Filecoin
2022-11-30,rust-fil-proofs,436,Rust,282,1170,Filecoin
2022-11-30,web3.storage,411,JavaScript,86,1170,Filecoin
2022-11-30,powergate,365,Go,94,1170,Filecoin
2022-11-30,specs,356,SCSS,174,1170,Filecoin
2022-11-30,nft-website,346,Shell,101,1170,Filecoin
2022-11-30,community,342,,151,1170,Filecoin
2022-11-30,blst,307,Assembly,98,1170,Filecoin
2022-11-30,devgrants,298,,300,1170,Filecoin
2022-11-30,IPFS-Internals,276,,85,1170,Filecoin
2022-11-30,ref-fvm,219,Rust,73,1170,Filecoin
2022-11-30,FIPs,209,HTML,110,1170,Filecoin
2022-11-30,estuary,198,Go,58,1170,Filecoin
2022-11-30,fvm-specs,165,,28,1170,Filecoin
2022-11-30,lotus-miner,165,Shell,75,1170,Filecoin
2022-11-30,filecoin-docs,158,HTML,221,1170,Filecoin
2022-11-30,bacalhau,119,Go,28,1170,Filecoin
2022-11-30,cpp-filecoin,119,C++,35,1170,Filecoin
2022-11-30,filecoin-signing-tools,92,Rust,42,1170,Filecoin
2022-11-30,lotus-farcaster,84,Python,62,1170,Filecoin
2022-11-30,filecoin-ffi,84,Rust,124,1170,Filecoin
2022-11-30,filsnap,83,HTML,31,1170,Filecoin
2022-11-30,filecoin-plus-large-datasets,78,,48,1170,Filecoin
2022-11-30,analysis-of-filecoin-in-Chinese,76,,42,1170,Filecoin
2022-11-30,filecoin-plus-client-onboarding,73,,73,1170,Filecoin
2022-11-30,go-fil-markets,72,Go,60,1170,Filecoin
2022-11-30,research,71,,11,1170,Filecoin
2022-11-30,L1-node,66,JavaScript,12,1170,Filecoin
2022-11-30,filecoin-sealer-recover,63,Go,78,1170,Filecoin
2022-11-30,slingshot,61,,271,1170,Filecoin
2022-11-30,filecoin.js,53,TypeScript,22,1170,Filecoin
2022-11-30,filecoin-client,53,Go,33,1170,Filecoin
2022-11-30,filecoin,52,,12,1170,Filecoin
2022-11-30,Filecoin-Storage-Tool,48,Python,10,1170,Filecoin
2022-11-30,lotus-ops,48,Shell,49,1170,Filecoin
2022-11-30,filecoin-docker,46,Dockerfile,25,1170,Filecoin
2022-11-30,js-filecoin-api-client,46,JavaScript,21,1170,Filecoin
2022-11-30,lily,44,Go,39,1170,Filecoin
2022-11-30,add-to-web3,43,JavaScript,20,1170,Filecoin
2022-11-30,consensus,42,Python,5,1170,Filecoin
2022-11-30,rust-filecoin-proofs-api,42,Rust,75,1170,Filecoin
2022-11-30,research,40,,14,1170,Filecoin
2022-11-30,java-filecoin-api-client,38,Java,27,1170,Filecoin
2022-11-30,filclient,38,Go,19,1170,Filecoin
2022-11-30,2019-filecoin-network-stats,36,TypeScript,16,1170,Filecoin
2022-11-30,builtin-actors,33,Rust,39,1170,Filecoin
2022-11-30,bidbot,32,Go,7,1170,Filecoin
2022-11-30,estuary-www,30,TypeScript,25,1170,Filecoin
2022-11-30,benchmarks,30,JavaScript,18,1170,Filecoin
2022-11-30,filecoin-wallet,29,JavaScript,20,1170,Filecoin
2022-11-30,dealbot,29,Go,11,1170,Filecoin
2022-11-30,go-data-transfer,29,Go,16,1170,Filecoin
2022-11-30,filecoin-explorer,28,JavaScript,13,1170,Filecoin
2022-11-30,filecoin-chart,26,Makefile,11,1170,Filecoin
2022-11-30,filecoin,26,TypeScript,19,1170,Filecoin
2022-11-30,sentinel,25,,18,1170,Filecoin
2022-11-30,filecoin-box,25,JavaScript,12,1170,Filecoin
2022-11-30,fil_exporter,24,Go,25,1170,Filecoin
2022-11-30,metamask-filecoin-developer-beta,23,JavaScript,14,1170,Filecoin
2022-11-30,filecoindot,23,Rust,17,1170,Filecoin
2022-11-30,filecoin_nft_starter,22,JavaScript,7,1170,Filecoin
2022-11-30,browser-retrieval,20,TypeScript,7,1170,Filecoin
2022-11-30,ledger-filecoin,20,C,14,1170,Filecoin
2022-11-30,filecoin-client-tutorial,19,JavaScript,6,1170,Filecoin
2022-11-30,awesome-filecoin-mining,19,Shell,10,1170,Filecoin
2022-11-30,eudico,18,Go,14,1170,Filecoin
2022-11-30,test-vectors,18,Go,27,1170,Filecoin
2022-11-30,FilecoinJ,17,Java,17,1170,Filecoin
2022-11-30,venus-wallet,15,Go,16,1170,Filecoin
2022-11-30,filecoin-network-viz,15,JavaScript,5,1170,Filecoin
2022-11-30,Coding-with-Filecoin-Homework,15,JavaScript,49,1170,Filecoin
2022-11-30,swan,14,Python,15,1170,Filecoin
2022-11-30,filecoinj,14,Java,6,1170,Filecoin
2022-11-30,filecoin-tools,14,Shell,10,1170,Filecoin
2022-11-30,awesome-filecoin,13,,7,1170,Filecoin
2022-11-30,CommonLinkForFilecoin,13,,8,1170,Filecoin
2022-11-30,filecoin-station,12,JavaScript,7,1170,Filecoin
2022-11-30,filecoin,12,,114,1170,Filecoin
2022-11-30,FilecoinGreen-tools,11,,4,1170,Filecoin
2022-11-30,filecoin,11,Rust,9,1170,Filecoin
2022-11-30,filecoin-CID-checker,10,TypeScript,12,1170,Filecoin
2022-11-30,filecoin-network-inspector,10,JavaScript,9,1170,Filecoin
2022-11-30,lua-filecoin,10,Lua,7,1170,Filecoin
2022-11-30,filecoin-lotus-docker,9,Dockerfile,3,1170,Filecoin
2022-11-30,filecoin-js-signer,9,TypeScript,5,1170,Filecoin
2022-11-30,filecoin-node-operator-kit,8,,4,1170,Filecoin
2022-11-30,filecoin-foundation-site,8,Vue,6,1170,Filecoin
2022-11-30,go-swan-client,7,Go,13,1170,Filecoin
2022-11-30,filecoin-market-add-balance,7,JavaScript,9,1170,Filecoin
2022-11-30,network-info,5,SCSS,5,1170,Filecoin
2022-11-30,rust-fil-logger,5,Rust,8,1170,Filecoin
2022-11-30,filecoin_wallet_python,4,Python,7,1170,Filecoin
2022-11-30,filecoin-http-api,4,,7,1170,Filecoin
2022-11-30,serialization-vectors,3,,14,1170,Filecoin
2022-11-30,FileCoin,2,Java,5,1170,Filecoin
2022-11-30,filecoin,2,,6,1170,Filecoin
