date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-14,frax-solidity,310,Solidity,119,196,Frax
2022-11-14,fraxl,86,Haskell,9,196,Frax
2022-11-14,fraxlend,46,Solidity,9,196,Frax
2022-11-14,frax_school,7,,0,196,Frax
2022-11-14,Fraxinus,6,Kotlin,0,196,Frax
2022-11-14,Fraxinus,5,C++,1,196,Frax
2022-11-14,Fraxinus-Hardware,5,PowerShell,0,196,Frax
2022-11-14,2022-08-frax,4,Solidity,3,196,Frax
2022-11-14,frax-cvx-platform,3,Solidity,3,196,Frax
2022-11-14,frax,3,Go,0,196,Frax
2022-11-14,Fraxalator,2,Swift,0,196,Frax
2022-11-14,Fraxure,2,HTML,0,196,Frax
2022-11-14,frax-langs,2,,11,196,Frax
2022-11-14,frax-analysis,2,Jupyter Notebook,0,196,Frax
2022-11-14,frax,1,C++,0,196,Frax
2022-11-14,fraxi,1,,0,196,Frax
2022-11-14,FraxinusControlCenter,1,C#,0,196,Frax
2022-11-14,FraxFinance.github.io,1,HTML,4,196,Frax
2022-11-14,fraxbook,1,JavaScript,0,196,Frax
2022-11-14,frax_testing,1,Solidity,2,196,Frax
2022-11-14,frax,1,C++,4,196,Frax
2022-11-14,FRAXION,0,QML,0,196,Frax
2022-11-14,fraxel,0,JavaScript,0,196,Frax
2022-11-14,fraxken,0,,0,196,Frax
2022-11-14,fraxus,0,,0,196,Frax
2022-11-14,fraxiinus,0,,0,196,Frax
2022-11-14,fraxspace,0,EJS,0,196,Frax
2022-11-14,fraxiss,0,JavaScript,0,196,Frax
2022-11-14,fraxgut,0,,0,196,Frax
2022-11-14,fraxwtf,0,,0,196,Frax
2022-11-14,FRAXSL,0,,0,196,Frax
2022-11-14,Vst-Frax-Staking,0,Solidity,0,196,Frax
2022-11-14,fraxtol,0,,0,196,Frax
2022-11-14,fraxlo,0,,0,196,Frax
2022-11-14,fraxinus,0,Shell,0,196,Frax
2022-11-14,fraxybotproject,0,JavaScript,0,196,Frax
2022-11-14,FRAXGIS,0,,0,196,Frax
2022-11-14,FRAXRodri,0,,0,196,Frax
2022-11-14,fraxinus,0,R,0,196,Frax
2022-11-14,Fraxew,0,JavaScript,0,196,Frax
2022-11-14,fraxtol,0,,0,196,Frax
2022-11-14,Fraxonn,0,,0,196,Frax
2022-11-14,fraxnet,0,,0,196,Frax
2022-11-14,fraxses,0,Go,0,196,Frax
2022-11-14,Fraxact,0,,0,196,Frax
2022-11-14,Fraxes,0,,0,196,Frax
2022-11-14,fraxion,0,HTML,0,196,Frax
2022-11-14,fraxine,0,TypeScript,0,196,Frax
2022-11-14,fraxfire,0,,0,196,Frax
2022-11-14,fraxaz,0,,0,196,Frax
2022-11-14,fraxtionz,0,Python,0,196,Frax
2022-11-14,Fraxil,0,,0,196,Frax
2022-11-14,Fraxure,0,HTML,0,196,Frax
2022-11-14,Fraxle,0,,0,196,Frax
2022-11-14,fraxi,0,,0,196,Frax
2022-11-14,fraxy,0,,0,196,Frax
2022-11-14,Fraxs,0,CSS,0,196,Frax
2022-11-14,fraxis,0,,0,196,Frax
2022-11-14,fraxion,0,PHP,0,196,Frax
2022-11-14,FraxionGitTest,0,,0,196,Frax
2022-11-14,fraxses,0,Scala,0,196,Frax
2022-11-14,fraxzim,0,,0,196,Frax
2022-11-14,FraxinusNPC,0,C#,0,196,Frax
2022-11-14,Fraxx7,0,,0,196,Frax
2022-11-14,FraxInvest,0,TypeScript,0,196,Frax
2022-11-14,fraxUniswap,0,Solidity,0,196,Frax
2022-11-14,frax,0,JavaScript,0,196,Frax
2022-11-14,Fraxeo11,0,,0,196,Frax
2022-11-14,FraxCrawler,0,Python,0,196,Frax
2022-11-14,FraxsterQc,0,,0,196,Frax
2022-11-14,Frax1011,0,,0,196,Frax
2022-11-14,frax,0,PHP,0,196,Frax
2022-11-14,frax,0,Java,0,196,Frax
2022-11-14,FRAX,0,,0,196,Frax
2022-11-14,FRAX,0,HTML,0,196,Frax
2022-11-14,Frax,0,,0,196,Frax
2022-11-14,FRAX-Finance-Analysis,0,Jupyter Notebook,2,196,Frax
2022-11-14,frax-stake,0,,2,196,Frax
2022-11-14,fraxUniswapStables,0,Solidity,2,196,Frax
2022-11-14,fraxtrackr,0,JavaScript,0,196,Frax
2022-11-14,FraxUniStables,0,,0,196,Frax
2022-11-14,frax9,0,,0,196,Frax
2022-11-14,gitbook,0,,0,196,Frax
2022-11-14,Fraxinus,0,,0,196,Frax
2022-11-14,Fraxion,0,,0,196,Frax
2022-11-14,Fraxaty,0,,0,196,Frax
2022-11-14,Fraxnis,0,,0,196,Frax
2022-11-14,Fraxinus,0,,0,196,Frax
2022-11-14,fraxinusgamesolver,0,Python,0,196,Frax
2022-11-14,frxETH-public,0,Solidity,1,196,Frax
2022-11-14,FraxNodeG,0,,0,196,Frax
2022-11-14,frax0n,0,,0,196,Frax
2022-11-14,Jam-FRAxARG,0,C#,1,196,Frax
2022-11-14,frax-trackr,0,,0,196,Frax
2022-11-14,frax-,0,,0,196,Frax
2022-11-14,FraxFinance.github.io,0,CSS,0,196,Frax
2022-11-14,frax600.github.io,0,,0,196,Frax
2022-11-14,FraxTravelAssistant,0,C#,0,196,Frax
2022-11-14,Frax3D,0,,0,196,Frax
2022-11-14,fraxinus,0,Ruby,0,196,Frax
