date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-16,mythril,2875,Python,595,803,Hedera
2022-12-16,hedera,706,C#,56,803,Hedera
2022-12-16,hedera-sdk-js,207,JavaScript,95,803,Hedera
2022-12-16,hedera-services,193,Java,65,803,Hedera
2022-12-16,hedera-sdk-java,188,Java,100,803,Hedera
2022-12-16,hedera-improvement-proposal,104,Solidity,96,803,Hedera
2022-12-16,hedera-mirror-node,92,Java,79,803,Hedera
2022-12-16,hedera-sdk-go,72,Go,37,803,Hedera
2022-12-16,hedera-hts-demo,65,Vue,45,803,Hedera
2022-12-16,MyHbarWallet,61,Vue,37,803,Hedera
2022-12-16,guardian,52,TypeScript,45,803,Hedera
2022-12-16,hedera-docs,47,,57,803,Hedera
2022-12-16,Hashgraph,40,C#,9,803,Hedera
2022-12-16,hedera-sdk-rust-go,40,Go,20,803,Hedera
2022-12-16,hedera-sdk-rust-archived,40,Rust,16,803,Hedera
2022-12-16,hedera-sdk-python,35,Rust,18,803,Hedera
2022-12-16,hedera-protobufs-java,32,Shell,24,803,Hedera
2022-12-16,hedera-platform,30,Java,9,803,Hedera
2022-12-16,hedera-json-rpc-relay,23,TypeScript,18,803,Hedera
2022-12-16,Hedera,22,Python,16,803,Hedera
2022-12-16,hashport-validator,21,Go,10,803,Hedera
2022-12-16,hedera-proof-of-action-microservice,19,Java,6,803,Hedera
2022-12-16,hedera-nft-auction-demo,19,Java,11,803,Hedera
2022-12-16,hedera-sdk-py,17,Python,4,803,Hedera
2022-12-16,hashgraph-venin-js,17,TypeScript,0,803,Hedera
2022-12-16,hedera-local-node,17,JavaScript,21,803,Hedera
2022-12-16,hedera-hcs-chat-js,17,JavaScript,18,803,Hedera
2022-12-16,hedera-sdk-rust,15,Rust,2,803,Hedera
2022-12-16,hedera-reactjs-boilerplate,15,TypeScript,14,803,Hedera
2022-12-16,hedera-stable-coin-solidity-ethereum,15,Solidity,10,803,Hedera
2022-12-16,hedera-hcs-sxc-java,15,Java,6,803,Hedera
2022-12-16,hedera-smart-contracts,15,Solidity,26,803,Hedera
2022-12-16,exp_BFlows,13,Python,6,803,Hedera
2022-12-16,did-sdk-java,12,Java,16,803,Hedera
2022-12-16,hedera,12,Python,12,803,Hedera
2022-12-16,hts-distribution-tool,11,TypeScript,0,803,Hedera
2022-12-16,turtle-moon-tools-minting,11,JavaScript,3,803,Hedera
2022-12-16,hedera-serverless-api,10,JavaScript,8,803,Hedera
2022-12-16,ledger-app-hedera,10,C,3,803,Hedera
2022-12-16,hardhat-hethers,10,TypeScript,0,803,Hedera
2022-12-16,trading-post,10,Vue,6,803,Hedera
2022-12-16,hedera,10,Python,2,803,Hedera
2022-12-16,hedera-hardhat-tooling,9,Solidity,4,803,Hedera
2022-12-16,did-method,9,,4,803,Hedera
2022-12-16,hedera-protobufs,9,Shell,13,803,Hedera
2022-12-16,hederajs,9,Rust,1,803,Hedera
2022-12-16,hedera-mirror-node-explorer,9,TypeScript,5,803,Hedera
2022-12-16,hedera-stable-coin-demo,8,Java,4,803,Hedera
2022-12-16,hedera-sdk-swift,8,Swift,1,803,Hedera
2022-12-16,Hedera,8,C#,0,803,Hedera
2022-12-16,hedera-sdk-c,8,Rust,7,803,Hedera
2022-12-16,corda-notary-hedera,8,Java,3,803,Hedera
2022-12-16,hedera-etl,7,Java,2,803,Hedera
2022-12-16,hedera-fee-tool-js,7,JavaScript,2,803,Hedera
2022-12-16,hashgraph_chess,7,Vue,3,803,Hedera
2022-12-16,movieNix,6,JavaScript,4,803,Hedera
2022-12-16,hedera-hcs-erc721-sample,6,Java,2,803,Hedera
2022-12-16,hedera-hcs-token-example,6,JavaScript,4,803,Hedera
2022-12-16,Hedera,6,Java,3,803,Hedera
2022-12-16,HederaSustainabilityEcosystem,6,,8,803,Hedera
2022-12-16,hedera-express-boilerplate,6,JavaScript,4,803,Hedera
