date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-23,goex,1554,Go,565,840,Huobi
2022-12-23,BitcoinExchangeFH,903,Python,282,840,Huobi
2022-12-23,huobi_Python,654,Python,316,840,Huobi
2022-12-23,ccxws,595,TypeScript,180,840,Huobi
2022-12-23,crex,401,Go,132,840,Huobi
2022-12-23,QuantBot,344,Go,140,840,Huobi
2022-12-23,double-entry-generator,294,Go,57,840,Huobi
2022-12-23,huobi_futures_Python,262,Python,114,840,Huobi
2022-12-23,huobi_Java,261,Java,198,840,Huobi
2022-12-23,bitcoin-broker,248,Go,97,840,Huobi
2022-12-23,exchanges-php,217,PHP,59,840,Huobi
2022-12-23,quant4j,203,Java,112,840,Huobi
2022-12-23,huobi-autotrading,202,Python,90,840,Huobi
2022-12-23,huobi_Golang,163,Go,81,840,Huobi
2022-12-23,HuobiRobot,116,Java,68,840,Huobi
2022-12-23,spring-boot-netty-websocket-huobi,111,Java,66,840,Huobi
2022-12-23,binance-php,88,PHP,41,840,Huobi
2022-12-23,sample,80,Java,45,840,Huobi
2022-12-23,HuobiAutomaticTradePlatform,75,Python,27,840,Huobi
2022-12-23,huobiapi,63,Go,40,840,Huobi
2022-12-23,Huobi.Net,61,C#,43,840,Huobi
2022-12-23,huobi_Cpp,57,C++,43,840,Huobi
2022-12-23,huobi-PC,54,JavaScript,17,840,Huobi
2022-12-23,bitcoinTradingFramework,53,C#,24,840,Huobi
2022-12-23,huobipro,53,JavaScript,21,840,Huobi
2022-12-23,OkcoinHuobiTickerSpider,47,Python,26,840,Huobi
2022-12-23,huobi_CSharp,47,C#,22,840,Huobi
2022-12-23,huobi-market,41,Vue,13,840,Huobi
2022-12-23,huobi-php,38,PHP,23,840,Huobi
2022-12-23,IBATS_HuobiFeeder_old,38,Python,15,840,Huobi
2022-12-23,BitcoinPriceHistoryInChina,36,Python,45,840,Huobi
2022-12-23,RLCrypto,35,Python,16,840,Huobi
2022-12-23,huobi-client-python,35,Python,13,840,Huobi
2022-12-23,huobi-quick-in,34,Python,21,840,Huobi
2022-12-23,coinx-android,33,Java,18,840,Huobi
2022-12-23,PyAlgoTrade-Huobi,32,Python,14,840,Huobi
2022-12-23,huobi-client,32,Java,19,840,Huobi
2022-12-23,huobi_grid_trader,30,Python,18,840,Huobi
2022-12-23,huobi,29,CSS,4,840,Huobi
2022-12-23,GoEx,25,Go,9,840,Huobi
2022-12-23,coinx-ios,23,Swift,11,840,Huobi
2022-12-23,oec-nest,22,TypeScript,8,840,Huobi
2022-12-23,exchange-sdk-go,22,Go,11,840,Huobi
2022-12-23,HuobiWs,22,Java,14,840,Huobi
2022-12-23,huobi_usdt_swap_Java,22,Java,19,840,Huobi
2022-12-23,BitcoinStrategy,22,Python,9,840,Huobi
2022-12-23,IBATS_HuobiTrader_old,21,Python,9,840,Huobi
2022-12-23,huobi-robot,20,JavaScript,8,840,Huobi
2022-12-23,huobipro,19,Dart,12,840,Huobi
2022-12-23,huobi,18,Python,10,840,Huobi
2022-12-23,huobi-api,18,Java,20,840,Huobi
2022-12-23,crypto_rest_python,17,Python,20,840,Huobi
2022-12-23,node-huobi-api,17,JavaScript,8,840,Huobi
2022-12-23,btc-trade-result-history,16,,6,840,Huobi
2022-12-23,huobi,16,JavaScript,8,840,Huobi
2022-12-23,huobi_intf,16,,33,840,Huobi
2022-12-23,huobi-bcc-auto,15,JavaScript,9,840,Huobi
2022-12-23,huobi_swap_Rust,15,Rust,3,840,Huobi
2022-12-23,huobi,14,HTML,3,840,Huobi
2022-12-23,huobi_public_data,13,Python,5,840,Huobi
2022-12-23,huobi_sma,12,Python,12,840,Huobi
2022-12-23,huobi,11,Python,7,840,Huobi
2022-12-23,huobiapia,11,PHP,5,840,Huobi
2022-12-23,huobi_swap_Cpp,10,C++,4,840,Huobi
2022-12-23,huobi-auto-python,10,Python,5,840,Huobi
2022-12-23,huobiapi,10,Python,10,840,Huobi
2022-12-23,huobi-triangle-arbitrage,10,JavaScript,5,840,Huobi
2022-12-23,huobi-api,10,Go,12,840,Huobi
2022-12-23,huobipro_robot,9,Python,5,840,Huobi
2022-12-23,huobi_futures_Postman,9,JavaScript,13,840,Huobi
2022-12-23,huobi_sdk_CSharp,9,C#,4,840,Huobi
2022-12-23,vnpy_huobi,9,Python,11,840,Huobi
2022-12-23,huobi-java-api,8,Java,5,840,Huobi
2022-12-23,huobiwebsocket,8,PHP,9,840,Huobi
2022-12-23,huobi_futures_Golang,8,Go,13,840,Huobi
2022-12-23,huobi_future_async,7,Rust,5,840,Huobi
2022-12-23,huobiNode_project,7,JavaScript,6,840,Huobi
2022-12-23,huobi-chrome-extension,7,JavaScript,3,840,Huobi
2022-12-23,huobi,6,Java,2,840,Huobi
2022-12-23,huobiapi,6,Java,8,840,Huobi
2022-12-23,TradingViewWebsoketApi,6,PHP,4,840,Huobi
2022-12-23,richcoder-quantex-huobi,6,Java,12,840,Huobi
2022-12-23,huobi_global_data_acquisition,6,Python,5,840,Huobi
2022-12-23,huobi,5,Go,3,840,Huobi
2022-12-23,huobi-sdk,5,TypeScript,6,840,Huobi
2022-12-23,sagemaker-huobi-workshop,5,Jupyter Notebook,5,840,Huobi
2022-12-23,huobi_coin_swap_Java,5,Java,8,840,Huobi
2022-12-23,huobi,4,JavaScript,2,840,Huobi
2022-12-23,huobi_ws_client,4,Python,4,840,Huobi
2022-12-23,sheep,4,Go,29,840,Huobi
2022-12-23,huobi_swap,4,Python,4,840,Huobi
2022-12-23,huobi_sdk_Python,4,Python,6,840,Huobi
2022-12-23,huobi-otc,4,TypeScript,3,840,Huobi
2022-12-23,HuobiApi,3,Python,4,840,Huobi
2022-12-23,huobi_primelist_multiaccount_with_adspower,3,Python,6,840,Huobi
2022-12-23,demo_python,2,Python,17,840,Huobi
2022-12-23,huobi_trade,2,,25,840,Huobi
2022-12-23,huobi-chain,2,,121,840,Huobi
2022-12-23,HuobiOTCDataRecorder,1,Python,4,840,Huobi
2022-12-23,demo_java,0,Java,9,840,Huobi
