date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-31,MeshCentral,1838,HTML,276,1908,Internet Computer
2022-10-31,ic,1152,Rust,189,1908,Internet Computer
2022-10-31,awesome-icp,397,,63,1908,Internet Computer
2022-10-31,examples,354,Motoko,212,1908,Internet Computer
2022-10-31,steward,346,JavaScript,81,1908,Internet Computer
2022-10-31,motoko,340,OCaml,63,1908,Internet Computer
2022-10-31,Offline-PS4-Remote-Play,245,C#,46,1908,Internet Computer
2022-10-31,internet-identity,230,TypeScript,82,1908,Internet Computer
2022-10-31,candid,216,Rust,62,1908,Internet Computer
2022-10-31,sudograph,213,HTML,20,1908,Internet Computer
2022-10-31,python-for-developers,176,Jupyter Notebook,84,1908,Internet Computer
2022-10-31,Website-Cloner,151,Visual Basic .NET,58,1908,Internet Computer
2022-10-31,docs,146,Motoko,113,1908,Internet Computer
2022-10-31,plug,145,JavaScript,32,1908,Internet Computer
2022-10-31,create-ic-app,142,JavaScript,35,1908,Internet Computer
2022-10-31,The-Bits-and-Bytes-of-Computer-Networking,139,,91,1908,Internet Computer
2022-10-31,cdk-rs,135,Rust,60,1908,Internet Computer
2022-10-31,retro-computing-internet-resources,106,,6,1908,Internet Computer
2022-10-31,agent-js,103,TypeScript,49,1908,Internet Computer
2022-10-31,azle,101,Rust,14,1908,Internet Computer
2022-10-31,ic-py,89,Python,16,1908,Internet Computer
2022-10-31,agent-rs,88,Rust,47,1908,Internet Computer
2022-10-31,ic-wall,82,TypeScript,17,1908,Internet Computer
2022-10-31,agent_dart,82,Dart,18,1908,Internet Computer
2022-10-31,ic-drive,77,JavaScript,11,1908,Internet Computer
2022-10-31,ic-token,77,Rust,28,1908,Internet Computer
2022-10-31,RetroBridgeBBS,62,Python,2,1908,Internet Computer
2022-10-31,reversi,58,JavaScript,22,1908,Internet Computer
2022-10-31,dfinityexplorer-dashboard,56,JavaScript,14,1908,Internet Computer
2022-10-31,dank,55,Rust,20,1908,Internet Computer
2022-10-31,nns-dapp,52,Rust,14,1908,Internet Computer
2022-10-31,ic-rocks,51,TypeScript,22,1908,Internet Computer
2022-10-31,streammyaudio,51,HTML,4,1908,Internet Computer
2022-10-31,ic-nft,47,Motoko,21,1908,Internet Computer
2022-10-31,DIP20,47,Motoko,26,1908,Internet Computer
2022-10-31,DIP721,47,TypeScript,19,1908,Internet Computer
2022-10-31,open-chat,41,Rust,2,1908,Internet Computer
2022-10-31,cap,41,Rust,16,1908,Internet Computer
2022-10-31,bitcoin-developer-preview,39,Rust,12,1908,Internet Computer
2022-10-31,keysmith,38,Shell,22,1908,Internet Computer
2022-10-31,education,37,Motoko,6,1908,Internet Computer
2022-10-31,nextjs-ic-starter,35,JavaScript,13,1908,Internet Computer
2022-10-31,terabethia,34,Rust,12,1908,Internet Computer
2022-10-31,ic-cron,33,Rust,6,1908,Internet Computer
2022-10-31,ic-hs,32,C,4,1908,Internet Computer
2022-10-31,azle,32,TypeScript,1,1908,Internet Computer
2022-10-31,velocidade,31,JavaScript,3,1908,Internet Computer
2022-10-31,chrome-ic-inspector,30,TypeScript,4,1908,Internet Computer
2022-10-31,launchtrail,30,Rust,4,1908,Internet Computer
2022-10-31,protocol-design,30,Modelica,7,1908,Internet Computer
2022-10-31,desktop,30,Python,9,1908,Internet Computer
2022-10-31,Brain_Computer_Interface,29,Python,15,1908,Internet Computer
2022-10-31,motoko-crud,27,Modelica,6,1908,Internet Computer
2022-10-31,ic-js,27,JavaScript,9,1908,Internet Computer
2022-10-31,mlh-localhost-internet-computer-dfinity-starter,26,JavaScript,21,1908,Internet Computer
2022-10-31,cra-template-dfx,26,JavaScript,7,1908,Internet Computer
2022-10-31,icx-proxy,25,Rust,14,1908,Internet Computer
2022-10-31,icfs,25,Rust,1,1908,Internet Computer
2022-10-31,Yacht-computer,24,C++,7,1908,Internet Computer
2022-10-31,Internet-Computer-Research,24,Python,4,1908,Internet Computer
2022-10-31,bigmap-poc,23,Rust,3,1908,Internet Computer
2022-10-31,superheroes,23,JavaScript,10,1908,Internet Computer
2022-10-31,ic-vcf-gatsby,21,JavaScript,5,1908,Internet Computer
2022-10-31,Media-Hub,21,Python,7,1908,Internet Computer
2022-10-31,Core-v4,20,JavaScript,5,1908,Internet Computer
2022-10-31,sly,20,Rust,2,1908,Internet Computer
2022-10-31,ic-mini-terminal,20,Rust,5,1908,Internet Computer
2022-10-31,kybra,18,Rust,0,1908,Internet Computer
2022-10-31,ic4j-agent,17,Java,3,1908,Internet Computer
2022-10-31,ic-qr-scanner,16,HTML,2,1908,Internet Computer
2022-10-31,candid-kt,15,Kotlin,3,1908,Internet Computer
2022-10-31,pet-love,14,Motoko,2,1908,Internet Computer
2022-10-31,journey,13,Motoko,6,1908,Internet Computer
2022-10-31,portal,13,TypeScript,51,1908,Internet Computer
2022-10-31,NFID-SDK,12,TypeScript,3,1908,Internet Computer
2022-10-31,ic-notes,12,Vue,3,1908,Internet Computer
2022-10-31,dtoken,12,Modelica,5,1908,Internet Computer
2022-10-31,ic-utils,11,Shell,2,1908,Internet Computer
2022-10-31,wake-on-wan,11,PHP,4,1908,Internet Computer
2022-10-31,awesome-IC,11,,3,1908,Internet Computer
2022-10-31,SmartFarm,10,C,10,1908,Internet Computer
2022-10-31,Internet-Chess-Killer,10,C++,9,1908,Internet Computer
2022-10-31,android-adb-usb-tether,9,Shell,2,1908,Internet Computer
2022-10-31,arcana.computer,9,SCSS,4,1908,Internet Computer
2022-10-31,BackgroundServer,8,Visual Basic,3,1908,Internet Computer
2022-10-31,getting-started,8,,2,1908,Internet Computer
2022-10-31,LocalFreeWeb,7,Python,8,1908,Internet Computer
2022-10-31,ic-video,6,JavaScript,2,1908,Internet Computer
2022-10-31,lif,6,JavaScript,2,1908,Internet Computer
2022-10-31,icp-js,6,TypeScript,4,1908,Internet Computer
2022-10-31,agent-go,6,Go,3,1908,Internet Computer
2022-10-31,morris,6,C,6,1908,Internet Computer
2022-10-31,ic-types,5,Rust,6,1908,Internet Computer
2022-10-31,bonsai_dapp,5,JavaScript,3,1908,Internet Computer
2022-10-31,hello-angular-motoko,5,TypeScript,5,1908,Internet Computer
2022-10-31,page-visits,5,JavaScript,2,1908,Internet Computer
2022-10-31,internet,3,Ruby,1,1908,Internet Computer
2022-10-31,cycles-common,3,,2,1908,Internet Computer
2022-10-31,InternetTrafficClassification,1,Python,2,1908,Internet Computer
2022-10-31,Internet_Monitor,0,Python,3,1908,Internet Computer
