date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-07,leostick_otp,17,Arduino,3,13,LEO Token
2022-12-07,leo,4,JavaScript,3,13,LEO Token
2022-12-07,LeonicornSwap-Token-Contract,2,,2,13,LEO Token
2022-12-07,leo-token,1,TypeScript,0,13,LEO Token
2022-12-07,leoparinu,0,,0,13,LEO Token
2022-12-07,arch1-tokenizer-LeonelEscapita,0,C,1,13,LEO Token
2022-12-07,leoactoinhouse,0,JavaScript,1,13,LEO Token
2022-12-07,wLEO-contract,0,Solidity,0,13,LEO Token
2022-12-07,came_leon,0,JavaScript,0,13,LEO Token
2022-12-07,leotoken,0,JavaScript,0,13,LEO Token
2022-12-07,LEOcoin-ERC20,0,,1,13,LEO Token
2022-12-07,LEOBank,0,JavaScript,1,13,LEO Token
2022-12-07,LEOTOKEN,0,,0,13,LEO Token
