date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-04,cpuminer,2557,Assembly,1179,2048,Litecoin
2022-11-04,cryptocurrency-arbitrage,1036,JavaScript,300,2048,Litecoin
2022-11-04,CudaMiner,674,C,301,2048,Litecoin
2022-11-04,miningcore,612,C,510,2048,Litecoin
2022-11-04,crypto-arbitrage,531,Python,181,2048,Litecoin
2022-11-04,Payment-Gateway,482,CSS,341,2048,Litecoin
2022-11-04,bitfinex-api-node,454,JavaScript,224,2048,Litecoin
2022-11-04,bitcoinlib,429,Python,136,2048,Litecoin
2022-11-04,edge-react-gui,396,TypeScript,245,2048,Litecoin
2022-11-04,joule-extension,350,TypeScript,63,2048,Litecoin
2022-11-04,ecdsa-private-key-recovery,321,Python,107,2048,Litecoin
2022-11-04,bitcoin-etl,311,Python,94,2048,Litecoin
2022-11-04,ethatomicswap,305,JavaScript,114,2048,Litecoin
2022-11-04,bitfinex-api-go,287,Go,221,2048,Litecoin
2022-11-04,rusty-blockparser,281,Rust,122,2048,Litecoin
2022-11-04,FPGA-Litecoin-Miner,270,Verilog,124,2048,Litecoin
2022-11-04,bruteforce-wallet,267,C,120,2048,Litecoin
2022-11-04,token-core,242,Rust,89,2048,Litecoin
2022-11-04,cryptoview,219,Python,53,2048,Litecoin
2022-11-04,MacMiner,201,C,73,2048,Litecoin
2022-11-04,bitbox-wallet-app,167,Go,71,2048,Litecoin
2022-11-04,coinwidget.com,146,PHP,125,2048,Litecoin
2022-11-04,litecore-litecoin,137,C++,198,2048,Litecoin
2022-11-04,coinkey,134,JavaScript,57,2048,Litecoin
2022-11-04,cryptocoin,132,JavaScript,29,2048,Litecoin
2022-11-04,walletool,132,Python,65,2048,Litecoin
2022-11-04,threebody,129,Python,93,2048,Litecoin
2022-11-04,OKIMOCHI,123,JavaScript,14,2048,Litecoin
2022-11-04,pycoind,116,Python,47,2048,Litecoin
2022-11-04,bettertouchtool-crypto,112,,35,2048,Litecoin
2022-11-04,altcointip,106,Python,144,2048,Litecoin
2022-11-04,openwallet-android,92,Java,87,2048,Litecoin
2022-11-04,libdohj,92,Java,93,2048,Litecoin
2022-11-04,BIP39,91,Java,36,2048,Litecoin
2022-11-04,framework,90,JavaScript,51,2048,Litecoin
2022-11-04,paybear-samples,88,JavaScript,32,2048,Litecoin
2022-11-04,crypto-icons,86,,94,2048,Litecoin
2022-11-04,JMiner,83,Java,88,2048,Litecoin
2022-11-04,cryptaddress-validator,79,JavaScript,8,2048,Litecoin
