date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-01,monero,7461,C++,3378,2594,Monero
2022-12-01,xmrig,7264,C,3318,2594,Monero
2022-12-01,xmr-stak,4008,C++,1885,2594,Monero
2022-12-01,coin-hive,1935,JavaScript,426,2594,Monero
2022-12-01,monero-gui,1305,C,730,2594,Monero
2022-12-01,xmr-stak-cpu,1108,C++,515,2594,Monero
2022-12-01,node-cryptonote-pool,803,JavaScript,1194,2594,Monero
2022-12-01,xmrig-nvidia,646,C++,276,2594,Monero
2022-12-01,p2pool,624,C++,95,2594,Monero
2022-12-01,cpuminer-multi,600,C,1656,2594,Monero
2022-12-01,haveno,569,Java,51,2594,Monero
2022-12-01,wagyu,534,Rust,91,2594,Monero
2022-12-01,xmrig-proxy,506,C++,346,2594,Monero
2022-12-01,SilentXMRMiner,479,Visual Basic .NET,160,2594,Monero
2022-12-01,xmr-btc-swap,472,Rust,63,2594,Monero
2022-12-01,xmrwallet,470,Java,281,2594,Monero
2022-12-01,monero-stratum,469,Go,215,2594,Monero
2022-12-01,xmrig-amd,387,C++,235,2594,Monero
2022-12-01,cake_wallet,309,Dart,83,2594,Monero
2022-12-01,monero-pool,296,C,110,2594,Monero
2022-12-01,onion-monero-blockchain-explorer,287,C++,263,2594,Monero
2022-12-01,monero-wallet-generator,279,HTML,267,2594,Monero
2022-12-01,app-monero,263,Python,102,2594,Monero
2022-12-01,monerobook,260,,78,2594,Monero
2022-12-01,coinhive-stratum-mining-proxy,257,Python,115,2594,Monero
2022-12-01,webminerpool,247,C,174,2594,Monero
2022-12-01,xmr-stak-nvidia,245,C++,105,2594,Monero
2022-12-01,monero-site,205,CSS,363,2594,Monero
2022-12-01,mithril,197,Rust,38,2594,Monero
2022-12-01,monero-python,196,Python,76,2594,Monero
2022-12-01,xmr-stak-amd,193,C++,114,2594,Monero
2022-12-01,xmrMiner,168,C,76,2594,Monero
2022-12-01,openmonero,150,C,146,2594,Monero
2022-12-01,poolui,146,HTML,159,2594,Monero
2022-12-01,MoneroMiner,140,Java,65,2594,Monero
2022-12-01,kasisto,140,JavaScript,37,2594,Monero
