date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-23,awesome-multiversx-dev-resources,44,,15,15,MultiversX (Elrond)
2022-12-23,elven-nft-minter-sc,44,Rust,32,15,MultiversX (Elrond)
2022-12-23,nextjs-dapp-template,27,TypeScript,11,15,MultiversX (Elrond)
2022-12-23,elven-tools-dapp,24,TypeScript,26,15,MultiversX (Elrond)
2022-12-23,elven-tools-cli,23,TypeScript,12,15,MultiversX (Elrond)
2022-12-23,buildo-begins,23,TypeScript,4,15,MultiversX (Elrond)
2022-12-23,multiversx-my-nfts-collection-dapp,15,JavaScript,6,15,MultiversX (Elrond)
2022-12-23,multiversx-simple-sc,14,WebAssembly,3,15,MultiversX (Elrond)
2022-12-23,elven.js,11,TypeScript,2,15,MultiversX (Elrond)
2022-12-23,erdjs-vue,3,TypeScript,1,15,MultiversX (Elrond)
2022-12-23,multiversx-helpers-ext,2,JavaScript,0,15,MultiversX (Elrond)
2022-12-23,nextjs-dapp-template-tw,2,TypeScript,0,15,MultiversX (Elrond)
2022-12-23,esdt-faucet-sc,1,Rust,1,15,MultiversX (Elrond)
2022-12-23,esdt-faucet-dapp,0,TypeScript,0,15,MultiversX (Elrond)
2022-12-23,spin-wheel-casino-contract-on-multiversX,0,Rust,0,15,MultiversX (Elrond)
