date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-30,nearcore,1938,Rust,406,572,NEAR Protocol
2022-11-30,learn-web3-dapp,1065,TypeScript,394,572,NEAR Protocol
2022-11-30,near-api-js,305,TypeScript,191,572,NEAR Protocol
2022-11-30,aurora-engine,253,Rust,68,572,NEAR Protocol
2022-11-30,near-wallet,185,JavaScript,170,572,NEAR Protocol
2022-11-30,near-cli,162,JavaScript,79,572,NEAR Protocol
2022-11-30,docs,117,TypeScript,203,572,NEAR Protocol
2022-11-30,nearup,96,Python,27,572,NEAR Protocol
2022-11-30,NEARStudio,65,TypeScript,18,572,NEAR Protocol
2022-11-30,near-lands,53,JavaScript,8,572,NEAR Protocol
2022-11-30,mintbase-js,49,TypeScript,19,572,NEAR Protocol
2022-11-30,meta-pool,41,Rust,18,572,NEAR Protocol
2022-11-30,workshop--exploring-assemblyscript-contracts,40,TypeScript,18,572,NEAR Protocol
2022-11-30,near-jsonrpc-client-rs,33,Rust,25,572,NEAR Protocol
2022-11-30,near-seed-phrase,28,JavaScript,9,572,NEAR Protocol
2022-11-30,flutter_near,28,Dart,1,572,NEAR Protocol
2022-11-30,near-contract-tools,26,Rust,6,572,NEAR Protocol
2022-11-30,near-protocol-contracts,25,Rust,9,572,NEAR Protocol
2022-11-30,near-chess,25,JavaScript,4,572,NEAR Protocol
2022-11-30,nearenough,25,Java,5,572,NEAR Protocol
2022-11-30,NCD.L1.sample--nearly-neighbors,19,TypeScript,13,572,NEAR Protocol
2022-11-30,LiNEAR,17,Rust,1,572,NEAR Protocol
2022-11-30,near-api-go,14,Go,10,572,NEAR Protocol
2022-11-30,Aurora-Trisolaris-Auto-Compound-Script,13,JavaScript,6,572,NEAR Protocol
2022-11-30,examples,13,TypeScript,4,572,NEAR Protocol
2022-11-30,voan,11,JavaScript,0,572,NEAR Protocol
2022-11-30,near_rewards,11,Rust,3,572,NEAR Protocol
2022-11-30,near-java-api,11,Java,5,572,NEAR Protocol
2022-11-30,nesdie,10,Rust,1,572,NEAR Protocol
2022-11-30,near-smart-contract-rust-template,9,Rust,12,572,NEAR Protocol
2022-11-30,NCD.L1.sample--lottery,9,TypeScript,21,572,NEAR Protocol
2022-11-30,SolanaNFTMarket,9,Rust,7,572,NEAR Protocol
