date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-31,substrate,7589,Rust,2386,2252,Polkadot
2022-10-31,polkadot,6356,Rust,1396,2252,Polkadot
2022-10-31,apps,1571,TypeScript,1021,2252,Polkadot
2022-10-31,api,1003,TypeScript,271,2252,Polkadot
2022-10-31,extension,840,TypeScript,307,2252,Polkadot
2022-10-31,moonbeam,754,TypeScript,234,2252,Polkadot
2022-10-31,Acala,673,Rust,219,2252,Polkadot
2022-10-31,Grants-Program,658,,1332,2252,Polkadot
2022-10-31,parity-signer,458,Rust,146,2252,Polkadot
2022-10-31,polkadot-launch,453,TypeScript,85,2252,Polkadot
2022-10-31,gossamer,361,Go,92,2252,Polkadot
2022-10-31,nft-gallery,318,Vue,220,2252,Polkadot
2022-10-31,polkadot,302,JavaScript,7,2252,Polkadot
2022-10-31,polkadot-wiki,252,JavaScript,425,2252,Polkadot
2022-10-31,tools,252,TypeScript,59,2252,Polkadot
2022-10-31,smoldot,250,Rust,60,2252,Polkadot
2022-10-31,substrate-front-end-template,244,JavaScript,284,2252,Polkadot
2022-10-31,common,232,TypeScript,110,2252,Polkadot
2022-10-31,snowbridge,222,Rust,84,2252,Polkadot
2022-10-31,polkadot-validator-setup,207,JavaScript,132,2252,Polkadot
2022-10-31,robonomics,205,Rust,58,2252,Polkadot
2022-10-31,substrate-telemetry,199,Rust,150,2252,Polkadot
2022-10-31,substrate-ledger-ed25519,191,JavaScript,13,2252,Polkadot
2022-10-31,polkadot-white-paper,187,TeX,43,2252,Polkadot
2022-10-31,substrate-archive,186,Rust,67,2252,Polkadot
2022-10-31,hs-web3,175,Haskell,60,2252,Polkadot
2022-10-31,phishing,165,TypeScript,112,2252,Polkadot
2022-10-31,subscan-essentials,155,Go,93,2252,Polkadot
2022-10-31,docs,146,JavaScript,166,2252,Polkadot
2022-10-31,Metaverse-Network,143,Rust,61,2252,Polkadot
2022-10-31,polkadot-spec,139,Ruby,39,2252,Polkadot
2022-10-31,gear,139,Rust,70,2252,Polkadot
2022-10-31,chainlink-polkadot,130,Go,66,2252,Polkadot
2022-10-31,xcm-format,125,,23,2252,Polkadot
2022-10-31,PSPs,119,,46,2252,Polkadot
2022-10-31,kagome,114,C++,30,2252,Polkadot
2022-10-31,polkawallet-flutter,108,Dart,49,2252,Polkadot
2022-10-31,ui,102,TypeScript,65,2252,Polkadot
2022-10-31,polkadot-deployer,100,JavaScript,45,2252,Polkadot
2022-10-31,substrate-debug-kit,95,Rust,34,2252,Polkadot
2022-10-31,parallel,90,Rust,31,2252,Polkadot
2022-10-31,polkadots,79,Shell,12,2252,Polkadot
2022-10-31,zombienet,72,TypeScript,25,2252,Polkadot
2022-10-31,polkadot-staking-dashboard,72,TypeScript,46,2252,Polkadot
2022-10-31,substrate-ui,72,JavaScript,41,2252,Polkadot
2022-10-31,pontem,67,Rust,52,2252,Polkadot
2022-10-31,rmrk-substrate,59,TypeScript,36,2252,Polkadot
2022-10-31,enKrypt,59,Vue,29,2252,Polkadot
2022-10-31,txwrapper,59,TypeScript,28,2252,Polkadot
2022-10-31,polkadot-wiki-old,56,HTML,42,2252,Polkadot
2022-10-31,cumulus-workshop,55,JavaScript,23,2252,Polkadot
2022-10-31,polkaj,52,Java,46,2252,Polkadot
2022-10-31,polkascan-os,52,,54,2252,Polkadot
2022-10-31,scale.go,51,Go,26,2252,Polkadot
2022-10-31,zkmega,49,Rust,10,2252,Polkadot
2022-10-31,golkadot,49,Go,8,2252,Polkadot
2022-10-31,polkadot-k8s,48,TypeScript,15,2252,Polkadot
2022-10-31,metamask-snap-polkadot,48,TypeScript,23,2252,Polkadot
2022-10-31,fmd-cess,47,,10,2252,Polkadot
2022-10-31,polkadot-legacy-spec,47,,17,2252,Polkadot
2022-10-31,ledger-polkadot,46,C,23,2252,Polkadot
2022-10-31,substrate-dex,45,Rust,26,2252,Polkadot
2022-10-31,talisman-web,44,TypeScript,25,2252,Polkadot
2022-10-31,apps,43,Vue,28,2252,Polkadot
2022-10-31,mangata-node,42,Rust,26,2252,Polkadot
2022-10-31,panic_polkadot,40,Python,8,2252,Polkadot
2022-10-31,play-substrate,38,Rust,33,2252,Polkadot
2022-10-31,polkadot-basic-notification,34,TypeScript,5,2252,Polkadot
2022-10-31,PolkadotWP,33,,5,2252,Polkadot
2022-10-31,Nomidot,32,TypeScript,14,2252,Polkadot
2022-10-31,substra-hooks,32,TypeScript,6,2252,Polkadot
2022-10-31,polkadot-rewards,30,Rust,10,2252,Polkadot
2022-10-31,polkadot_api_server,30,JavaScript,15,2252,Polkadot
2022-10-31,polkadot_api_dotnet,30,C#,16,2252,Polkadot
2022-10-31,polkadot,28,Rust,10,2252,Polkadot
2022-10-31,polkadot-k8s-operator,27,Go,12,2252,Polkadot
2022-10-31,polkadot-js.github.io,27,HTML,201,2252,Polkadot
2022-10-31,frequency,25,Rust,5,2252,Polkadot
2022-10-31,Polkadot-Dart,22,Dart,4,2252,Polkadot
2022-10-31,polkadot-charts,22,Smarty,14,2252,Polkadot
2022-10-31,polkadot-scripts,22,TypeScript,4,2252,Polkadot
2022-10-31,polkastats-v2,21,Vue,24,2252,Polkadot
2022-10-31,enzyme,20,JavaScript,16,2252,Polkadot
2022-10-31,polkadot_cosmos_integration,19,Rust,8,2252,Polkadot
2022-10-31,polkadot-payouts,19,TypeScript,11,2252,Polkadot
2022-10-31,hello-world-by-polkadot,18,,28,2252,Polkadot
2022-10-31,polkadot_api_cpp,17,C++,19,2252,Polkadot
2022-10-31,polkalert,16,TypeScript,7,2252,Polkadot
2022-10-31,polkadot-registrar-challenger,15,Rust,10,2252,Polkadot
2022-10-31,ledger-substrate-js,15,TypeScript,16,2252,Polkadot
2022-10-31,polkadot-watcher-validator,14,TypeScript,6,2252,Polkadot
2022-10-31,polkadot-registrar-watcher,13,TypeScript,7,2252,Polkadot
2022-10-31,polkadash,13,JavaScript,4,2252,Polkadot
2022-10-31,polkadot-mempool-explorer,13,TypeScript,8,2252,Polkadot
2022-10-31,polka-pallet,11,Rust,6,2252,Polkadot
2022-10-31,polkadot-lab,10,TypeScript,9,2252,Polkadot
2022-10-31,polkadot-tests,9,Rust,7,2252,Polkadot
2022-10-31,polkadot-watcher-csv-exporter,9,TypeScript,8,2252,Polkadot
2022-10-31,nova-utils,5,Python,24,2252,Polkadot
2022-10-31,polkadot,4,TypeScript,6,2252,Polkadot
