date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-31,labelme,9343,Python,2794,17075,Polygon
2022-10-31,triangula,3769,Go,116,17075,Polygon
2022-10-31,earcut,1786,JavaScript,182,17075,Polygon
2022-10-31,polygons,1269,JavaScript,218,17075,Polygon
2022-10-31,polylabel,1213,C++,127,17075,Polygon
2022-10-31,polygon-ethereum-nextjs-marketplace,1121,JavaScript,733,17075,Polygon
2022-10-31,testlib,1049,C++,445,17075,Polygon
2022-10-31,pmp-library,862,C++,99,17075,Polygon
2022-10-31,PolygonDrawingUtil,811,Java,84,17075,Polygon
2022-10-31,polygon-shredder,766,JavaScript,109,17075,Polygon
2022-10-31,polyrnn-pp,728,Jupyter Notebook,155,17075,Polygon
2022-10-31,polyrnn-pp-pytorch,701,,104,17075,Polygon
2022-10-31,polygon-edge,681,Go,260,17075,Polygon
2022-10-31,polygonsview,651,Java,119,17075,Polygon
2022-10-31,earcut.hpp,642,C,104,17075,Polygon
2022-10-31,martinez,565,JavaScript,66,17075,Polygon
2022-10-31,PolygonImageView,529,Java,111,17075,Polygon
2022-10-31,Unity-UI-Polygon,500,C#,90,17075,Polygon
2022-10-31,polypartition,494,C++,88,17075,Polygon
2022-10-31,PolyFit,491,C++,104,17075,Polygon
2022-10-31,Tiling,469,Python,29,17075,Polygon
2022-10-31,polybooljs,468,JavaScript,82,17075,Polygon
2022-10-31,ChainBridge,447,Go,295,17075,Polygon
2022-10-31,d3-contour,442,JavaScript,56,17075,Polygon
2022-10-31,cuda_voxelizer,400,C++,80,17075,Polygon
2022-10-31,polygon-clipping,392,JavaScript,49,17075,Polygon
2022-10-31,geo-countries,371,Dockerfile,97,17075,Polygon
2022-10-31,mapgen2,352,JavaScript,58,17075,Polygon
2022-10-31,poly-decomp.js,340,JavaScript,91,17075,Polygon
2022-10-31,Unreal-Polygonal-Map-Gen,310,C++,74,17075,Polygon
2022-10-31,Collisions,307,JavaScript,45,17075,Polygon
2022-10-31,polygon-contains-point,291,Java,99,17075,Polygon
2022-10-31,polygon_coverage_planning,289,C++,111,17075,Polygon
2022-10-31,modanet,287,,72,17075,Polygon
2022-10-31,Clipper2,274,Pascal,63,17075,Polygon
2022-10-31,Unity.Library.eppz.Geometry,271,C#,47,17075,Polygon
2022-10-31,poly-flashloan-bot,220,TypeScript,154,17075,Polygon
2022-10-31,polygonjs,215,TypeScript,14,17075,Polygon
2022-10-31,PolygonObjectDetection,207,Python,52,17075,Polygon
2022-10-31,polygon-offset,206,JavaScript,23,17075,Polygon
2022-10-31,robust-point-in-polygon,202,JavaScript,30,17075,Polygon
2022-10-31,leaflet-pip,192,JavaScript,49,17075,Polygon
2022-10-31,godot-polygon2d-fracture,188,GDScript,13,17075,Polygon
2022-10-31,poly-flash,183,Solidity,116,17075,Polygon
2022-10-31,polylidar,176,C++,28,17075,Polygon
2022-10-31,polygon-map-unity,174,,76,17075,Polygon
2022-10-31,Polygonization-by-Frame-Field-Learning,171,Python,47,17075,Polygon
2022-10-31,label_centerlines,164,Python,44,17075,Polygon
2022-10-31,matic-docs,163,JavaScript,361,17075,Polygon
2022-10-31,isosurface,157,JavaScript,25,17075,Polygon
2022-10-31,bezierpath-polygons,154,Swift,11,17075,Polygon
2022-10-31,polygon-wind,145,ShaderLab,28,17075,Polygon
2022-10-31,centerline,141,Python,39,17075,Polygon
2022-10-31,NFTminter,131,JavaScript,68,17075,Polygon
2022-10-31,polygon.js,130,JavaScript,20,17075,Polygon
2022-10-31,Polygon-NFT-marketplace,124,TypeScript,80,17075,Polygon
2022-10-31,yolov3-polygon,121,Python,37,17075,Polygon
2022-10-31,comments-with-polygon,120,TypeScript,468,17075,Polygon
2022-10-31,visibility-polygon-js,118,JavaScript,16,17075,Polygon
2022-10-31,which-polygon,114,JavaScript,13,17075,Polygon
2022-10-31,Polygons,110,,27,17075,Polygon
2022-10-31,geojson-rewind,107,JavaScript,35,17075,Polygon
2022-10-31,transformr,107,R,10,17075,Polygon
2022-10-31,pytorch-polygon-rnn,105,Python,42,17075,Polygon
2022-10-31,contracts,103,Solidity,62,17075,Polygon
2022-10-31,power-polygon,102,JavaScript,35,17075,Polygon
2022-10-31,circle-to-polygon,97,JavaScript,25,17075,Polygon
2022-10-31,delaunay,97,Lua,18,17075,Polygon
2022-10-31,client-js,95,TypeScript,39,17075,Polygon
2022-10-31,flutter-polygon-clipper,93,Dart,28,17075,Polygon
2022-10-31,d3-geo-polygon,93,JavaScript,22,17075,Polygon
2022-10-31,d3-polygon,90,JavaScript,23,17075,Polygon
2022-10-31,polygon-geohasher,89,Python,21,17075,Polygon
2022-10-31,PolygonColliderSimplification,82,C#,20,17075,Polygon
2022-10-31,clipper-java,71,Java,24,17075,Polygon
2022-10-31,google-maps-coordinates-polygon-tool,67,JavaScript,37,17075,Polygon
2022-10-31,uk-postcode-polygons,66,Shell,44,17075,Polygon
2022-10-31,polygon-lookup,62,JavaScript,17,17075,Polygon
2022-10-31,polygon-faucet,61,JavaScript,51,17075,Polygon
2022-10-31,qidao,60,Solidity,32,17075,Polygon
2022-10-31,jPolygon,57,JavaScript,24,17075,Polygon
2022-10-31,Polygon-Arbitrage-Bot,53,TypeScript,25,17075,Polygon
2022-10-31,polygon-etl,53,Python,44,17075,Polygon
2022-10-31,polygon-cli,48,Python,15,17075,Polygon
2022-10-31,Google-Maps-Point-in-Polygon,48,JavaScript,92,17075,Polygon
2022-10-31,polygon-token-list,44,JavaScript,29,17075,Polygon
2022-10-31,js-intersect,43,JavaScript,15,17075,Polygon
2022-10-31,polygon_api,43,Python,20,17075,Polygon
2022-10-31,polygon,37,C++,54,17075,Polygon
2022-10-31,domain-starter,33,CSS,301,17075,Polygon
2022-10-31,polygon,32,Python,7,17075,Polygon
2022-10-31,RFCL-PolygonDivider,30,Python,10,17075,Polygon
2022-10-31,PincodeBoundary,28,,24,17075,Polygon
2022-10-31,PolygonTransitions,28,GLSL,10,17075,Polygon
2022-10-31,Polygon,27,Swift,6,17075,Polygon
2022-10-31,v3-polygon-shape-creator,26,JavaScript,36,17075,Polygon
2022-10-31,dappnode-polygon,23,Shell,23,17075,Polygon
2022-10-31,fusion-point-polygon-list,21,JavaScript,30,17075,Polygon
2022-10-31,iron-polygon-contracts,17,Solidity,34,17075,Polygon
2022-10-31,boilerplate-polygon-area-calculator,7,Python,119,17075,Polygon
