date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-30,solana,9584,Rust,2465,13104,Solana
2022-10-30,metaplex,3220,,6592,13104,Solana
2022-10-30,anchor,2530,Rust,905,13104,Solana
2022-10-30,solana-program-library,2105,Rust,1277,13104,Solana
2022-10-30,dapp-scaffold,1423,TypeScript,656,13104,Solana
2022-10-30,solana-web3.js,1331,TypeScript,445,13104,Solana
2022-10-30,Smart-Contract-Security-Audits,1268,HTML,994,13104,Solana
2022-10-30,token-list,1239,Go,11973,13104,Solana
2022-10-30,solana-pay,1053,TypeScript,310,13104,Solana
2022-10-30,wallet-adapter,1006,TypeScript,631,13104,Solana
2022-10-30,solang,893,Rust,126,13104,Solana
2022-10-30,awesome-solana-nfts,856,,172,13104,Solana
2022-10-30,example-helloworld,743,TypeScript,633,13104,Solana
2022-10-30,solana-py,609,Python,172,13104,Solana
2022-10-30,metaboss,570,Rust,201,13104,Solana
2022-10-30,complete-guide-to-full-stack-solana-development,425,JavaScript,124,13104,Solana
2022-10-30,solana-mobile-stack-sdk,410,,41,13104,Solana
2022-10-30,solana-cookbook,379,TypeScript,172,13104,Solana
2022-10-30,solana-go,378,Go,102,13104,Solana
2022-10-30,solana-season,341,,34,13104,Solana
2022-10-30,sealevel-attacks,337,Rust,66,13104,Solana
2022-10-30,solana-developer-resources,311,,52,13104,Solana
2022-10-30,gem-farm,301,TypeScript,240,13104,Solana
2022-10-30,solana-onboarding,299,,24,13104,Solana
2022-10-30,awesome-solana,291,,45,13104,Solana
2022-10-30,create-dapp-solana-nextjs,291,TypeScript,155,13104,Solana
2022-10-30,solana-escrow,281,TypeScript,155,13104,Solana
2022-10-30,solana-bpf-program-template,274,Rust,146,13104,Solana
2022-10-30,treat-toolbox,273,TypeScript,119,13104,Solana
2022-10-30,solana-candy-factory,264,TypeScript,994,13104,Solana
2022-10-30,unity-solana-wallet,253,C#,125,13104,Solana
2022-10-30,Solnet,252,C#,90,13104,Solana
2022-10-30,break,239,TypeScript,116,13104,Solana
2022-10-30,firedancer,207,C,21,13104,Solana
2022-10-30,quarry,205,TypeScript,61,13104,Solana
2022-10-30,solana-bootcamp-lectures,197,Rust,75,13104,Solana
2022-10-30,SolanaNFTBot,196,TypeScript,102,13104,Solana
2022-10-30,jet-v1,193,Rust,60,13104,Solana
2022-10-30,token-vesting,190,Rust,110,13104,Solana
2022-10-30,solana-go-sdk,180,Go,53,13104,Solana
2022-10-30,expo-solana-wallet,176,TypeScript,53,13104,Solana
2022-10-30,walletkit,176,TypeScript,46,13104,Solana
2022-10-30,spl-token-ui,171,Vue,69,13104,Solana
2022-10-30,how-to-solana,170,,22,13104,Solana
2022-10-30,solanamonitoring,170,Shell,29,13104,Solana
2022-10-30,solana-twitter,167,Vue,48,13104,Solana
2022-10-30,solana-poc-framework,162,Rust,44,13104,Solana
2022-10-30,solana-web3-demo,158,TypeScript,43,13104,Solana
2022-10-30,ecosystem,149,,530,13104,Solana
2022-10-30,solana-nft-token-metadata-update,145,TypeScript,50,13104,Solana
2022-10-30,solana-course,145,,33,13104,Solana
2022-10-30,solana-playground,141,Rust,36,13104,Solana
2022-10-30,clockwork,140,Rust,31,13104,Solana
2022-10-30,solseum-nft-generator,139,Python,66,13104,Solana
2022-10-30,Solana.Swift,130,Swift,47,13104,Solana
2022-10-30,MagicEden-minting-bot,128,Python,77,13104,Solana
2022-10-30,sol-tutorials,114,,50,13104,Solana
2022-10-30,solana-go,112,Go,25,13104,Solana
2022-10-30,solana-starter-kit,111,JavaScript,36,13104,Solana
2022-10-30,stake-o-matic,110,Rust,89,13104,Solana
2022-10-30,solana-solidity.js,106,TypeScript,39,13104,Solana
2022-10-30,MagicEden-minting-bot,104,,84,13104,Solana
2022-10-30,candy-shop,98,TypeScript,66,13104,Solana
2022-10-30,solana-wallets-vue,90,Vue,38,13104,Solana
2022-10-30,solido,88,Rust,35,13104,Solana
2022-10-30,explorer,84,TypeScript,88,13104,Solana
2022-10-30,candy-shop-storefront,83,TypeScript,85,13104,Solana
2022-10-30,Sol-NFT-MInt-Bot,81,Python,104,13104,Solana
2022-10-30,solanaNftStaking,77,Rust,34,13104,Solana
2022-10-30,solana-nft-staking-program,74,Rust,46,13104,Solana
2022-10-30,solana-rpc-ansible,72,Shell,22,13104,Solana
2022-10-30,solanaj,72,Java,85,13104,Solana
2022-10-30,solana-swift,71,Swift,32,13104,Solana
2022-10-30,solana-php-sdk,70,PHP,31,13104,Solana
2022-10-30,solana-dapp-next,69,TypeScript,49,13104,Solana
2022-10-30,solana-snapshot-finder,69,Python,38,13104,Solana
2022-10-30,Opensea-minting-bot,68,Python,38,13104,Solana
2022-10-30,marketplace,64,TypeScript,45,13104,Solana
2022-10-30,solana-nft-sales-tracker,62,JavaScript,26,13104,Solana
2022-10-30,solana_exporter,53,Go,25,13104,Solana
2022-10-30,oyster-lending,51,TypeScript,75,13104,Solana
2022-10-30,solana-chat-app,50,TypeScript,27,13104,Solana
2022-10-30,solana-accountsdb-plugin-postgres,50,Rust,25,13104,Solana
2022-10-30,summer-school-of-solana-2022,50,Rust,32,13104,Solana
2022-10-30,solana-send-money,48,TypeScript,47,13104,Solana
2022-10-30,sv-manager,48,Python,18,13104,Solana
2022-10-30,solana-bigtable,46,Shell,21,13104,Solana
2022-10-30,Rust-Solana-Tutorial,46,TypeScript,35,13104,Solana
2022-10-30,solana-nft-uploader,46,JavaScript,20,13104,Solana
2022-10-30,SolanaKT,45,Kotlin,19,13104,Solana
2022-10-30,chainlink-solana,45,Go,31,13104,Solana
2022-10-30,jekyll-solana,40,SCSS,46,13104,Solana
2022-10-30,solana-pay-starter,39,CSS,525,13104,Solana
2022-10-30,whitepaper,38,TeX,31,13104,Solana
2022-10-30,solana-example-helloworld,37,Rust,33,13104,Solana
2022-10-30,facebook-solana-blockchain,35,JavaScript,50,13104,Solana
2022-10-30,solana-pay-tutorial,35,TypeScript,101,13104,Solana
2022-10-30,solana-flux-aggregator,33,TypeScript,30,13104,Solana
2022-10-30,Best-Solana-NFT-Drainer,27,JavaScript,44,13104,Solana
2022-10-30,Solana,19,Python,13,13104,Solana
