date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-31,stellar.js,4636,JavaScript,1373,9851,Stellar
2022-10-31,stellarium,4203,C++,607,9851,Stellar
2022-10-31,stellar,3813,Python,123,9851,Stellar
2022-10-31,stellar-core,3017,C,997,9851,Stellar
2022-10-31,Stellar,2917,Swift,228,9851,Stellar
2022-10-31,stellargraph,2531,Python,389,9851,Stellar
2022-10-31,LittleProxy,1909,PHP,743,9851,Stellar
2022-10-31,go,1181,Go,497,9851,Stellar
2022-10-31,stellar,1147,Go,32,9851,Stellar
2022-10-31,kelp,938,Go,222,9851,Stellar
2022-10-31,HYG-Database,633,,139,9851,Stellar
2022-10-31,js-stellar-sdk,562,JavaScript,281,9851,Stellar
2022-10-31,stellarterm,443,JavaScript,228,9851,Stellar
2022-10-31,stellar-protocol,440,CSS,325,9851,Stellar
2022-10-31,stellaris_cn,371,Lua,158,9851,Stellar
2022-10-31,py-stellar-base,332,Python,155,9851,Stellar
2022-10-31,stellar-client,304,JavaScript,79,9851,Stellar
2022-10-31,hexo-theme-stellar,280,Stylus,118,9851,Stellar
2022-10-31,stellarexplorer,277,JavaScript,437,9851,Stellar
2022-10-31,stellard,270,C++,61,9851,Stellar
2022-10-31,stellarium-web-engine,257,C,64,9851,Stellar
2022-10-31,dashboard,206,JavaScript,150,9851,Stellar
2022-10-31,Stellar,202,CSS,110,9851,Stellar
2022-10-31,docs,196,,292,9851,Stellar
2022-10-31,solar,176,TypeScript,57,9851,Stellar
2022-10-31,java-stellar-sdk,165,Java,168,9851,Stellar
2022-10-31,quickstart,159,Shell,197,9851,Stellar
2022-10-31,awesome-stellar,152,,20,9851,Stellar
2022-10-31,Stellar,138,Python,21,9851,Stellar
2022-10-31,gatsby-starter-stellar,137,CSS,36,9851,Stellar
2022-10-31,dotnet-stellar-sdk,116,C#,53,9851,Stellar
2022-10-31,starlight,113,Go,17,9851,Stellar
2022-10-31,prospector,110,Python,54,9851,Stellar
2022-10-31,Stellar,109,C#,12,9851,Stellar
2022-10-31,stellar-ios-mac-sdk,109,Swift,63,9851,Stellar
2022-10-31,astrograph,106,TypeScript,11,9851,Stellar
2022-10-31,isochrones,102,Jupyter Notebook,59,9851,Stellar
2022-10-31,stellar-wallet,99,JavaScript,54,9851,Stellar
2022-10-31,js-stellar-base,95,JavaScript,136,9851,Stellar
2022-10-31,scp_zh,94,TeX,38,9851,Stellar
2022-10-31,docker-stellar-core,91,Python,58,9851,Stellar
2022-10-31,django-polaris,85,Python,60,9851,Stellar
2022-10-31,hacking-stellar,82,,28,9851,Stellar
2022-10-31,symfony4,79,Twig,426,9851,Stellar
2022-10-31,stellar-random-walk,77,Scala,30,9851,Stellar
2022-10-31,StellarSQL,76,Rust,13,9851,Stellar
2022-10-31,stellarnav,76,JavaScript,29,9851,Stellar
2022-10-31,laboratory,75,JavaScript,91,9851,Stellar
2022-10-31,stellar-hd-wallet,73,JavaScript,44,9851,Stellar
2022-10-31,awesome-stellar,73,,9,9851,Stellar
2022-10-31,stellaris-tech-tree,71,JavaScript,16,9851,Stellar
2022-10-31,Stellaru,71,JavaScript,8,9851,Stellar
2022-10-31,ruby-stellar-sdk,70,Ruby,49,9851,Stellar
2022-10-31,stellarterm-desktop-client,68,HTML,25,9851,Stellar
2022-10-31,mesa,61,Fortran,16,9851,Stellar
2022-10-31,account-viewer,61,CSS,70,9851,Stellar
2022-10-31,stellarsolver,60,C,27,9851,Stellar
2022-10-31,Stellarium-android,59,C,25,9851,Stellar
2022-10-31,js-stellar-wallets,57,TypeScript,38,9851,Stellar
2022-10-31,fsps,57,Ruby,44,9851,Stellar
2022-10-31,stellar-physics-notes,57,TeX,19,9851,Stellar
2022-10-31,stellar_flutter_sdk,56,Dart,16,9851,Stellar
2022-10-31,stellar-lib,56,JavaScript,21,9851,Stellar
2022-10-31,stellarium-data,55,C,18,9851,Stellar
2022-10-31,stellar-expert-explorer,55,JavaScript,34,9851,Stellar
2022-10-31,firefly,54,Vue,42,9851,Stellar
2022-10-31,stellar-api,53,PHP,48,9851,Stellar
2022-10-31,stellaris,51,C,44,9851,Stellar
2022-10-31,stellaris-launchpad-template-gcc,51,C,33,9851,Stellar
2022-10-31,truechain-stellar,49,Vue,35,9851,Stellar
2022-10-31,Centaurus,48,JavaScript,39,9851,Stellar
2022-10-31,SPISEA,47,Python,26,9851,Stellar
2022-10-31,freighter,45,TypeScript,22,9851,Stellar
2022-10-31,stellar-demo-wallet,41,TypeScript,41,9851,Stellar
2022-10-31,stellar-invictus,40,Ruby,10,9851,Stellar
2022-10-31,StellarAIOV2,39,,18,9851,Stellar
