date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-04,tether,8491,JavaScript,796,1416,Tether
2022-11-04,gnirehtet,4677,Java,475,1416,Tether
2022-11-04,HoRNDIS,2635,C++,304,1416,Tether
2022-11-04,select,1200,JavaScript,124,1416,Tether
2022-11-04,SimpleRT,859,C,96,1416,Tether
2022-11-04,tooltip,713,CSS,78,1416,Tether
2022-11-04,palera1n,661,Shell,67,1416,Tether
2022-11-04,react-tether,387,TypeScript,73,1416,Tether
2022-11-04,tethering,313,Objective-C,84,1416,Tether
2022-11-04,PyBoot,261,Python,52,1416,Tether
2022-11-04,iOS-HTML5-Tethering,234,JavaScript,26,1416,Tether
2022-11-04,tether,203,JavaScript,24,1416,Tether
2022-11-04,sunst0rm,183,Python,36,1416,Tether
2022-11-04,unlimited-tethering,180,,29,1416,Tether
2022-11-04,Tether-iOS,164,Objective-C,31,1416,Tether
2022-11-04,vpn-reverse-tether,163,C,69,1416,Tether
2022-11-04,ra1nsn0w,158,C++,37,1416,Tether
2022-11-04,tether,154,C,10,1416,Tether
2022-11-04,tetherback,146,Python,18,1416,Tether
2022-11-04,ember-tether,118,JavaScript,32,1416,Tether
2022-11-04,liquid-tether,106,JavaScript,17,1416,Tether
2022-11-04,DeepFly3D,79,Jupyter Notebook,16,1416,Tether
2022-11-04,barnacle,75,C++,36,1416,Tether
2022-11-04,Deca5,66,Swift,10,1416,Tether
2022-11-04,socks5-ios,53,Objective-C,15,1416,Tether
2022-11-04,awesome-tetherino,45,,4,1416,Tether
2022-11-04,OpenWRT-USB-Tethering,45,Shell,23,1416,Tether
2022-11-04,4g-rotator,42,TypeScript,8,1416,Tether
2022-11-04,tether,35,C,11,1416,Tether
2022-11-04,tethery,35,Shell,4,1416,Tether
2022-11-04,tether,35,HTML,12,1416,Tether
2022-11-04,openvpn-server-ios,34,Shell,13,1416,Tether
2022-11-04,tether_unblock,32,Shell,3,1416,Tether
2022-11-04,p0insettia,29,C,6,1416,Tether
2022-11-04,vrepper,29,Python,17,1416,Tether
2022-11-04,yota-ban-list,28,Shell,19,1416,Tether
2022-11-04,android-linux-tethering,26,Shell,9,1416,Tether
2022-11-04,Iphone_usb_tethering_fix,24,C,2,1416,Tether
2022-11-04,iCloud_Bypass,23,C++,11,1416,Tether
2022-11-04,angular-jl-tether,22,JavaScript,7,1416,Tether
2022-11-04,FactionsPro,20,PHP,68,1416,Tether
2022-11-04,Tether,17,C#,5,1416,Tether
2022-11-04,vue-tooltip,14,CSS,5,1416,Tether
