date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-01,tezos,1502,,208,1994,Tezos
2022-12-01,Smart-Contract-Security-Audits,1140,HTML,998,1994,Tezos
2022-12-01,hicetnunc,800,JavaScript,295,1994,Tezos
2022-12-01,awesome-list-rpc-nodes-providers,507,,117,1994,Tezos
2022-12-01,taquito,274,TypeScript,90,1994,Tezos
2022-12-01,minter,188,TypeScript,90,1994,Tezos
2022-12-01,templewallet-extension,174,TypeScript,60,1994,Tezos
2022-12-01,tezos.com-legacy,164,HTML,54,1994,Tezos
2022-12-01,kukai,161,TypeScript,78,1994,Tezos
2022-12-01,tzkt,158,C#,24,1994,Tezos
2022-12-01,liquidity,153,OCaml,35,1994,Tezos
2022-12-01,tezedge,146,Rust,48,1994,Tezos
2022-12-01,eztz,118,JavaScript,53,1994,Tezos
2022-12-01,ledger-app-tezos,102,C,51,1994,Tezos
2022-12-01,nft-tutorial,91,TypeScript,22,1994,Tezos
2022-12-01,Conseil,89,Scala,24,1994,Tezos
2022-12-01,tezos-reward-distributor,85,Python,48,1994,Tezos
2022-12-01,beacon-sdk,76,TypeScript,42,1994,Tezos
2022-12-01,go-tezos,73,Go,46,1994,Tezos
2022-12-01,sotez,72,TypeScript,18,1994,Tezos
2022-12-01,tezos-baking,69,Shell,20,1994,Tezos
2022-12-01,tzindex,65,Go,11,1994,Tezos
2022-12-01,granary,65,OCaml,8,1994,Tezos
2022-12-01,TezosKit,65,Swift,9,1994,Tezos
2022-12-01,Tezori,59,TypeScript,13,1994,Tezos
2022-12-01,baseDAO,57,Haskell,12,1994,Tezos
2022-12-01,HDWallet,55,C#,25,1994,Tezos
2022-12-01,taqueria,53,TypeScript,8,1994,Tezos
2022-12-01,tezos-packaging,53,Python,19,1994,Tezos
2022-12-01,backerei,51,Nix,11,1994,Tezos
2022-12-01,taquito-pinata-tezos-nft,48,LigoLANG,32,1994,Tezos
2022-12-01,crypto-code-school-inside-tezos,48,JavaScript,18,1994,Tezos
2022-12-01,pytezos,47,Python,40,1994,Tezos
2022-12-01,fi-compiler,46,JavaScript,5,1994,Tezos
2022-12-01,tezos-k8s,45,Python,19,1994,Tezos
2022-12-01,signatory,45,Go,13,1994,Tezos
2022-12-01,templewallet-mobile,42,TypeScript,16,1994,Tezos
2022-12-01,homebase-app,42,TypeScript,12,1994,Tezos
2022-12-01,tezos-workshop-resources-2022,41,,6,1994,Tezos
2022-12-01,remote-signer,40,Python,15,1994,Tezos
2022-12-01,tzgo,38,Go,16,1994,Tezos
2022-12-01,tzprofiles,37,Svelte,13,1994,Tezos
2022-12-01,tezos-papers,37,TeX,20,1994,Tezos
2022-12-01,tezos-on-gke,35,HCL,14,1994,Tezos
2022-12-01,tezos-batch-payments,32,Shell,7,1994,Tezos
2022-12-01,TezosJ_plainJava,32,Java,6,1994,Tezos
