date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-10,netbox,11458,Python,2009,2313,The Open Network
2022-11-10,crowdsec,5749,Go,311,2313,The Open Network
2022-11-10,corda,3895,Kotlin,1075,2313,The Open Network
2022-11-10,openmediavault,3374,PHP,398,2313,The Open Network
2022-11-10,openthread,2968,C++,960,2313,The Open Network
2022-11-10,OnionBrowser,1919,HTML,433,2313,The Open Network
2022-11-10,SONiC,1649,HTML,911,2313,The Open Network
2022-11-10,open5gs,997,C,449,2313,The Open Network
2022-11-10,thingspeak,997,Ruby,320,2313,The Open Network
2022-11-10,lorawan-stack,751,Go,258,2313,The Open Network
2022-11-10,opengnb,723,C,165,2313,The Open Network
2022-11-10,agent,694,Go,274,2313,The Open Network
2022-11-10,ctzn,288,JavaScript,26,2313,The Open Network
2022-11-10,opensky-api,236,Java,95,2313,The Open Network
2022-11-10,veins,225,C++,190,2313,The Open Network
2022-11-10,tonweb,210,JavaScript,50,2313,The Open Network
2022-11-10,OSDN,199,Python,51,2313,The Open Network
2022-11-10,OpenNetMeter,197,C#,13,2313,The Open Network
2022-11-10,content,168,,30,2313,The Open Network
2022-11-10,odp,164,C,119,2313,The Open Network
2022-11-10,jcifs,160,Java,42,2313,The Open Network
2022-11-10,The-Lightning-Network-Book,159,TeX,20,2313,The Open Network
2022-11-10,Kepler,156,JavaScript,46,2313,The Open Network
2022-11-10,openp2p,144,Go,25,2313,The Open Network
2022-11-10,LoRa-AX25-IP-Network,143,,21,2313,The Open Network
2022-11-10,open-zwave-control-panel,130,C++,73,2313,The Open Network
2022-11-10,Bifrost,127,Go,16,2313,The Open Network
2022-11-10,DockerENT,123,Python,18,2313,The Open Network
2022-11-10,TonFunClessons_ru,117,Go,23,2313,The Open Network
2022-11-10,beluganos,116,Go,15,2313,The Open Network
2022-11-10,openwisp-network-topology,116,Python,53,2313,The Open Network
2022-11-10,deepfigures-open,115,Python,24,2313,The Open Network
2022-11-10,appleseed,115,PHP,13,2313,The Open Network
2022-11-10,nextepc,114,C,42,2313,The Open Network
2022-11-10,NHNetworkTime,112,Objective-C,21,2313,The Open Network
2022-11-10,PortScanner,108,Python,112,2313,The Open Network
2022-11-10,openwisp-monitoring,92,Python,62,2313,The Open Network
2022-11-10,ton-wallet,91,JavaScript,38,2313,The Open Network
2022-11-10,tensornetwork.org,90,TeX,34,2313,The Open Network
2022-11-10,ts3j,87,Java,15,2313,The Open Network
2022-11-10,KingNetwork,78,C#,15,2313,The Open Network
2022-11-10,OpenVocabCodeNLM,76,Python,24,2313,The Open Network
2022-11-10,platform-contracts,76,JavaScript,39,2313,The Open Network
2022-11-10,zinc,76,Smalltalk,49,2313,The Open Network
2022-11-10,Net2Plan,75,Java,35,2313,The Open Network
2022-11-10,uradmonitor_kit1,73,C++,25,2313,The Open Network
2022-11-10,ribbit-network-frog-sensor,67,G-code,24,2313,The Open Network
2022-11-10,ton-http-api,62,Python,10,2313,The Open Network
2022-11-10,dfinityexplorer-dashboard,55,JavaScript,14,2313,The Open Network
2022-11-10,OpenNIC-Wizard,53,C++,18,2313,The Open Network
2022-11-10,opennode-node,51,JavaScript,12,2313,The Open Network
2022-11-10,opensvp,50,Python,7,2313,The Open Network
2022-11-10,chirpstack-simulator,43,Go,39,2313,The Open Network
2022-11-10,open-nFAPI,43,C,26,2313,The Open Network
2022-11-10,ton-kotlin,41,Kotlin,12,2313,The Open Network
2022-11-10,OpenSteamClient,40,C++,6,2313,The Open Network
2022-11-10,OpenANE,39,Python,5,2313,The Open Network
2022-11-10,openwrt-cdnspeedtest,39,Makefile,15,2313,The Open Network
2022-11-10,mobility-explorer,37,JavaScript,15,2313,The Open Network
2022-11-10,pytonlib,37,Python,6,2313,The Open Network
2022-11-10,ember-osf-preprints,36,JavaScript,39,2313,The Open Network
2022-11-10,openzeppelin-gsn-provider,36,JavaScript,28,2313,The Open Network
2022-11-10,battery-quickstart-starter-template,33,CSS,33,2313,The Open Network
2022-11-10,greenlight,32,TypeScript,43,2313,The Open Network
2022-11-10,social-login-opencart,32,PHP,30,2313,The Open Network
2022-11-10,open_ptrack,32,C++,11,2313,The Open Network
2022-11-10,OpenScreen,32,C#,15,2313,The Open Network
2022-11-10,open-eaggr,30,C++,12,2313,The Open Network
2022-11-10,python-ogn-client,29,Python,17,2313,The Open Network
2022-11-10,OpenWifiStatistics,26,Java,11,2313,The Open Network
2022-11-10,FSRCNN-OpenCV,25,C++,4,2313,The Open Network
2022-11-10,docker-free5gc,24,Dockerfile,14,2313,The Open Network
2022-11-10,openmixapplib,24,JavaScript,15,2313,The Open Network
2022-11-10,railscoders,24,Ruby,14,2313,The Open Network
2022-11-10,ESP8266-WiFi-Finder,23,Lua,5,2313,The Open Network
2022-11-10,sdn-wise-contiki,22,C,21,2313,The Open Network
2022-11-10,openvpn-router,22,JavaScript,8,2313,The Open Network
2022-11-10,Open-Set-Domain-Adaptation-for-Hyperspectral-Image-Classification-Using-Generative-Adversarial-Netwo,22,Python,14,2313,The Open Network
2022-11-10,sdna_open,22,C++,6,2313,The Open Network
2022-11-10,openeew-seismology,21,Python,12,2313,The Open Network
2022-11-10,TheNetwork-open,20,Java,11,2313,The Open Network
