date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-07,wasm3,5572,C,364,5908,The Sandbox
2022-12-07,al-khaser,4363,C++,1039,5908,The Sandbox
2022-12-07,lucet,4084,Rust,173,5908,The Sandbox
2022-12-07,The-Powder-Toy,3582,C++,704,5908,The Sandbox
2022-12-07,sandboxie,3356,C,687,5908,The Sandbox
2022-12-07,kuma,3017,Go,273,5908,The Sandbox
2022-12-07,sandpack,2835,TypeScript,194,5908,The Sandbox
2022-12-07,gpt3-sandbox,2614,JavaScript,783,5908,The Sandbox
2022-12-07,pafish,2472,C,430,5908,The Sandbox
2022-12-07,Thrive,1850,C#,377,5908,The Sandbox
2022-12-07,junest,1585,Shell,105,5908,The Sandbox
2022-12-07,TextWorld,980,Jupyter Notebook,167,5908,The Sandbox
2022-12-07,sablejs,923,JavaScript,45,5908,The Sandbox
2022-12-07,garrysmod,873,Lua,743,5908,The Sandbox
2022-12-07,php-matcher,773,PHP,74,5908,The Sandbox
2022-12-07,wordpress-sandbox,769,JavaScript,35,5908,The Sandbox
2022-12-07,judge-server,767,Python,206,5908,The Sandbox
2022-12-07,ZLGotoSandboxPlugin,562,Objective-C,92,5908,The Sandbox
2022-12-07,sandbox,475,Shell,215,5908,The Sandbox
2022-12-07,jpeg-sandbox,382,JavaScript,11,5908,The Sandbox
2022-12-07,pysandbox,368,Python,33,5908,The Sandbox
2022-12-07,rust_sandbox,342,Rust,132,5908,The Sandbox
2022-12-07,minihack,334,Python,39,5908,The Sandbox
2022-12-07,gpt3-instruct-sandbox,308,Python,74,5908,The Sandbox
2022-12-07,MorphAES,299,Python,112,5908,The Sandbox
2022-12-07,WordPress-Settings-Sandbox,261,PHP,70,5908,The Sandbox
2022-12-07,detux,252,Python,69,5908,The Sandbox
2022-12-07,rlbox,235,C++,18,5908,The Sandbox
2022-12-07,worker-cli,223,JavaScript,56,5908,The Sandbox
2022-12-07,FreeTheSandbox_LPE_POC_13.7,221,C,38,5908,The Sandbox
2022-12-07,sandboxd,221,Shell,13,5908,The Sandbox
2022-12-07,VxAPI,191,Python,55,5908,The Sandbox
2022-12-07,aether,189,JavaScript,53,5908,The Sandbox
2022-12-07,vespolina-sandbox,181,PHP,24,5908,The Sandbox
2022-12-07,mysql-sandbox,179,Perl,59,5908,The Sandbox
2022-12-07,sandbox,177,C,51,5908,The Sandbox
2022-12-07,sandblaster,175,Python,33,5908,The Sandbox
2022-12-07,no-sandbox,169,,13,5908,The Sandbox
2022-12-07,sandbox-smart-contracts,157,TypeScript,80,5908,The Sandbox
2022-12-07,sandbox,151,JavaScript,93,5908,The Sandbox
2022-12-07,Paleontologas,125,Kotlin,16,5908,The Sandbox
2022-12-07,opengl-sandbox,125,HTML,9,5908,The Sandbox
2022-12-07,hackersandbox,120,C++,21,5908,The Sandbox
2022-12-07,tailwind-sandbox,117,HTML,93,5908,The Sandbox
2022-12-07,apostrophe-sandbox,112,Less,45,5908,The Sandbox
2022-12-07,AppSandboxFileAccess,107,Objective-C,20,5908,The Sandbox
2022-12-07,sandbox,101,JavaScript,121,5908,The Sandbox
2022-12-07,explorer,98,TypeScript,73,5908,The Sandbox
2022-12-07,serviceworker-rails-sandbox,89,Ruby,27,5908,The Sandbox
2022-12-07,vr-speech-sandbox-vive,85,C#,49,5908,The Sandbox
2022-12-07,sandbox,84,Shell,59,5908,The Sandbox
2022-12-07,javafx-ui-sandbox,82,Java,57,5908,The Sandbox
2022-12-07,exotron,75,Python,15,5908,The Sandbox
2022-12-07,electron-sandbox-boilerplate,73,JavaScript,14,5908,The Sandbox
