date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-30,WeeklyForecasting,39,R,13,37,Theta Network
2022-11-30,nate.283090,9,,11,37,Theta Network
2022-11-30,theta-guardian-node-docker,7,Dockerfile,0,37,Theta Network
2022-11-30,Ethereum-Mainnet-chainld-2-short-Name-ethereum-mahmood-monfared,7,,8,37,Theta Network
2022-11-30,A-Compact-and-Interpretable-Convolutional-Neural-Network-for-Single-Channel-EEG,6,Python,5,37,Theta Network
2022-11-30,perspective_taking_oscillatory_networks,3,Matlab,4,37,Theta Network
2022-11-30,150031,3,Python,0,37,Theta Network
2022-11-30,Entropy-of-networks-and-Theta-indicator-single-networks-,2,Matlab,1,37,Theta Network
2022-11-30,ThetaNet,2,Python,0,37,Theta Network
2022-11-30,torus_flow_spiking_network,2,Python,0,37,Theta Network
2022-11-30,Theta-Sequence-Network-Model,2,Python,1,37,Theta Network
2022-11-30,theta,1,,0,37,Theta Network
2022-11-30,brian-caninhnetwork,1,,0,37,Theta Network
2022-11-30,NUERAL_NETWORK_VISUALIZER-,1,Python,0,37,Theta Network
2022-11-30,TernerAcademy,1,C#,0,37,Theta Network
2022-11-30,syllable-parser,1,MATLAB,2,37,Theta Network
2022-11-30,theta-poc,1,JavaScript,0,37,Theta Network
2022-11-30,theta,1,HTML,0,37,Theta Network
2022-11-30,thetatoken-network.github.io,0,HTML,0,37,Theta Network
2022-11-30,PPDN,0,,0,37,Theta Network
2022-11-30,ThetaMonitorNetwork,0,C,0,37,Theta Network
2022-11-30,Game-Chasers-Parody-Website,0,HTML,0,37,Theta Network
2022-11-30,COVID-19-Forecasting-by-TARNN-,0,,0,37,Theta Network
2022-11-30,PiMA2018-Hand-Written-Math-Symbol-Classification,0,Python,0,37,Theta Network
2022-11-30,theta,0,C,1,37,Theta Network
2022-11-30,sequence-memory,0,Python,0,37,Theta Network
2022-11-30,187604,0,MATLAB,1,37,Theta Network
2022-11-30,Perceptron_Averaged_Perceptron,0,Jupyter Notebook,0,37,Theta Network
2022-11-30,Theta-Rewads-network,0,,0,37,Theta Network
2022-11-30,BROADCAST_ON_THETA.TV_THROUGH_THE_EDGE_NODE-,0,,0,37,Theta Network
2022-11-30,2014_ACCN_HPCNeuralNetwork,0,Python,0,37,Theta Network
2022-11-30,thetatoken-network,0,,0,37,Theta Network
2022-11-30,theta,0,Java,1,37,Theta Network
2022-11-30,Intrinsic_Theta_Oscillation_Grid_Cell_Network,0,Python,0,37,Theta Network
2022-11-30,GammaTheta,0,Java,0,37,Theta Network
2022-11-30,Theta-Network,0,,0,37,Theta Network
2022-11-30,tnt20generator,0,JavaScript,2,37,Theta Network
