date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-23,trust-wallet-ios,1416,Swift,559,353,Trust Wallet
2022-11-23,app-monorepo,1268,TypeScript,179,353,Trust Wallet
2022-11-23,trust-wallet-android-source,349,Java,258,353,Trust Wallet
2022-11-23,tokens,308,JavaScript,2011,353,Trust Wallet
2022-11-23,trust-ray,176,TypeScript,150,353,Trust Wallet
2022-11-23,coldcore,120,Python,13,353,Trust Wallet
2022-11-23,trust-keystore,106,Swift,99,353,Trust Wallet
2022-11-23,trusteeWallet,100,JavaScript,69,353,Trust Wallet
2022-11-23,trust-core,65,Swift,71,353,Trust Wallet
2022-11-23,flutter_trust_wallet_core,60,Dart,24,353,Trust Wallet
2022-11-23,BIK_php,40,PHP,16,353,Trust Wallet
2022-11-23,trust-wallet-android,30,Java,12,353,Trust Wallet
2022-11-23,TrustWallet,23,,14,353,Trust Wallet
2022-11-23,trustnote-wallet,21,JavaScript,13,353,Trust Wallet
2022-11-23,trustedcoin-web-wallet,20,JavaScript,17,353,Trust Wallet
2022-11-23,MetaMask-Seed-Unscrambler,15,C#,6,353,Trust Wallet
2022-11-23,ansible-collection-blockchain,13,Jinja,8,353,Trust Wallet
2022-11-23,react-native-wallet-core,12,Kotlin,5,353,Trust Wallet
2022-11-23,flutter_trust_wallet_core_lib_include,12,Dart,18,353,Trust Wallet
2022-11-23,trustless_btc_recovery,11,Python,7,353,Trust Wallet
2022-11-23,virtue,11,Erlang,2,353,Trust Wallet
2022-11-23,trustdart,10,Kotlin,6,353,Trust Wallet
2022-11-23,crypto_wallet_app,9,Dart,1,353,Trust Wallet
2022-11-23,open-state,8,Kotlin,3,353,Trust Wallet
2022-11-23,TrustZone-backed-Bitcoin-Wallet,7,C,4,353,Trust Wallet
2022-11-23,trust-wallet-ios,7,Swift,3,353,Trust Wallet
2022-11-23,T3Wallet,6,JavaScript,1,353,Trust Wallet
2022-11-23,trust-wallet-android,6,Java,84,353,Trust Wallet
2022-11-23,ghost-wallet,6,JavaScript,1,353,Trust Wallet
2022-11-23,trustnote-wallet-android,6,Kotlin,5,353,Trust Wallet
2022-11-23,trust-wallet-android-cloned,5,Java,9,353,Trust Wallet
2022-11-23,time-lock-eth-wallet,5,JavaScript,11,353,Trust Wallet
2022-11-23,affinidi-drivinglicense-holder,5,JavaScript,11,353,Trust Wallet
2022-11-23,flutter_trust_wallet_core_achived,5,Dart,1,353,Trust Wallet
2022-11-23,trusteeWalletAssets,4,,5,353,Trust Wallet
2022-11-23,asset,4,,0,353,Trust Wallet
2022-11-23,flutter_trust_wallet_core,4,Dart,0,353,Trust Wallet
2022-11-23,CAS-Digital-Credentials,3,Shell,5,353,Trust Wallet
