date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-01,coinmarketcap-history,183,Python,67,267,USD Coin
2022-12-01,cryptoxlib-aio,107,Python,31,267,USD Coin
2022-12-01,Coin-Allocator,48,JavaScript,7,267,USD Coin
2022-12-01,dharma-token,35,JavaScript,13,267,USD Coin
2022-12-01,Rial,25,JavaScript,0,267,USD Coin
2022-12-01,flow-usdc,14,Go,7,267,USD Coin
2022-12-01,NetCoin,8,,6,267,USD Coin
2022-12-01,USDxProtocol,7,JavaScript,5,267,USD Coin
2022-12-01,honest-coinmarketcap,5,Python,4,267,USD Coin
2022-12-01,Coinmonhubpool,4,JavaScript,0,267,USD Coin
2022-12-01,coincow,4,JavaScript,0,267,USD Coin
2022-12-01,cointerminal,4,,1,267,USD Coin
2022-12-01,WhalepoolShitcoinIndex,4,Python,2,267,USD Coin
2022-12-01,BitCoinBot,4,Shell,2,267,USD Coin
2022-12-01,usdc-tracker,3,JavaScript,1,267,USD Coin
2022-12-01,MultiCoinCalc,3,JavaScript,2,267,USD Coin
2022-12-01,coin-quotes,3,Python,0,267,USD Coin
2022-12-01,cryptocurrency-data,3,TypeScript,0,267,USD Coin
2022-12-01,strongly-recommend-coinbase-Create-Wallet-Enter-Address-We-can-only-automate-payments-to-Coinbas,3,,4,267,USD Coin
2022-12-01,coindesk-history,2,JavaScript,0,267,USD Coin
2022-12-01,usdbtc,2,CSS,1,267,USD Coin
2022-12-01,BitCoinCurrencyConverter,2,Java,3,267,USD Coin
2022-12-01,CoinMarketCap-History,2,Python,0,267,USD Coin
2022-12-01,coinbasepro-BAT-USDC,1,,0,267,USD Coin
2022-12-01,Bitcoin-Technical-Anaylst,1,Python,0,267,USD Coin
2022-12-01,coinbasepro-ALGO-USD,1,,0,267,USD Coin
2022-12-01,coinbasepro-ETC-USD,1,,0,267,USD Coin
2022-12-01,coinbasepro-CVC-USDC,1,,0,267,USD Coin
2022-12-01,Pulling-USDC-USDT-MarketCap-from-Coinmetrics-,1,,0,267,USD Coin
2022-12-01,coinbasepro-GNT-USDC,1,,0,267,USD Coin
2022-12-01,coinbasepro-XLM-USD,1,,0,267,USD Coin
2022-12-01,coinbasepro-LOOM-USDC,1,,0,267,USD Coin
2022-12-01,UNI_USD_ARIMA,1,Jupyter Notebook,1,267,USD Coin
2022-12-01,WUSDC,1,JavaScript,0,267,USD Coin
2022-12-01,coinbasepro-BTC-USDC,1,,0,267,USD Coin
2022-12-01,coinbasepro-ETH-USD,1,,0,267,USD Coin
2022-12-01,GeminiUSD,1,,1,267,USD Coin
2022-12-01,coinbasepro-DAI-USDC,1,,0,267,USD Coin
2022-12-01,coinbasepro-ZEC-USDC,1,,0,267,USD Coin
2022-12-01,coinbasepro-XTZ-USD,1,,0,267,USD Coin
2022-12-01,coinbasepro-ZRX-USD,1,,0,267,USD Coin
2022-12-01,parse_anchorusd_cointracker,1,Python,2,267,USD Coin
2022-12-01,coinbasepro-REP-USD,1,,0,267,USD Coin
2022-12-01,coinbasepro-DNT-USDC,1,,0,267,USD Coin
2022-12-01,ufoprice_bot,1,Python,2,267,USD Coin
2022-12-01,coinbasepro-LINK-USD,1,,0,267,USD Coin
2022-12-01,coinbasepro-EOS-USD,1,,0,267,USD Coin
2022-12-01,USDevCoin,1,JavaScript,0,267,USD Coin
2022-12-01,coinbasepro-LTC-USD,1,,0,267,USD Coin
2022-12-01,coinbasepro-XRP-USD,1,,0,267,USD Coin
2022-12-01,coinbasepro-BCH-USD,1,,0,267,USD Coin
