date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-30,Tron_USDD_AutoCompounder,4,C#,1,31,USDD
2022-12-30,MATOKEO-PORTAL-Beem-USDD,1,JavaScript,0,31,USDD
2022-12-30,USDD,1,WebAssembly,1,31,USDD
2022-12-30,Blockchain,1,,0,31,USDD
2022-12-30,UsdDersleri,1,PHP,0,31,USDD
2022-12-30,usddaiars,1,Python,0,31,USDD
2022-12-30,usdd_whitepaper,0,JavaScript,0,31,USDD
2022-12-30,usddex.github.io,0,HTML,0,31,USDD
2022-12-30,usdd_token,0,Solidity,0,31,USDD
2022-12-30,usdd-airtime,0,JavaScript,1,31,USDD
2022-12-30,usdd-evaluation,0,C,0,31,USDD
2022-12-30,usddfinanc,0,,0,31,USDD
2022-12-30,usdd_contract,0,Solidity,0,31,USDD
2022-12-30,usdd_frames_ukr,0,,0,31,USDD
2022-12-30,MeshPowerUSDD,0,Python,0,31,USDD
2022-12-30,USDD-Smart-Contract,0,,0,31,USDD
2022-12-30,usdd-repo,0,,0,31,USDD
2022-12-30,usddj,0,,0,31,USDD
2022-12-30,usddz,0,,0,31,USDD
2022-12-30,usddddddd12343333377,0,,0,31,USDD
2022-12-30,angular-cesium-polyline-example-usdd6h,0,TypeScript,0,31,USDD
2022-12-30,usddrillingchanges,0,HTML,0,31,USDD
2022-12-30,usddvip,0,,0,31,USDD
2022-12-30,usddddddddddd,0,JavaScript,0,31,USDD
2022-12-30,USDDR,0,Python,0,31,USDD
2022-12-30,usddff,0,,0,31,USDD
2022-12-30,USDdVpzBthpYcjjWv,0,Shell,0,31,USDD
2022-12-30,USDDigitalBenjimanCoin,0,,0,31,USDD
2022-12-30,USDD,0,,0,31,USDD
2022-12-30,USDDDD66722,0,,0,31,USDD
2022-12-30,USDD-ERC20,0,,0,31,USDD
