date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-30,interface,3750,TypeScript,3510,4461,Uniswap
2022-10-30,v3-core,3021,TypeScript,1503,4461,Uniswap
2022-10-30,v2-core,2179,TypeScript,2341,4461,Uniswap
2022-10-30,uniswap-arbitrage-analysis,1315,Python,397,4461,Uniswap
2022-10-30,amm-arbitrageur,1309,Solidity,545,4461,Uniswap
2022-10-30,v2-periphery,846,Solidity,1356,4461,Uniswap
2022-10-30,v3-periphery,840,TypeScript,639,4461,Uniswap
2022-10-30,token-lists,761,TypeScript,581,4461,Uniswap
2022-10-30,uniswap-python,638,Python,273,4461,Uniswap
2022-10-30,flashloaner-contract,447,Solidity,297,4461,Uniswap
2022-10-30,uniswap-sushiswap-arbitrage-bot,437,JavaScript,208,4461,Uniswap
2022-10-30,pool-sniper,423,TypeScript,122,4461,Uniswap
2022-10-30,v1-contracts,418,Python,265,4461,Uniswap
2022-10-30,v3-sdk,413,TypeScript,277,4461,Uniswap
2022-10-30,v2-sdk,369,TypeScript,849,4461,Uniswap
2022-10-30,uniswap-arbitrage-flash-swap,342,JavaScript,182,4461,Uniswap
2022-10-30,awesome-uniswap-v3,336,,45,4461,Uniswap
2022-10-30,v2-subgraph,291,TypeScript,463,4461,Uniswap
2022-10-30,v3-staker,277,TypeScript,114,4461,Uniswap
2022-10-30,v3-info,266,TypeScript,185,4461,Uniswap
2022-10-30,info,263,JavaScript,504,4461,Uniswap
2022-10-30,LimitSwap,255,Python,136,4461,Uniswap
2022-10-30,uniswap-oracle,239,TypeScript,51,4461,Uniswap
2022-10-30,MEV-bot,202,Solidity,51,4461,Uniswap
2022-10-30,v3-subgraph,201,TypeScript,215,4461,Uniswap
2022-10-30,default-token-list,201,JavaScript,698,4461,Uniswap
2022-10-30,Front-RunBot,197,,217,4461,Uniswap
2022-10-30,docs,194,JavaScript,353,4461,Uniswap
2022-10-30,universe,194,,61,4461,Uniswap
2022-10-30,uniswapv3-book,193,,32,4461,Uniswap
2022-10-30,connect-metamask-react-dapp,187,TypeScript,73,4461,Uniswap
2022-10-30,gelato-uniswap,176,JavaScript,36,4461,Uniswap
2022-10-30,UniswapSniperBot,156,C++,64,4461,Uniswap
2022-10-30,bsc-swap-autotrade-bot-v1,153,TypeScript,82,4461,Uniswap
2022-10-30,exploit-uniswap,152,JavaScript,34,4461,Uniswap
2022-10-30,squeeth-monorepo,149,TypeScript,51,4461,Uniswap
2022-10-30,simple-uniswap-sdk,148,TypeScript,69,4461,Uniswap
2022-10-30,uniswap-skim,146,JavaScript,60,4461,Uniswap
2022-10-30,org-v1,143,JavaScript,243,4461,Uniswap
2022-10-30,uniswap-v3-liquidity-math,138,Python,36,4461,Uniswap
2022-10-30,solidity-lib,130,TypeScript,232,4461,Uniswap
