date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-10,https-agpl.fsf.org-,16,,0,24,Wrapped Bitcoin
2022-11-10,rsex,11,Rust,3,24,Wrapped Bitcoin
2022-11-10,fullzcvv.to,11,,0,24,Wrapped Bitcoin
2022-11-10,bitcore-docker,10,,12,24,Wrapped Bitcoin
2022-11-10,tezos-btc,9,Haskell,8,24,Wrapped Bitcoin
2022-11-10,secp256k1_swift,9,Swift,4,24,Wrapped Bitcoin
2022-11-10,codes,8,,6,24,Wrapped Bitcoin
2022-11-10,bithyve-wrapper,5,Go,6,24,Wrapped Bitcoin
2022-11-10,wrapped-tokenlist,4,,1,24,Wrapped Bitcoin
2022-11-10,NBitcoin.VanityGenerator,3,C#,1,24,Wrapped Bitcoin
2022-11-10,blockexplorer,3,PHP,1,24,Wrapped Bitcoin
2022-11-10,wrapped-bitcoin,2,TypeScript,1,24,Wrapped Bitcoin
2022-11-10,Bitcoin-Max,1,,0,24,Wrapped Bitcoin
2022-11-10,rust-wallet-android,1,Rust,2,24,Wrapped Bitcoin
2022-11-10,12.css,0,,1,24,Wrapped Bitcoin
2022-11-10,CRYPTOCURRENCY-PRICE-PREDICTION-PROJECT-USING-MACHINE-LEARNING,0,,0,24,Wrapped Bitcoin
2022-11-10,BTCtz,0,Python,0,24,Wrapped Bitcoin
2022-11-10,BitcoinMax,0,,0,24,Wrapped Bitcoin
2022-11-10,wBTC-Subgraph,0,TypeScript,0,24,Wrapped Bitcoin
2022-11-10,bigquery-crypto,0,Python,1,24,Wrapped Bitcoin
2022-11-10,greenbit,0,,0,24,Wrapped Bitcoin
2022-11-10,Blockchain_Wrapped-Bitcoin_ppt,0,,0,24,Wrapped Bitcoin
2022-11-10,Bitcoin-p2sh-p2pkh-csv,0,Python,5,24,Wrapped Bitcoin
2022-11-10,11.js,0,,1,24,Wrapped Bitcoin
