date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-04,rippled,4237,C++,1406,1998,XRP
2022-11-04,xrpl.js,1057,TypeScript,464,1998,XRP
2022-11-04,xrpl-dev-portal,379,Python,917,1998,XRP
2022-11-04,CoinNow,211,Swift,28,1998,XRP
2022-11-04,XRPL-Standards,122,JavaScript,21,1998,XRP
2022-11-04,moneda-cli,116,JavaScript,11,1998,XRP
2022-11-04,Xpring-SDK,112,,42,1998,XRP
2022-11-04,moneyd,108,JavaScript,45,1998,XRP
2022-11-04,XRP,104,Shell,9,1998,XRP
2022-11-04,xrpl-py,94,Python,57,1998,XRP
2022-11-04,switch,79,Vue,34,1998,XRP
2022-11-04,XRPC,77,C#,21,1998,XRP
2022-11-04,xrprof,74,C,4,1998,XRP
2022-11-04,ripple-keypairs,65,JavaScript,64,1998,XRP
2022-11-04,xrptipbot,58,PHP,21,1998,XRP
2022-11-04,awesome-xrpl,54,,14,1998,XRP
2022-11-04,xrpld-hooks,53,C++,18,1998,XRP
2022-11-04,xrpl4j,53,Java,32,1998,XRP
2022-11-04,docker-rippled,45,Shell,28,1998,XRP
2022-11-04,explorer,38,JavaScript,24,1998,XRP
2022-11-04,react-xrplayer,37,JavaScript,13,1998,XRP
2022-11-04,codius-install,34,Shell,17,1998,XRP
2022-11-04,market-maker,33,JavaScript,24,1998,XRP
2022-11-04,rippled-php,33,PHP,33,1998,XRP
2022-11-04,xrprimer,32,C++,6,1998,XRP
2022-11-04,ilp-sdk,29,TypeScript,13,1998,XRP
2022-11-04,docker-rippled-validator,26,Shell,12,1998,XRP
2022-11-04,clio,26,C++,32,1998,XRP
2022-11-04,artunis-mobile,24,JavaScript,9,1998,XRP
2022-11-04,xrpvalue.com,24,JavaScript,13,1998,XRP
2022-11-04,xrp-ledgerstats,24,JavaScript,20,1998,XRP
2022-11-04,xrp-api,23,TypeScript,14,1998,XRP
2022-11-04,XpringKit,23,Swift,15,1998,XRP
2022-11-04,xrpackage,21,JavaScript,9,1998,XRP
2022-11-04,xrpsymbol.github.io,20,HTML,45,1998,XRP
