date,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,market_share
2022-12-07,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,16849.28,323814886498,1,353677144636.0,23120889876.0,17114.69,16750.0,-147.4933914655412,-0.86777,-2936844536.08667,-0.8988,19226893.0,21000000.0,21000000.0,69045.0,-75.52831,2021-11-10T14:24:11.849Z,67.81,24817.66902,2013-07-06T00:00:00.000Z,,2022-12-07T14:59:49.241Z,0.39067611549464354
2022-12-07,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1234.93,148747723209,2,148747723209.0,5757139154.0,1272.97,1224.02,-19.161750741067863,-1.52793,-2357358035.2344055,-1.56008,120523055.949792,120523055.949792,,4878.26,-74.59752,2021-11-10T14:24:19.604Z,0.432979,286103.14867,2015-10-20T00:00:00.000Z,"{'times': 97.04232442777949, 'currency': 'btc', 'percentage': 9704.23244277795}",2022-12-07T14:59:50.014Z,0.17946112150814744
2022-12-07,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,1.001,65670476528,3,65670476528.0,28635960542.0,1.006,0.997773,0.0001466,0.01465,64829569.0,0.09882,65685215611.0968,65685215611.0968,,1.32,-24.404,2018-07-24T00:00:00.000Z,0.572521,74.70226,2015-03-02T00:00:00.000Z,,2022-12-07T14:55:06.586Z,0.07923010257528622
2022-12-07,binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,284.2,46388122141,4,56821388620.0,754665136.0,290.52,282.67,-4.3382071884483935,-1.50351,-726964789.321434,-1.54296,163276974.63,163276974.63,200000000.0,686.31,-58.47038,2021-05-10T07:24:17.097Z,0.0398177,715713.66118,2017-10-19T00:00:00.000Z,,2022-12-07T14:58:53.705Z,0.055966331749386325
2022-12-07,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,43079105145,5,43077097577.0,2026913582.0,1.006,0.997392,-0.000265425017361043,-0.02652,-223264126.5825348,-0.51559,43077707453.215,43075699950.155,,1.17,-14.71154,2019-05-08T00:40:28.300Z,0.891848,12.14726,2021-05-19T13:14:05.611Z,,2022-12-07T14:59:42.049Z,0.0519740696267769
2022-12-07,binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.0,22036716812,6,22036716812.0,6180892457.0,1.003,0.994926,0.00010178,0.01018,-83077742.24151611,-0.37558,22056131834.35,22056131834.35,,1.15,-13.30339,2020-03-13T02:35:42.953Z,0.901127,11.04489,2021-05-19T13:04:37.445Z,,2022-12-07T14:59:52.054Z,0.026586853419479337
2022-12-07,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.383011,19246966512,7,38294460055.0,1030420228.0,0.392837,0.377306,-0.005425363187641475,-1.39672,-248630242.43197632,-1.27531,50260446248.0,99989199669.0,100000000000.0,3.4,-88.69303,2018-01-07T00:00:00.000Z,0.00268621,14204.99623,2014-05-22T00:00:00.000Z,,2022-12-07T14:59:44.611Z,0.023221076069985098
2022-12-07,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.096625,13262095775,8,,932169787.0,0.101121,0.095387,-0.004031007859533254,-4.00474,-542892361.0719547,-3.93258,137207406383.705,,,0.731578,-86.77622,2021-05-08T05:08:23.458Z,8.69e-05,111221.13739,2015-05-06T00:00:00.000Z,,2022-12-07T14:59:51.902Z,0.016000450494195934
2022-12-07,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.312007,10931682927,9,14036965026.0,210084188.0,0.319306,0.308342,-0.004772735818622921,-1.50664,-170058666.26342964,-1.53182,35045020830.3234,45000000000.0,45000000000.0,3.09,-89.86538,2021-09-02T06:00:10.474Z,0.01925275,1524.94646,2020-03-13T02:22:55.044Z,,2022-12-07T14:59:50.144Z,0.013188854496242724
2022-12-07,matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,0.886929,7867719684,10,8871292959.0,369734597.0,0.918498,0.875176,-0.022370897832116432,-2.46023,-186238050.75467968,-2.31238,8868740690.28493,10000000000.0,10000000000.0,2.92,-69.44952,2021-12-27T02:08:34.307Z,0.00314376,28239.70315,2019-05-10T00:00:00.000Z,"{'times': 336.2354301355057, 'currency': 'usd', 'percentage': 33623.54301355057}",2022-12-07T14:59:43.077Z,0.009492244773511512
