end,start,tweet_count,query
2023-01-07T15:41:25.000Z,2023-01-07T00:00:00.000Z,3088.0,Quant
2023-01-07T15:41:25.000Z,2023-01-07T00:00:00.000Z,3176.0,Bitcoin Cash
2023-01-07T15:41:25.000Z,2023-01-07T00:00:00.000Z,5005.0,Stellar
2023-01-07T15:41:25.000Z,2023-01-07T00:00:00.000Z,197.0,Ethereum Classic
2023-01-07T15:41:25.000Z,2023-01-07T00:00:00.000Z,976.0,Monero
2023-01-07T15:41:24.000Z,2023-01-07T00:00:00.000Z,1307.0,Chainlink
2023-01-07T15:41:24.000Z,2023-01-07T00:00:00.000Z,54.0,Cosmos Hub
2023-01-07T15:41:24.000Z,2023-01-07T00:00:00.000Z,41.0,Wrapped Bitcoin
2023-01-07T15:41:24.000Z,2023-01-07T00:00:00.000Z,222.0,Toncoin
2023-01-07T15:41:23.000Z,2023-01-07T00:00:00.000Z,6842.0,TRON
2023-01-07T15:41:23.000Z,2023-01-07T00:00:00.000Z,15.0,LEO Token
2023-01-07T15:41:23.000Z,2023-01-07T00:00:00.000Z,5239.0,Avalanche
2023-01-07T15:41:23.000Z,2023-01-07T00:00:00.000Z,31041.0,Uniswap
2023-01-07T15:41:22.000Z,2023-01-07T00:00:00.000Z,211280.0,Solana
2023-01-07T15:41:22.000Z,2023-01-07T00:00:00.000Z,39779.0,Dai
2023-01-07T15:41:22.000Z,2023-01-07T00:00:00.000Z,5030.0,Shiba Inu
2023-01-07T15:41:22.000Z,2023-01-07T00:00:00.000Z,1758.0,Litecoin
2023-01-07T15:41:21.000Z,2023-01-07T00:00:00.000Z,611.0,OKB
2023-01-07T15:41:21.000Z,2023-01-07T00:00:00.000Z,18158.0,Cardano
2023-01-07T15:41:21.000Z,2023-01-07T00:00:00.000Z,3145.0,Polkadot
2023-01-07T15:41:21.000Z,2023-01-07T00:00:00.000Z,1.0,Lido Staked Ether
2023-01-07T15:41:21.000Z,2023-01-07T00:00:00.000Z,27437.0,Polygon
2023-01-07T15:41:20.000Z,2023-01-07T00:00:00.000Z,14826.0,Dogecoin
2023-01-07T15:41:20.000Z,2023-01-07T00:00:00.000Z,114491.0,BNB
2023-01-07T15:41:20.000Z,2023-01-07T00:00:00.000Z,49247.0,XRP
2023-01-07T15:41:20.000Z,2023-01-07T00:00:00.000Z,512.0,Binance USD
2023-01-07T15:41:19.000Z,2023-01-07T00:00:00.000Z,4302.0,Tether
2023-01-07T15:41:19.000Z,2023-01-07T00:00:00.000Z,122960.0,Bitcoin
2023-01-07T15:41:19.000Z,2023-01-07T00:00:00.000Z,174.0,USD Coin
2023-01-07T15:41:19.000Z,2023-01-07T00:00:00.000Z,113285.0,Ethereum
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,402.0,Ethereum Classic
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,6531.0,Shiba Inu
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,224.0,Toncoin
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,29.0,LEO Token
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,10871.0,Tether
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,11872.0,Stellar
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,17940.0,Avalanche
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,205706.0,Uniswap
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,1579.0,Binance USD
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,12272.0,TRON
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,532.0,USD Coin
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,74596.0,Dai
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,3386.0,Litecoin
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,159824.0,BNB
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,3628.0,Bitcoin Cash
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,7016.0,Polkadot
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,1.0,Lido Staked Ether
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,1109.0,OKB
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,58603.0,XRP
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,49550.0,Polygon
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,28520.0,Cardano
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,5644.0,Quant
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,20272.0,Dogecoin
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,148.0,Wrapped Bitcoin
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,537226.0,Solana
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,4171.0,Chainlink
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,297.0,Cosmos Hub
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,234913.0,Ethereum
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,1916.0,Monero
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,291906.0,Bitcoin
2023-01-06T00:00:00.000Z,2023-01-05T00:00:00.000Z,49009.0,XRP
2023-01-06T00:00:00.000Z,2023-01-05T00:00:00.000Z,26476.0,Cardano
2023-01-06T00:00:00.000Z,2023-01-05T00:00:00.000Z,140122.0,Ethereum
2023-01-06T00:00:00.000Z,2023-01-05T00:00:00.000Z,12706.0,Avalanche
2023-01-06T00:00:00.000Z,2023-01-05T00:00:00.000Z,8301.0,Shiba Inu
