end,start,tweet_count,query
2022-11-01T00:00:00.000Z,2022-10-31T17:33:41.000Z,74084,Bitcoin
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,279740,Bitcoin
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,272344,Bitcoin
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,265435,Bitcoin
2022-11-05T00:00:00.000Z,2022-11-04T00:00:00.000Z,275443,Bitcoin
2022-11-06T00:00:00.000Z,2022-11-05T00:00:00.000Z,255261,Bitcoin
2022-11-07T00:00:00.000Z,2022-11-06T00:00:00.000Z,239388,Bitcoin
2022-11-07T17:33:41.000Z,2022-11-07T00:00:00.000Z,204209,Bitcoin
2022-11-01T00:00:00.000Z,2022-10-31T17:33:42.000Z,47676,Ethereum
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,206202,Ethereum
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,184525,Ethereum
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,211673,Ethereum
2022-11-05T00:00:00.000Z,2022-11-04T00:00:00.000Z,253887,Ethereum
2022-11-06T00:00:00.000Z,2022-11-05T00:00:00.000Z,150686,Ethereum
2022-11-07T00:00:00.000Z,2022-11-06T00:00:00.000Z,317970,Ethereum
2022-11-07T17:33:42.000Z,2022-11-07T00:00:00.000Z,132584,Ethereum
2022-11-01T00:00:00.000Z,2022-10-31T17:33:42.000Z,2740,Tether
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,6057,Tether
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,7815,Tether
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,4045,Tether
2022-11-05T00:00:00.000Z,2022-11-04T00:00:00.000Z,3435,Tether
2022-11-06T00:00:00.000Z,2022-11-05T00:00:00.000Z,4630,Tether
2022-11-07T00:00:00.000Z,2022-11-06T00:00:00.000Z,5033,Tether
2022-11-07T17:33:42.000Z,2022-11-07T00:00:00.000Z,3546,Tether
2022-11-01T00:00:00.000Z,2022-10-31T17:33:42.000Z,57075,BNB
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,314890,BNB
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,266485,BNB
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,245020,BNB
2022-11-05T00:00:00.000Z,2022-11-04T00:00:00.000Z,245743,BNB
2022-11-06T00:00:00.000Z,2022-11-05T00:00:00.000Z,223931,BNB
2022-11-07T00:00:00.000Z,2022-11-06T00:00:00.000Z,246579,BNB
